id	level	enemyInfo	enemyCircuitInfo	enemyPara	sceneId	dropId	firstDrop	dropShow	hint	tipPic	background	backgroundIn	heroPicId	recommendHeroIds	recommendTypes	avgLineupLevel	dropDay	dropDayShow	targetLevel	
1	1	38,2,4,1	1,0	6,-200|11,0	800101,800102	800011	800012	800011	我方<color=#ff0000>群体</color>伤害翻倍,我方<color=#ff0000>单体</color>伤害翻倍	340780101	340780001	340080044	321000801	2,3,5,10,13,14,17,21,35|4,6,39,50,11,12,15,20,22	2,3	0	501013	501013	10
2	2	39,2,4,1	1,0	6,-180|11,0	800201,800202	800021	800022	800021	我方<color=#ff0000>群体</color>伤害翻倍,我方<color=#ff0000>单体</color>伤害翻倍	340780103	340780003	340080074	321002101	2,3,5,10,13,14,17,21,35|4,6,39,50,11,12,15,20,22	2,3	26	501023	501023	10
3	3	40,2,5,1	1,0	6,-160|11,0	800301,800302	800031	800032	800031	我方<color=#ff0000>群体</color>伤害翻倍,我方<color=#ff0000>单体</color>伤害翻倍	340780102	340780002	340080072	321000801	2,3,5,10,13,14,17,21,35|4,6,39,50,11,12,15,20,22	2,3	27	501033	501033	10
4	4	40,3,5,1	1,1	6,-140|11,0	800401,800402	800041	800042	800041	我方<color=#ff0000>群体</color>伤害翻倍,我方<color=#ff0000>单体</color>伤害翻倍	340780104	340780004	340080143	321000201	2,3,5,10,13,14,17,21,35|4,6,39,50,11,12,15,20,22	2,3	28	501043	501043	10
5	5	41,3,5,1	2,1	6,-120|11,0	800501,800502	800051	800052	800051	我方<color=#ff0000>群体</color>伤害翻倍,我方<color=#ff0000>单体</color>伤害翻倍	340780101	340780001	340080044	321001001	2,3,5,10,13,14,17,21,35|4,6,39,50,11,12,15,20,22	2,3	29	501053	501053	10
6	6	42,3,6,1	3,1	6,-100|11,0	800601,800602	800061	800062	800061	我方<color=#ff0000>群体</color>伤害翻倍,我方<color=#ff0000>单体</color>伤害翻倍	340780103	340780003	340080074	321000601	2,3,5,10,13,14,17,21,35|4,6,39,50,11,12,15,20,22	2,3	30	501063	501063	10
7	7	43,3,6,1	4,2	6,-100|11,0	800701,800702	800071	800072	800071	我方<color=#ff0000>群体</color>伤害翻倍,我方<color=#ff0000>单体</color>伤害翻倍	340780104	340780004	340080143	321000501	2,3,5,10,13,14,17,21,35|4,6,39,50,11,12,15,20,22	2,3	31	501073	501073	10
8	8	44,3,6,1	5,2	6,-100|11,0	800801,800802	800081	800082	800081	我方<color=#ff0000>群体</color>伤害翻倍,我方<color=#ff0000>单体</color>伤害翻倍	340780102	340780002	340080072	321000401	2,3,5,10,13,14,17,21,35|4,6,39,50,11,12,15,20,22	2,3	32	501083	501083	10
9	9	45,3,7,1	6,2	6,-100|11,0	800901,800902	800091	800092	800091	我方<color=#ff0000>群体</color>伤害翻倍,我方<color=#ff0000>单体</color>伤害翻倍	340780101	340780001	340080044	321003901	2,3,5,10,13,14,17,21,35|4,6,39,50,11,12,15,20,22	2,3	32	501093	501093	10
10	10	46,3,7,1	4,3	6,0|11,0	801001,801002	800101	800102	800101	我方<color=#ff0000>群体</color>伤害翻倍,我方<color=#ff0000>单体</color>伤害翻倍	340780104	340780004	340080143	321000301	2,3,5,10,13,14,17,21,35|4,6,39,50,11,12,15,20,22	2,3	33	501103	501103	20
11	11	46,3,7,1	4,3	6,0|11,0	801101,801102	800111	800112	800111	我方<color=#ff0000>群体</color>伤害翻倍,我方<color=#ff0000>单体</color>伤害翻倍	340780101	340780001	340080044	321000301	2,3,5,10,13,14,17,21,35|4,6,39,50,11,12,15,20,22	2,3	33	501103	501103	20
12	12	46,3,7,1	4,3	6,0|11,0	801201,801202	800121	800122	800121	我方<color=#ff0000>群体</color>伤害翻倍,我方<color=#ff0000>单体</color>伤害翻倍	340780103	340780003	340080074	321000301	2,3,5,10,13,14,17,21,35|4,6,39,50,11,12,15,20,22	2,3	33	501103	501103	20
13	13	46,3,7,1	4,3	6,0|11,0	801301,801302	800131	800132	800131	我方<color=#ff0000>群体</color>伤害翻倍,我方<color=#ff0000>单体</color>伤害翻倍	340780102	340780002	340080072	321000301	2,3,5,10,13,14,17,21,35|4,6,39,50,11,12,15,20,22	2,3	33	501103	501103	20
14	14	46,3,7,1	4,3	6,0|11,0	801401,801402	800141	800142	800141	我方<color=#ff0000>群体</color>伤害翻倍,我方<color=#ff0000>单体</color>伤害翻倍	340780104	340780004	340080143	321000301	2,3,5,10,13,14,17,21,35|4,6,39,50,11,12,15,20,22	2,3	33	501103	501103	20
15	15	46,3,7,1	4,3	6,0|11,0	801501,801502	800151	800152	800151	我方<color=#ff0000>群体</color>伤害翻倍,我方<color=#ff0000>单体</color>伤害翻倍	340780101	340780001	340080044	321000301	2,3,5,10,13,14,17,21,35|4,6,39,50,11,12,15,20,22	2,3	33	501103	501103	20
16	16	46,3,7,1	4,3	6,0|11,0	801601,801602	800161	800162	800161	我方<color=#ff0000>群体</color>伤害翻倍,我方<color=#ff0000>单体</color>伤害翻倍	340780103	340780003	340080074	321000301	2,3,5,10,13,14,17,21,35|4,6,39,50,11,12,15,20,22	2,3	33	501103	501103	20
17	17	46,3,7,1	4,3	6,0|11,0	801701,801702	800171	800172	800171	我方<color=#ff0000>群体</color>伤害翻倍,我方<color=#ff0000>单体</color>伤害翻倍	340780104	340780004	340080143	321000301	2,3,5,10,13,14,17,21,35|4,6,39,50,11,12,15,20,22	2,3	33	501103	501103	20
18	18	46,3,7,1	4,3	6,0|11,0	801801,801802	800181	800182	800181	我方<color=#ff0000>群体</color>伤害翻倍,我方<color=#ff0000>单体</color>伤害翻倍	340780102	340780002	340080072	321000301	2,3,5,10,13,14,17,21,35|4,6,39,50,11,12,15,20,22	2,3	33	501103	501103	20
19	19	46,3,7,1	4,3	6,0|11,0	801901,801902	800191	800192	800191	我方<color=#ff0000>群体</color>伤害翻倍,我方<color=#ff0000>单体</color>伤害翻倍	340780101	340780001	340080044	321000301	2,3,5,10,13,14,17,21,35|4,6,39,50,11,12,15,20,22	2,3	33	501103	501103	20
20	20	46,3,7,1	4,3	6,0|11,0	802001,802002	800201	800202	800201	我方<color=#ff0000>群体</color>伤害翻倍,我方<color=#ff0000>单体</color>伤害翻倍	340780104	340780004	340080143	321000301	2,3,5,10,13,14,17,21,35|4,6,39,50,11,12,15,20,22	2,3	33	501103	501103	20
