id	name	type	canReTrigger	playAni	playShowAni	skipTurn	banEnergySkill	banPassiveSkill	banSSkill	canTriggerSkill	selectType	dispelList	preventList	isPlayAnim	stateAnim	stateDead	stateStart	stateFinish	startEffect	runEffect	endEffect	statePriority	damageHitPro	
0	无	0	0	1	1	0	0	0	0	0	0	 	 	1	idle_loop	dead	skill1	 	210028008,0,point_root	 	 	1	0
1	眩晕	1	0	1	0	1	0	0	1	0	0	18	 	1	idle_paralysis_loop	dead	 	 	 	 	 	100	0
2	虚弱	2	0	1	0	1	0	0	1	0	0	 	 	1	skill_idle_loop	dead	 	 	 	 	 	150	0
3	冰冻	3	0	0	0	0	0	0	0	0	0	4	4	1	 	dead	 	 	 	 	 	0	0
4	灼烧	4	0	1	1	0	0	0	0	0	0	3	3	0	 	dead	 	 	 	 	 	0	0
5	诅咒	5	0	1	0	0	0	0	0	0	0	 	 	0	 	dead	 	 	 	 	 	0	0
6	定身	6	0	1	0	1	0	0	0	0	0	 	 	0	 	dead	 	 	 	 	 	0	0
7	击飞	7	0	0	0	1	0	1	1	0	3	 	 	1	hurt_knockback_loop	dead	 	 	 	eft_com_jifei01,0,0	 	200	0
8	受伤	8	0	1	0	0	0	0	0	1	0	 	 	1	idle_hurt_loop	dead	 	 	 	 	 	2	0
9	轻敌	9	0	1	0	0	0	0	0	1	0	 	 	1	idle_careless_loop	dead	 	 	 	 	 	80	0
10	钻地	10	0	0	0	1	0	0	1	0	0	 	 	1	skill2_1	dead	 	skill2_3	eft_skill2_attackstart01_tulong,0,0	eft_skill2_attackstart02_loop_tulong,0,0	eft_skill2_attackstart01_tulong,0,0	100	0
11	假死	11	0	0	0	1	0	0	1	0	0	17	1,17	1	skill2_1	dead	 	skill2_3	eft_skill2_attackstart01_dingtouchui,0,0	eft_skill2_attackstart02_dingtouchui,0,0	eft_skill2_attackstart03_dingtouchui,0,0	1000	0
12	封技	12	0	1	1	0	1	0	0	1	0	 	 	0	 	dead	 	 	 	 	 	0	0
13	水晶无敌	11	0	0	0	0	0	0	0	1	0	 	 	0	 	dead	 	 	 	 	 	0	0
14	封被动技	13	0	1	0	0	0	1	0	1	0	 	 	0	 	dead	 	 	 	 	 	0	0
15	猩猩防御姿态	0	0	0	1	0	0	0	0	1	0	 	 	0	 	dead	 	 	 	 	 	0	0
16	地底人防御	1	0	0	0	1	0	0	1	0	0	 	 	1	skill2_loop	dead	 	 	 	eft_skill2_loop_attackstart_didiren,0,0	eft_skill2_loop02_attackstart_didiren,0,0	2000	0
17	捆绑	1	0	1	0	1	0	0	1	0	0	18	 	1	idle_paralysis_loop	dead	 	 	 	 	 	110	0
