id	heroid	page	name	rewardShow	drop	redirectionId	commanderShow	
1	2	1	拥有杰诺斯·武装	20000090	20000090	52	340640001
2	2,50	1	拥有杰诺斯、杰诺斯·武装	20000089	20000089	52	340640001
5	6	3	拥有原子武士	20000090	20000090	52	340640003
6	6,12	3	拥有原子武士、居合庵	20000089	20000089	52	340640003
7	4	4	拥有银色獠牙	20000090	20000090	52	340640009
8	4,41	4	拥有银色獠牙、茶岚子	20000089	20000089	52	340640009
9	7	5	拥有金属骑士	20000090	20000090	52	340640008
10	7,34	5	拥有金属骑士、装甲股长	20000089	20000089	52	340640008
11	9	6	拥有性感囚犯	20000090	20000090	52	340640006
12	9,40,20	6	拥有性感囚犯、重型金刚、钉锤头	20000089	20000089	52	340640006
15	8	8	拥有金属球棒	20000090	20000090	52	340640007
16	8,28	8	拥有金属球棒、无证骑士	20000089	20000089	52	340640007
19	5	10	拥有King	20000090	20000090	52	340640010
20	5,15	10	拥有King、弹簧胡子	20000089	20000089	52	340640010
