id	name	level	subIdList	
0	全部	1	 
1	综合	1	101,102,103
2	玩法	1	201,202,203,204,205,206,207,208,209,210,211,212
3	埼玉家	1	301,302,303
4	社交	1	401,402,403,404,406,407
5	竞技	1	501,502
6	收集	1	601,602,603
7	彩蛋	1	701,702,703
101	账号	2	 
102	货币	2	 
103	其它	2	 
201	主线	2	 
202	全息调查	2	 
203	模拟训练	2	 
204	怪人研究所	2	 
205	英雄试炼	2	 
206	协会测验	2	 
207	正义角逐	2	 
208	强者之梦	2	 
209	演练中心	2	 
210	治安委派	2	 
211	无人区探索	2	 
212	突发事件	2	 
301	小游戏	2	 
302	料理	2	 
303	其他	2	 
401	情报交流	2	 
402	社团捐献	2	 
403	社团任务	2	 
404	社团讨伐	2	 
406	社团相关	2	 
407	好友	2	 
501	武道大会	2	 
502	道馆演武	2	 
601	招募	2	 
602	源核	2	 
603	英雄协同	2	 
604	源核收集	2	 
701	英雄收集	2	 
702	武道大会	2	 
703	特典招募	2	 
