id	group	groupServer	isIfGroup	groupLv	priority	firstType	secondType	name	des	missionId	point	rewardShow	dropId	index	
1010101	10101	10101	0	1	1010101	1	101	账号升级·壹	指挥等级升到10级	1010101	10	21010101	21010101	1
1010102	10101	10101	0	2	1010102	1	101	账号升级·贰	指挥等级升到20级	1010102	10	21010102	21010102	2
1010103	10101	10101	0	3	1010103	1	101	账号升级·叁	指挥等级升到30级	1010103	10	21010103	21010103	3
1010104	10101	10101	0	4	1010104	1	101	账号升级·肆	指挥等级升到40级	1010104	10	21010104	21010104	4
1010105	10101	10101	0	5	1010105	1	101	账号升级·伍	指挥等级升到50级	1010105	10	21010105	21010105	5
1010106	10101	10101	0	6	1010106	1	101	账号升级·陆	指挥等级升到60级	1010106	10	21010106	21010106	6
1010107	10101	10101	0	7	1010107	1	101	账号升级·柒	指挥等级升到70级	1010107	10	21010107	21010107	7
1010108	10101	10101	0	8	1010108	1	101	账号升级·捌	指挥等级升到80级	1010108	10	21010108	21010108	8
1010201	10102	10102	0	1	1010201	1	101	登录·壹	首次登录游戏	1010201	10	21010201	21010201	9
1010202	10102	10102	0	2	1010202	1	101	登录·贰	累计登录3天	1010202	10	21010202	21010202	10
1010203	10102	10102	0	3	1010203	1	101	登录·叁	累计登录4天	1010203	10	21010203	21010203	11
1010204	10102	10102	0	4	1010204	1	101	登录·肆	累计登录5天	1010204	10	21010204	21010204	12
1010205	10102	10102	0	5	1010205	1	101	登录·伍	累计登录6天	1010205	10	21010205	21010205	13
1010206	10102	10102	0	6	1010206	1	101	登录·陆	累计登录7天	1010206	10	21010206	21010206	14
1010207	10102	10102	0	7	1010207	1	101	登录·柒	累计登录8天	1010207	10	21010207	21010207	15
1010208	10102	10102	0	8	1010208	1	101	登录·捌	累计登录10天	1010208	10	21010208	21010208	16
1010209	10102	10102	0	9	1010209	1	101	登录·玖	累计登录12天	1010209	10	21010209	21010209	17
1010210	10102	10102	0	10	1010210	1	101	登录·拾	累计登录14天	1010210	10	21010210	21010210	18
1010211	10102	10102	0	11	1010211	1	101	登录·拾壹	累计登录21天	1010211	10	21010211	21010211	19
1010212	10102	10102	0	12	1010212	1	101	登录·拾贰	累计登录28天	1010212	10	21010212	21010212	20
1010301	10103	10103	0	1	1010301	1	101	成就积分·壹	首次得到成就积分	1010301	10	21010301	21010301	21
1010302	10103	10103	0	2	1010302	1	101	成就积分·贰	累计得到成就积分300	1010302	10	21010302	21010302	22
1010303	10103	10103	0	3	1010303	1	101	成就积分·叁	累计得到成就积分1000	1010303	10	21010303	21010303	23
1010304	10103	10103	0	4	1010304	1	101	成就积分·肆	累计得到成就积分2000	1010304	10	21010304	21010304	24
1020101	10201	10201	0	1	1020101	1	102	攒钱钞票·壹	累计获得50万钞票	1020101	10	21020101	21020101	25
1020102	10201	10201	0	2	1020102	1	102	攒钱钞票·贰	累计获得500万钞票	1020102	10	21020102	21020102	26
1020103	10201	10201	0	3	1020103	1	102	攒钱钞票·叁	累计获得2000万钞票	1020103	10	21020103	21020103	27
1020301	10203	10203	0	1	1020301	1	102	消费钞票·壹	累计消耗350万钞票	1020301	10	21020301	21020301	28
1020302	10203	10203	0	2	1020302	1	102	消费钞票·贰	累计消耗1000万钞票	1020302	10	21020302	21020302	29
1020303	10203	10203	0	3	1020303	1	102	消费钞票·叁	累计消耗3000万钞票	1020303	10	21020303	21020303	30
1020401	10204	10204	0	1	1020401	1	102	消费角色经验·壹	累计消耗60万经验	1020401	10	21020401	21020401	31
1020402	10204	10204	0	2	1020402	1	102	消费角色经验·贰	累计消耗150万经验	1020402	10	21020402	21020402	32
1020403	10204	10204	0	3	1020403	1	102	消费角色经验·叁	累计消耗400万经验	1020403	10	21020403	21020403	33
1030101	10301	10301	0	1	1030101	1	103	超市购买·壹	普通商店购买过50次	1030101	10	21030101	21030101	34
1030102	10301	10301	0	2	1030102	1	103	超市购买·贰	普通商店购买过200次	1030102	10	21030102	21030102	35
1030103	10301	10301	0	3	1030103	1	103	超市购买·叁	普通商店购买过500次	1030103	10	21030103	21030103	36
2010101	20101	20143	1	1	2010101	2	201	主线·壹	通过主线第一章	2010101	10	22010101	22010101	37
2010102	20101	20144	1	2	2010102	2	201	主线·贰	通过主线第三章	2010102	10	22010102	22010102	38
2010103	20101	20145	1	3	2010103	2	201	主线·叁	通过主线第五章	2010103	10	22010103	22010103	39
2010104	20101	20146	1	4	2010104	2	201	主线·肆	通过主线第七章	2010104	10	22010104	22010104	40
2010105	20101	20147	1	5	2010105	2	201	主线·伍	通过主线第十章	2010105	10	22010105	22010105	41
2010106	20101	20148	1	6	2010106	2	201	主线·陆	通过主线第十二章	2010106	10	22010106	22010106	42
2010107	20101	20149	1	7	2010107	2	201	主线·柒	通过主线第十五章	2010107	10	22010107	22010107	43
2020101	20201	20250	1	1	2020101	2	202	全息调查·壹	通过全息调查第1章	2020101	10	22020101	22020101	44
2020102	20201	20251	1	2	2020102	2	202	全息调查·贰	通过全息调查第5章	2020102	10	22020102	22020102	45
2020103	20201	20252	1	3	2020103	2	202	全息调查·叁	通过全息调查第15章	2020103	10	22020103	22020103	46
2020104	20201	20253	1	4	2020104	2	202	全息调查·肆	通过全息调查第20章	2020104	10	22020104	22020104	47
2020105	20201	20254	1	5	2020105	2	202	全息调查·伍	通过全息调查第25章	2020105	10	22020105	22020105	48
2020106	20201	20255	1	6	2020106	2	202	全息调查·陆	通过全息调查第30章	2020106	10	22020106	22020106	49
2020201	20202	20257	1	1	2020201	2	202	完美全息调查·壹	完美通过全息调查第1章	2020201	10	22020201	22020201	50
2020202	20202	20258	1	2	2020202	2	202	完美全息调查·贰	完美通过全息调查第5章	2020202	10	22020202	22020202	51
