id	CommendLevel	Commendtype	RewardShow	drop	rechargShow	rechargdrop	
1	40	1	20000162	20000162	20000164	20000164
2	80	1	20000162	20000162	20000028	20000028
3	120	1	20000163	20000163	20000162	20000162
4	160	1	20000162	20000162	20000028	20000028
5	200	1	20000162	20000162	20000164	20000164
6	300	1	20000163	20000163	20000165	20000165
7	40	2	20000162	20000162	20000164	20000164
8	80	2	20000162	20000162	20000028	20000028
9	120	2	20000162	20000162	20000163	20000163
10	160	2	20000162	20000162	20000028	20000028
11	200	2	20000162	20000162	20000163	20000163
12	300	2	20000163	20000163	20000165	20000165
13	40	3	20000162	20000162	20000164	20000164
14	80	3	20000162	20000162	20000028	20000028
15	120	3	20000163	20000163	20000164	20000164
16	160	3	20000162	20000162	20000028	20000028
17	200	3	20000162	20000162	20000164	20000164
18	300	3	20000163	20000163	20000165	20000165
19	40	4	20000162	20000162	20000164	20000164
20	80	4	20000162	20000162	20000028	20000028
21	120	4	20000162	20000162	20000163	20000163
22	160	4	20000162	20000162	20000028	20000028
23	200	4	20000162	20000162	20000164	20000164
24	300	4	20000163	20000163	20000165	20000165
