id	stage	drop	dropShow	position	
1	1	20000038	20000038	1,5
2	1	20000038	20000038	2,5
3	1	20000038	20000038	3,5
4	1	20000038	20000038	4,5
5	1	20000038	20000038	5,5
6	1	20000038	20000038	5,4
7	1	20000038	20000038	5,3
8	1	20000038	20000038	5,2
9	1	20000038	20000038	5,1
10	2	20000038	20000038	1,5
11	2	20000038	20000038	2,5
12	2	20000038	20000038	3,5
13	2	20000038	20000038	4,5
14	2	20000038	20000038	5,5
15	2	20000038	20000038	5,4
16	2	20000038	20000038	5,3
17	2	20000038	20000038	5,2
18	2	20000038	20000038	5,1
19	3	20000038	20000038	1,5
20	3	20000038	20000038	2,5
21	3	20000038	20000038	3,5
22	3	20000038	20000038	4,5
23	3	20000038	20000038	5,5
24	3	20000038	20000038	5,4
25	3	20000038	20000038	5,3
26	3	20000038	20000038	5,2
27	3	20000038	20000038	5,1
28	4	20000038	20000038	1,5
29	4	20000038	20000038	2,5
30	4	20000038	20000038	3,5
31	4	20000038	20000038	4,5
32	4	20000038	20000038	5,5
33	4	20000038	20000038	5,4
34	4	20000038	20000038	5,3
35	4	20000038	20000038	5,2
36	4	20000038	20000038	5,1
