id	name	unlockType	unlockPara	unlockPara2	lineupId	lineupLimit	isOnlineBattle	BgmId	openType	openPara	guideId	icon	des	timeDes	rewardId	openLimitDes	turnId	lineupTeamId	saveBattleLog	dayLimit	weekLimit	activityIcon	activityName	bgColour	activityreward	teamLv	help	noPrelock	
0	主线	1	0	0	39	1	0	0	0	0	0	340460008	新人协会职员的传奇生涯即将揭开新的篇章……	 	 	等级0级后解锁	0	0	0	0	0	349010031	 	 		 	0	0
1	全息调查	1	1	0	0	0	1	0	0	0	0	340460008	灾害对策部的主要任务之一，调查异闻、与怪人战斗，将灾害消灭在摇篮中吧！	 	 	等级1级后解锁	12	0	0	0	0	349010024	 	 		 	0	0
2	怪人研究所	1	14	0	0	0	1	0	0	0	0	340460008	挑战怪人研究所，是获取觉醒材料的主要途径。	 	 	等级14级后解锁	21	45	0	0	0	349010004	340570006	321005001|000000,712600|ce4600,fe9709	6110001,1120001	14,80	0	0
3	英雄试炼	1	27	0	0	0	1	0	0	0	0	340460008	击败协会指定的角色，是获取源核的主要途径。	 	 	等级27级后解锁	18	46	0	0	0	349010023	340570002	321001001|000000,003972|5efeff,109cff	6110003,1120001	27,80	0	0
4	治安委派	4	204060	0	0	1	0	0	0	0	0	340460008	委任各个角色执行治安巡逻任务，提升居民的信赖，获得奖励吧！	 	 	等级204060级后解锁	15	0	0	0	0	349010030	340570003	321001501|000000,005a1e|65d92b,bbff33	1120001,6110002,1120002,6110003	 	0	0
5	突发事件	1	8	0	0	0	1	0	0	0	0	340460008	紧急事件发生！应对突发事件会消耗大量体力，但是战斗胜利亦会获得超量奖励。	 	 	等级8级后解锁	0	0	0	0	0	349010017	 	 		 	0	0
6	协会考核（废弃）	1	1	0	11	0	1	0	0	0	0	340460008	 	 	 	等级1级后解锁	0	0	0	0	0	315001004	 	 		 	0	0
7	福利商店	1	16	0	0	0	0	0	0	0	0	340460008	 	 	 	等级16级后解锁	31	0	0	0	0	315001004	 	 		 	0	0
8	社团卖场	3	17	1	0	0	0	0	0	0	0	340460008	花费钻石或声望在超市的社团卖场中购买稀有的物品吧！	 	 	等级17级后解锁	32	0	0	0	0	315001004	 	 		 	0	0
9	情报交流	3	17	1	0	0	0	0	0	0	0	340460008	若拥有多余的角色情报，可在此交流给其他社团成员。	 	 	等级17级后解锁	27	0	0	0	0	315001004	 	 		 	0	0
10	社团讨伐	3	2	1	12	0	1	0	3	0	0	340460008	集结全体社团成员的力量抗击强敌！可依伤害贡献获取奖励。	每日社团长规定时间	1120001,1120004	社团1级解锁	28	0	0	0	0	315001004	 	 		 	0	0
11	武道大会	1	14	0	13	0	1	0	1	10,12|13,23	0	340460008	参加武道大会，可与来自世界各地的对手展开实时对决，获取排行榜奖励！	每天12:00-14:00 19:00-20:00	1120001,1120002,1120003	等级14级后解锁	19	0	1	0	0	349010008	340570009	321000301|000000,654300|ce4600,fe9709	1120005,1120010,1110010	 	0	0
12	模拟训练	1	10	0	0	0	1	0	0	0	0	340460008	在模拟设施中对战怪人，是角色经验的主要获取途径。	 	 	等级10级后解锁	17	47	0	0	0	349010012	340570001	321002801|000000,670000|e5024d,f23c3d		10,80	0	0
13	道馆演武	1	26	0	23	0	1	0	0	0	0	340460008	消耗挑战券与其他玩家进行切磋！胜利后可获取体力，钻石等稀有道具。	 	 	等级26级后解锁	16	0	0	0	0	349010002	340570010	321004101|000000,654300|ce4600,fe9709	1120006,1120002,2110010	 	0	0
14	埼玉家	1	13	0	0	0	0	551000007	0	0	0	0	拜访埼玉家，可以和埼玉、杰诺斯等人互动，领取每日奖励。	 	 	等级13级后解锁	13	0	0	0	0	315001004	340570011	321000501|000000,654300|ce4600,fe9709	1110006,1120006,1120005	 	0	0
15	料理	1	18	0	0	0	0	0	0	0	0	0	为埼玉制作料理吧！制作食物可获得回礼，并增加埼玉的好感度。	 	 	等级18级后解锁	0	0	0	0	0	349010005	 	 		 	0	0
16	英雄之道（废弃）	1	19	0	16	0	0	0	0	0	0	0	 	 	 	等级19级后解锁	0	0	0	0	0	315001004	 	 		 	0	0
17	更换阵容	1	1	0	0	0	0	0	0	0	0	0	 	 	 	等级1级后解锁	0	0	0	0	0	349010029	 	 		 	0	0
18	角色列表	1	1	0	0	0	0	0	0	0	0	0	 	 	 	等级1级后解锁	0	0	0	0	0	349010021	 	 		 	0	0
19	装备界面（废弃）	1	10	0	0	0	0	0	0	0	0	0	 	 	 	等级10级后解锁	0	0	0	0	0	315001004	 	 		 	0	0
20	每日占卜	1	2	0	0	0	0	0	0	0	0	0	 	 	 	等级2级后解锁	0	0	0	0	0	315001004	 	 		 	810	0
21	角色手册	1	2	0	0	0	0	0	0	0	0	0	 	 	 	等级2级后解锁	0	0	0	0	0	349010016	 	 		 	0	0
22	成就	1	15	0	0	0	0	0	0	0	0	0	 	 	 	等级15级后解锁	0	0	0	0	0	315001004	 	 		 	0	0
23	好友	1	6	0	0	0	0	0	0	0	0	0	 	 	 	等级6级后解锁	0	0	0	0	0	349010003	 	 		 	0	0
24	组队	1	80	0	14	0	0	0	0	0	0	0	 	 	 	等级80级后解锁	0	0	0	0	0	349010032	 	 		 	0	0
25	社团	1	17	0	0	0	0	0	0	0	0	0	 	 	 	等级17级后解锁	0	0	0	0	0	349010015	 	 		 	0	0
26	超市	1	2	0	0	0	0	0	0	0	0	0	资源、源核、角色情报！你要的这里都有！	 	 	等级2级后解锁	0	0	0	0	0	349010014	 	 		 	0	0
27	背包	1	1	0	0	0	0	0	0	0	0	0	 	 	 	等级1级后解锁	0	0	0	0	0	349010001	 	 		 	0	0
28	正义角逐	1	29	0	40	0	1	551000003	0	0	0	340460008	每日限次挑战！制霸各个区域，可获得大量奖励！	 	 	等级29级后解锁	10	0	0	5	0	349010028	340570012	321000801|000000,712600|ce4600,fe9709	1120002,6110001,6110003,1120001	 	0	0
29	英雄物语	1	42	0	18	0	1	551000004	0	0	0	340460008	 	 	 	等级42级后解锁	11	0	0	0	0	315001004	340570005	321001001|000000,006666|008282,00fdfd		 	0	0
30	活动	1	2	0	19	0	0	0	0	0	0	0	 	 	 	等级2级后解锁		0	0	0	0	315001004	 	 		 	0	0
31	强者之梦（废弃）	1	42	0	30	0	1	0	0	0	0	340460008	挑战梦境模拟装置，面对强者吧！可在此获得角色情报，稀有源核等珍贵道具。	 	 	等级42级后解锁	20	0	0	0	0	349010009	340570007	321000701|000000,6d066d|6b039d,e04bfe		 	0	0
32	自动战斗	4	201010	0	0	0	0	0	0	0	0	0	 	 	 	等级201010级后解锁	0	0	0	0	0	315001004	 	 		 	0	0
33	埼玉卡片	1	13	0	0	0	0	0	0	0	0	0	 	 	 	等级13级后解锁	0	0	0	0	0	315001004	 	 		 	0	0
34	两倍速	4	201010	0	0	0	0	0	0	0	0	0	 	 	 	等级201010级后解锁	0	0	0	0	0	315001004	 	 		 	0	0
35	s技能跳过按钮	4	201010	0	0	0	0	0	0	0	0	0	 	 	 	等级201010级后解锁	0	0	0	0	0	315001004	 	 		 	0	0
36	源核	1	27	0	0	0	0	0	0	0	0	0	 	 	 	等级27级后解锁	0	0	0	0	0	349010026	 	 		 	0	0
37	小游戏	1	19	0	0	0	0	0	0	0	0	0	 	 	 	等级19级后解锁	0	0	0	0	0	349010019	 	 		 	0	0
38	招募	1	1	0	0	0	0	0	0	0	0	0	召集英雄和其它战斗角色，对抗怪人保卫城市吧！	 	 	等级1级后解锁	0	0	0	0	0	349010027	 	 		 	0	0
39	社团任务	3	17	1	0	0	0	0	0	0	0	340460008	与其他社团成员协作，完成任务获得奖励吧！	 	 	等级17级后解锁	40	0	0	0	0	315001004	 	 		 	0	0
40	社团工厂	3	17	1	0	0	0	0	0	0	0	340460008	收集零件，推动生产线进度吧！完成组装需求将会增加声望并获得奖励。	 	 	等级17级后解锁	41	0	0	0	0	315001004	 	 		 	0	0
41	表彰	1	42	0	0	0	0	0	0	 	0	0	 	 	 	等级42级后解锁	0	0	0	0	0	315001004	 	 		 	0	0
42	邮件	1	1	0	0	0	0	0	0	 	0	0	 	 	 	等级1级后解锁	0	0	0	0	0	349010025	 	 		 	0	0
43	演练中心	4	202050	0	21	0	0	0	0	 	0	0	演练角色，培训技巧。向高手之路迈进吧！	 	 	等级202050级后解锁	35	0	0	0	0	349010020	 	 		 	0	0
44	手办柜	1	18	0	0	0	0	0	0	 	0	0	 	 	 	 	0	0	0	0	0	315001004	 	 		 	0	0
45	全息世界	1	1	0	0	0	0	551000005	0	 	0	0	 	 	 	 	0	0	0	0	0	315001004	 	 		 	0	0
46	偶像的礼遇	1	2	0	0	0	0	0	3	0	0	340460102	 	 	 	 	0	0	0	0	0	315001004	 	 		 	0	0
47	资源找回	1	10	0	0	0	0	0	0	 	0	0	 	 	 	 	0	0	0	0	0	315001004	 	 		 	0	0
48	获取途径	1	5	0	0	0	0	0	0	 	0	0	 	 	 	 	0	0	0	0	0	315001004	 	 		 	0	0
49	协会测验	4	206060	0	0	0	0	0	0	 	0	0	参与协会测验答题，可获得选择角色的情报	 	 	通关全息调查第六章解锁	30	0	0	6	0	349010040	340570004	321001601|000000,654300|ce4600,fe9709		 	0	0
50	作战	4	202050	0	0	0	0	0	0	 	0	0	 	 	 	通关全息调查第三章解锁	0	0	0	0	0	315001004	 	 		 	0	0
51	社团BOSS	3	1	2	39	1	1	0	0	 	0	0	 	 	 	 	0	0	0	0	0	315001004	 	 		 	0	0
52	无人区探索	1	33	0	22	0	1	0	0	 	0	0	响应协会的调查请求，探索城市荒废区域吧。通过后可获得大量奖励！	 	 	 	27	0	0	0	0	349010018	340570008	321003901|000000,670000|e5024d,f23c3d	1120005,1120002,6110003,1120001	 	0	0
53	晋级挑战	1	2	0	0	0	0	0	3	 	0	0	 	 	 	 	0	0	0	0	0	315001004	 	 		 	805	0
54	协同指导	1	25	0	0	0	0	0	0	 	0	0	 	 	 	 	0	0	0	0	0	349010010	 	 		 	0	0
55	集结	1	14	0	0	0	0	0	3	 	0	0	 	 	 	 	0	0	0	0	0	315001004	 	 		 	0	0
56	每日报到	1	2	0	0	0	0	0	3	 	0	340460112	 	 	 	 	0	0	0	0	0	315001004	 	 		 	0	0
57	排行榜	1	18	0	0	0	0	0	0	 	0	0	 	 	 	 	1	0	0	0	0	349010007	 	 		 	0	0
58	我要变强	1	5	0	0	0	0	0	0	 	0	0	 	 	 	 	0	0	0	0	0	315001004	 	 		 	0	0
59	情报作战	3	17	2	39	1	1	0	0	 	0	0	 	 	 	 	0	0	0	0	0	315001004	 	 		 	0	0
60	觉醒	1	14	0	0	0	0	0	0	 	0	0	 	 	 	 	0	0	0	0	0	315001004	 	 		 	0	0
61	活动	1	2	0	0	0	0	0	0	 	0	0	 	 	 	 	0	0	0	0	0	315001004	 	 		 	0	0
62	日常	1	10	0	0	0	0	0	0	 	0	0	 	 	 	 	0	0	0	0	0	349010013	 	 	 	 	0	0
63	埼玉家签到（好感度玩偶）	1	13	0	0	0	0	0	0	 	0	0	 	 	 	等级13级后解锁	0	0	0	0	0	 	 	 	 	 	0	0
64	合成	1	6	0	0	0	0	0	0	 	0	0	 	 	 	 	33	0	0	0	0	315001004	 	 	 	 	0	0
65	聊天	1	6	0	0	0	0	0	0	 	0	0	 	 	 	 	33	0	0	0	0	315001004	 	 	 	 	0	0
66	社团采购	3	17	1	0	0	0	0	0	 	0	0	 	 	 	 	0	0	0	0	0	315001004	 	 	 	 	0	0
67	情报商店	1	1	0	0	0	0	0	0	 	0	0	分解角色情报，使用情报点兑换配给物资吧！	 	 	等级1级后解锁	0	0	0	0	0	349010025	 	 		 	0	0
68	攻略	1	1	0	0	0	0	0	0	0	0	0	 	 	 	等级1级后解锁	0	0	0	0	0	315001004	 	 		 	0	0
69	强者之路	1	1	0	0	0	0	0	0	 	0	0	 	 	 	等级1级后解锁	0	0	0	0	0	315001004	 	 		 	0	0
70	物语	1	42	0	0	0	0	0	0	 	0	0	 	 	 	等级42级后解锁	0	0	0	0	0	315001004	 	 		 	0	0
71	关注公众号	1	2	0	0	0	0	0	0	 	0	0	 	 	 	等级2级后解锁	0	0	0	0	0	 	 	 		 	0	0
72	限时礼包	1	2	0	0	0	0	0	0	 	0	0	 	 	 	等级2级后解锁	0	0	0	0	0	 	 	 		 	0	0
