id	scheDuling	layers	Exploreid	pictureid	specialPicture	regionalText1	regionalText2	mapCoordinates	
1	1	1	10	1120102	340670001	第1区  	A-1	88,259
2	1	1	10	1120102	340670002	第2区  	A-2	214,718
3	1	1	10	1120102	340670003	第3区  	A-3	459,517
4	1	1	10	1120102	340670004	第4区  	A-4	830,190
5	1	1	10	1120102	340670005	第5区  	A-5	1260,456
6	1	1	10	1120102	340670006	第6区  	A-6	1134,718
7	1	1	10	1120102	340670007	第7区  	A-7	1772,267
8	1	1	10	1120102	340670008	第8区  	A-8	2072,534
9	1	1	10	1120102	340670009	第9区  	A-9	1819,733
10	1	1	10	1120102	340670010	第10区  	A-10	2584,175
11	1	1	10	1120102	340670011	第11区  	A-11	2823,452
12	1	1	10	1120102	340670012	第12区  	A-12	2767,733
13	1	2	10	1120102	340670001	第1区  	B-1	88,259
14	1	2	10	1120102	340670002	第2区  	B-2	214,718
15	1	2	10	1120102	340670003	第3区  	B-3	459,517
16	1	2	10	1120102	340670004	第4区  	B-4	830,190
17	1	2	10	1120102	340670005	第5区  	B-5	1157,456
18	1	2	10	1120102	340670006	第6区  	B-6	1237,718
19	1	2	10	1120102	340670007	第7区  	B-7	1772,267
20	1	2	10	1120102	340670008	第8区  	B-8	2072,534
21	1	2	10	1120102	340670009	第9区  	B-9	1819,733
22	1	2	10	1120102	340670010	第10区  	B-10	2584,175
23	1	2	10	1120102	340670011	第11区  	B-11	2823,452
24	1	2	10	1120102	340670012	第12区  	B-12	2767,733
