id	name	openType	scheDuling	openPara1	openPara2	openPara3	timeType	startTime	endTime	specialEndTime	freshTime	closeTime	closeActivity	OpenServiceActivity	integralType	integralStage	integralReward	integralRewardShow	title	picture	description	para1	para2	para3	mailTemplateId	exchangeResources	enterType	sort	des	destime	timeDown	desPic	RechargeId	iACTIVITYTYPE	topId	NoShow	DisplayFunctionType	DisplayFunctionParam	
1	甜心假面的任务	46	1	4	0	0	2	2022-5-19 05:00:00	2022-5-26 04:59:59	0,5,0,1296000	8,0	0	0	0	46	0	0	0	0	321000601	1002	0	0	0	0	 	1	1	5100	 	1	0	 	3	0	0	0	 
2	晋级挑战	53	1	4	0	0	1	2022-3-17 00:00:00	2023-5-06 00:00:00	0,5,0,120960000	8,0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	 	3	1	4002	 	1	0	 	3	66	0	0	 
4	每日报到	56	1	4	0	0	2	2022-3-17 00:00:00	2022-5-06 00:00:00	0,5,0,1296000	8,0	0	1	0	0	0	0	0	0	0	0	4002,4003,4008	0	0	0	 	1	3	0	 	0	0	 	2	0	0	0	 
6	人物特辑	73	1	4	0	0	1	2022-5-22 05:00:00	2022-5-25 04:59:59	2,5,0,432000	8,0	0	0	0	0	0	0	0	0	0	0	0	0	0	100001	 	2	4	0	 	0	0	 	3	67	0	0	 
7	人物特辑	73	2	4	0	0	1	2023-4-29 05:00:00	2023-5-6 04:59:59	8,5,0,518400	8,0	0	0	0	0	0	0	0	0	0	0	0	0	0	100001	 	2	4	0	 	0	0	 	3	67	0	0	 
8	人物特辑	73	3	4	0	0	1	2024-4-29 05:00:00	2024-5-6 04:59:59	15,5,0,518400	8,0	0	0	0	0	0	0	0	0	0	0	0	0	0	100001	 	2	4	0	 	0	0	 	3	67	0	0	 
9	限定招募	91	1	4	0	0	1	2022-5-22 05:00:00	2022-5-25 04:59:59	2,5,0,432000	8,0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	2	2	0	 	0	0	 	4	67	0	0	 
10	限定招募	91	2	4	0	0	1	2023-4-29 05:00:00	2023-5-6 04:59:59	8,5,0,518400	8,0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	2	2	0	 	0	 	 	4	67	0	0	 
11	限定招募	91	3	4	0	0	1	2024-4-29 05:00:00	2024-5-6 04:59:59	15,5,0,518400	8,0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	2	2	0	 	0	0	 	4	67	0	0	 
12	超能招募	92	1	4	0	0	1	2022-5-22 05:00:00	2022-5-25 04:59:59	2,5,0,432000	8,0	0	0	0	0	0	0	0	0	0	0	0	0	0	100007	 	2	3	0	 	0	0	 	4	67	0	0	 
