id	config_name	characterModelId	defaultAni	bornShowAni	clickType	clickAniList	clickCameraList	moveDistance	cameraDistance	clickText	groupText	ActivityType	param_1	param_2	npcGrounpId	showPriority	decorationId	decorationPoint	
4000211	杰诺斯(武装)（主城展示）	4000211	idle_show_loop|1	born_show	1	maincity_talk_start|0|zhucheng,maincity_talk_loop|1,maincity_talk_end	0	9,0	2	为了变强，我什么困难都会努力克服！	 	0	 	 	 	1,0	 	 
4000311	战栗的龙卷（主城展示）	4000311	idle_show_loop|1	born_show	1	maincity_talk_start|0|zhucheng,maincity_talk_loop|1,maincity_talk_end	0	9,0	1	嗯？你有什么疑问吗？	乖乖回家去，事情交给我处理就够了。	0	 	 	5,1	 	 	 
4000321	战栗的龙卷（星月魔女主城展示）	4000321	idle_show_loop|1	born_show	1	maincity_talk_start|0|zhucheng,maincity_talk_loop|1,maincity_talk_end	0	9,0	1	嗯？你有什么疑问吗？	乖乖回家去，事情交给我处理就够了。	0	 	 	5,1	 	 	 
4000421	银色獠牙（主城展示）	4000421	idle_show_loop|1	born_show	1	maincity_talk_start|0|zhucheng,maincity_talk_loop|1,maincity_talk_end	0	9,0	2	好久没有做过剧烈运动了……	……茶岚子，你留下来看家。	0	 	 	4,2	 	 	 
4000511	King（主城展示）	4000511	idle_show_loop|1	born_show	1	maincity_talk_start|0|zhucheng,maincity_talk_loop|1,maincity_talk_end	0	9,0	2	我很忙，你还是去找其它英雄比较好……	 	0	 	 	 	 	 	 
4000611	原子武士（主城展示）	4000611	idle_show_loop|1	born_show	1	maincity_talk_start|0|zhucheng,maincity_talk_loop|0|zhuchengidle,maincity_talk_end	0	9,0	2	我只认同强者。	居合，你的剑术之道还没到头呢。	0	 	 	3,2	 	 	 
4000711	金属骑士（主城展示）	4000711	idle_show_loop|1	born_show	1	maincity_talk_start|0|zhucheng,maincity_talk_loop|1,maincity_talk_end	0	9,0	3	下一款武器该搭载什么功能呢……	 	0	 	 	 	 	 	 
4000811	金属球棒（主城展示）	4000811	idle_show_loop|1	born_show	1	maincity_talk_start|0|zhucheng,maincity_talk_loop|1,maincity_talk_end	0	9,0	2	不屈不挠地战斗吧！	 	0	 	 	 	 	 	 
4000911	性感囚犯（主城展示）	4000911	idle_show_loop|1	born_show	1	maincity_talk_start|0|zhucheng,maincity_talk_loop|1,maincity_talk_end	0	9,0	3	哈哈哈，为了见你，我很努力！	 	0	 	 	 	 	 	 
4001011	甜心假面（主城展示）	4001011	idle_show_loop|1	born_show	1	maincity_talk_start|0|zhucheng,maincity_talk_loop|1,maincity_talk_end	0	9,0	2	若闹得太过分，可是会伤到自己的。	 	0	 	 	 	 	 	 
4001111	闪电麦克斯（主城展示）	4001111	idle_show_loop|1	born_show	1	maincity_talk_start|0|zhucheng,maincity_talk_loop|1,maincity_talk_end	0	9,0	2	尝尝闪电飞踢的厉害吧！	 	0	 	 	 	 	 	 
4001211	居合庵（主城展示）	4001211	idle_show_loop|1	born_show	1	maincity_talk_start|0|zhucheng,maincity_talk_loop|1,maincity_talk_end	0	9,0	2	我的刀不会让你失望的。	是，师父……！	0	 	 	3,1	 	 	 
4001311	毒刺（主城展示）	4001311	idle_show_loop|1	born_show	1	maincity_talk_start|0|zhucheng,maincity_talk_loop|1,maincity_talk_end	0	9,0	2	人气英雄闪亮登场！	 	0	 	 	 	 	 	 
4001411	黄金球（主城展示）	4001411	idle_show_loop|1	born_show	1	maincity_talk_start|0|zhucheng,maincity_talk_loop|0|zhuchengidle,maincity_talk_end	0	9,0	2	先下手为强，这就是我的信条。	嗯，早点解决完事。	0	 	 	1,2	 	 	 
4001511	弹簧胡子（主城展示）	4001511	idle_show_loop|1	born_show	1	maincity_talk_start|0|zhucheng,maincity_talk_loop|1,maincity_talk_end	0	9,0	2	优雅地战斗……这就是我的信条。	抓紧时间调查吧。	0	 	 	1,1	 	 	 
4001611	斯奈克（主城展示）	4001611	idle_show_loop|1	born_show	1	maincity_talk_start|0|zhucheng,maincity_talk_loop|1,maincity_talk_end	0	9,0	2	你也赶快变成和我一样的优秀的前辈吧！	 	0	 	 	 	 	 	 
4001711	青焰（主城展示）	4001711	idle_show_loop|1	born_show	1	maincity_talk_start|0|zhucheng,maincity_talk_loop|1,maincity_talk_end	0	9,0	2	我会把邪恶烧成灰烬。	 	0	 	 	 	 	 	 
4001811	雷光源氏（主城展示）	4001811	idle_show_loop|0	born_show	1	maincity_talk_start|0|zhucheng,maincity_talk_loop|1,maincity_talk_end	0	9,0	2	趁动作变慢时决出胜负。	 	0	 	 	 	 	 	 
4001911	微笑超人（主城展示）	4001911	idle_show_loop|0	born_show	1	maincity_talk_start|0|zhucheng,maincity_talk_loop|1,maincity_talk_end	0	9,0	2	没问题吗？记得小心应对。	 	0	 	 	 	 	 	 
4002011	重型金刚（主城展示）	4002011	idle_show_loop|1	born_show	1	maincity_talk_start|0|zhucheng,maincity_talk_loop|1,maincity_talk_end	0	9,0	3	没有问题，我们出发吧。	 	0	 	 	 	 	 	 
4002111	地狱的吹雪（主城展示）	4002111	idle_show_loop|0	born_show	1	maincity_talk_start|0|zhucheng,maincity_talk_loop|1,maincity_talk_end	0	9,0	1	要来加入吹雪组吗？	姐……姐姐？	0	 	 	5,2	 	 	 
4002121	地狱的吹雪（圣诞节主城展示）	4002121	idle_show_loop|0	born_show	1	maincity_talk_start|0|zhucheng,maincity_talk_loop|1,maincity_talk_end	0	9,0	1	要来加入吹雪组吗？	姐……姐姐？	0	 	 	5,2	 	 	 
4002211	冲天好小子（主城展示）	4002211	idle_show_loop|0	born_show	1	maincity_talk_start|0|zhucheng,maincity_talk_loop|1,maincity_talk_end	0	9,0	2	喷射之力，火箭直拳！	 	0	 	 	 	 	 	 
4002311	背心黑洞（主城展示）	4002311	idle_show_loop|1	born_show	1	maincity_talk_start|0|zhucheng,maincity_talk_loop|1,maincity_talk_end	0	9,0	2	没人可以欺负我的弟弟！	哦，弟弟，是你呀。今天也为提升排名而奋斗吧！	0	 	 	2,2	 	 	 
4002411	睫毛（主城展示）	4002411	idle_show_loop|1	born_show	1	maincity_talk_start|0|zhucheng,maincity_talk_loop|1,maincity_talk_end	0	9,0	2	你好，我是吹雪组的睫毛。	 	0	 	 	 	 	 	 
4002511	山猿（主城展示）	4002511	idle_show_loop|1	born_show	1	maincity_talk_start|0|zhucheng,maincity_talk_loop|1,maincity_talk_end	0	9,0	2	听吹雪大人的准没错。	 	0	 	 	 	 	 	 
4002611	三节棍莉莉（主城展示）	4002611	idle_show_loop|0	born_show	1	maincity_talk_start|0|zhucheng,maincity_talk_loop|1,maincity_talk_end	0	9,0	1	吹雪大人是最强的。	 	0	 	 	 	 	 	 
4002711	蘑菇（主城展示）	4002711	idle_show_loop|1	born_show	1	maincity_talk_start|0|zhucheng,maincity_talk_loop|1,maincity_talk_end	0	9,0	2	我是蘑菇，一定能帮到你的。	 	0	 	 	 	 	 	 
4002811	无证骑士（主城展示）	4002811	idle_show_loop|1	born_show	1	maincity_talk_start|0|zhucheng,maincity_talk_loop|1,maincity_talk_end	0	9,0	2	一定有我能做到的事！	 	0	 	 	 	 	 	 
