id	name	questType	scheDuling	exchangeNum	drop	dropShow	finishMax	reset	
1001	兑换限定招募券	100	1	2300002,100	20000567	20000567	10	2
1002	兑换觉醒精华	100	1	2300002,50	20000607	20000607	5	2
1003	兑换埼玉卡	100	1	2300002,20	20000568	20000568	5	2
1004	兑换钞票	100	1	2300002,10	20000569	20000569	99	2
1005	兑换角色经验	100	1	2300002,20	20000570	20000570	20	2
1006	兑换源核构件	100	1	2300002,15	20000571	20000571	50	2
1007	兑换觉醒材料	100	1	2300002,5	20000572	20000572	30	2
1008	星月魔女龙卷立绘(30天)	123	1	2300007,400	20000645	20000645	1	2
1009	万圣节糖果	123	1	2300007,20	20000646	20000646	5	2
1010	限定招募券	123	1	2300007,50	20000647	20000647	10	2
1011	埼玉卡	123	1	2300007,20	20000648	20000648	5	2
1012	觉醒精华	123	1	2300007,20	20000649	20000649	5	2
1013	钞票	123	1	2300007,5	20000650	20000650	99	2
1021	兑换限定招募券	100	2	2300002,100	20000567	20000567	10	2
1022	兑换觉醒精华	100	2	2300002,50	20000607	20000607	5	2
1023	兑换埼玉卡	100	2	2300002,20	20000568	20000568	5	2
1024	兑换钞票	100	2	2300002,10	20000569	20000569	99	2
1025	兑换角色经验	100	2	2300002,20	20000570	20000570	20	2
1026	兑换源核构件	100	2	2300002,15	20000571	20000571	50	2
1027	兑换觉醒材料	100	2	2300002,5	20000572	20000572	30	2
1031	兑换限定招募券	100	3	2300002,100	20000573	20000567	10	2
1032	兑换觉醒精华	100	3	2300002,50	20000608	20000607	5	2
1033	兑换埼玉卡	100	3	2300002,20	20000574	20000568	5	2
1034	兑换钞票	100	3	2300002,10	20000575	20000569	100	2
1035	兑换角色经验	100	3	2300002,20	20000576	20000570	20	2
1036	兑换源核构件	100	3	2300002,15	20000577	20000571	50	2
1037	兑换觉醒材料	100	3	2300002,5	20000578	20000572	30	2
1038	兑换限定招募券	123	2	2300008,200	20000792	20000792	10	2
1039	兑换觉醒精华	123	2	2300008,150	20000793	20000793	5	2
1040	兑换埼玉卡	123	2	2300008,150	20000794	20000794	5	2
1041	兑换钞票	123	2	2300008,25	20000795	20000795	100	2
1042	兑换角色经验	123	2	2300008,50	20000796	20000796	20	2
1043	兑换源核构件	123	2	2300008,30	20000797	20000797	50	2
1044	兑换觉醒材料	123	2	2300008,10	20000798	20000798	50	2
1045	兑换限定招募券	123	3	2300009,200	20000792	20000792	10	2
1046	兑换觉醒精华	123	3	2300009,150	20000793	20000793	5	2
1047	兑换埼玉卡	123	3	2300009,150	20000794	20000794	5	2
1048	兑换钞票	123	3	2300009,25	20000795	20000795	100	2
1049	兑换角色经验	123	3	2300009,50	20000796	20000796	20	2
1050	兑换源核构件	123	3	2300009,30	20000797	20000797	50	2
1051	兑换觉醒材料	123	3	2300009,10	20000798	20000798	50	2
1052	兑换限定招募券	123	4	2300010,200	20000792	20000792	10	2
1053	兑换觉醒精华	123	4	2300010,150	20000793	20000793	5	2
1054	兑换埼玉卡	123	4	2300010,150	20000794	20000794	5	2
1055	兑换钞票	123	4	2300010,25	20000795	20000795	100	2
1056	兑换角色经验	123	4	2300010,50	20000796	20000796	20	2
1057	兑换源核构件	123	4	2300010,30	20000797	20000797	50	2
1058	兑换觉醒材料	123	4	2300010,10	20000798	20000798	50	2
1059	兑换限定招募券	123	5	4105500,1	20000871	20000871	1	2
1060	兑换限定招募券	123	5	4405500,1	20000871	20000871	2	2
1061	兑换限定招募券	123	5	4104500,1	20000871	20000871	1	2
1062	兑换限定招募券	123	5	4404500,1	20000871	20000871	2	2
1063	兑换限定招募券	123	5	4106500,1	20000871	20000871	1	2
1064	兑换限定招募券	123	5	4406500,1	20000871	20000871	2	2
1065	兑换限定招募券	123	5	4119500,1	20000871	20000871	1	2
1066	兑换限定招募券	123	5	4419500,1	20000871	20000871	2	2
1067	兑换限定招募券	123	5	4101500,1	20000871	20000871	1	2
1068	兑换限定招募券	123	5	4401500,1	20000871	20000871	2	2
1069	兑换限定招募券	123	5	4113500,1	20000871	20000871	1	2
1070	兑换限定招募券	123	5	4413500,1	20000871	20000871	2	2
1071	兑换限定招募券	123	5	4120500,1	20000871	20000871	1	2
1072	兑换限定招募券	123	5	4420500,1	20000871	20000871	2	2
1073	兑换限定招募券	123	5	4116500,1	20000871	20000871	1	2
1074	兑换限定招募券	123	5	4416500,1	20000871	20000871	2	2
