id	drop	rewardShow	score	array	row	front	payGift	payGiftShow	rechargeId	isCrossNode	drop2	rewardShow2	line	circle	
1	30000101	30000101	2	1	4	 	0	 	0	0	30000101	30000101	 	 
2	30000102	30000102	2	2	4	1	0	 	0	0	30000102	30000102	1,4|2,4	 
3	30000103	30000103	2	3	4	2	0	 	0	0	30000103	30000103	2,4|3,4	 
4	30000104	30000104	3	4	2	3	0	 	0	0	30000104	30000104	3,2|3,4|3,2|4,2	 
5	30000105	30000105	3	4	6	3	0	 	0	0	30000105	30000105	3,4|3,6|3,6|4,6	 
6	30000106	30000106	4	5	1	4	0	 	0	0	30000106	30000106	4,1|4,2|4,1|5,1	 
7	30000107	30000107	3	5	3	4	0	 	0	0	30000107	30000107	4,2|4,3|4,3|5,3	 
8	30000108	30000108	3	5	5	5	0	 	0	0	30000108	30000108	4,5|4,6|4,5|5,5	 
9	30000109	30000109	4	5	7	5	0	 	0	0	30000109	30000109	4,6|4,7|4,7|5,7	 
10	30000110	30000110	3	6	1	6	0	 	0	0	30000110	30000110	5,1|6,1	 
11	30000111	30000111	3	6	3	7	0	 	0	0	30000111	30000111	5,3|6,3	 
12	30000112	30000112	3	6	5	8	0	 	0	0	30000112	30000112	5,5|6,5	 
13	30000113	30000113	3	6	7	9	0	 	0	0	30000113	30000113	5,7|6,7	 
14	30000114	30000114	3	7	1	10	0	 	0	0	30000114	30000114	6,1|7,1	 
15	30000115	30000115	3	7	3	11	0	 	0	0	30000115	30000115	6,3|7,3	 
16	30000116	30000116	3	7	5	12	0	 	0	0	30000116	30000116	6,5|7,5	 
17	30000117	30000117	3	7	7	13	0	 	0	0	30000117	30000117	6,7|7,7	 
18	30000118	30000118	3	8	2	14,15	0	 	0	0	30000118	30000118	7,1|8,1|8,1|8,2|8,2|8,3|7,3|8,3	 
19	30000119	30000119	3	8	6	16,17	0	 	0	0	30000119	30000119	7,5|8,5|8,5|8,6|8,6|8,7|7,7|8,7	 
20	30000120	30000120	4	9	2	18	0	 	0	0	30000120	30000120	8,2|9,2	 
21	30000121	30000121	4	9	6	19	0	 	0	0	30000121	30000121	8,6|9,6	 
22	30000122	30000122	5	10	4	20,21	0	 	0	0	30000122	30000122	9,2|9.5,2|9.5,2|9.5,4|9.5,4|9.5,6|9,6|9.5,6	9.5,4
23	30000123	30000123	4	11	2	22	0	 	0	0	30000123	30000123	10,2|10,4|10,2|11,2	 
24	30000124	30000124	3	11	4	22	0	 	0	0	30000124	30000124	10,4|11,4	 
25	30000125	30000125	4	11	6	22	0	 	0	0	30000125	30000125	10,4|10,6|10,6|11,6	 
