id	scheDuling	name	heroShowStyleType	rolePic	rolePicPosOffset	rolePicScaleOffset	titleResID	bgPic	holographic	trueActivityId	
1	1	超能招募（战栗的龙卷）	3	340589401	44,187	0.8,0.8	340589304	330900153	0	92
2	2	超合金招募（超合金黑光）	1	321004201	-30,-29	1,1	340580209	330900153	0	92
3	3	闪光招募（闪光弗莱士）	2	340589405	-16,320	0.7,0.6	340580102	330900153	0	92
4	1	闪光招募（闪光弗莱士）	2	340589405	-16,320	0.7,0.6	340580102	330900153	0	143
5	2	怪人招募阿修罗	1	340589403	211,259	0.75,0.75	340580101	330900153	1	143
6	3	守卫者招募	2	340589408	-30,356	0.45,0.65	340580106	330900153	0	143
7	4	大师招募	2	340589406	-33,322	0.6,0.6	340580104	330900153	0	143
8	1	限时登录	1	340589410	160,350	0.7,0.7	340589412	330900153	0	76
9	1	剑盾挑战	1	321004501	-40,-29	1,1	340589411	330900153	0	85
10	5	怪人招募深海王	1	340650027	-12,327	0.7,0.6	340580101	330900153	1	143
11	6	剑盾招募	1	340589416	-12,327	0.7,0.7	340589417	330900153	0	143
12	2	限时登录	1	340589414	-27,180	0.6,0.7	340580107	330900153	1	76
13	1	巅峰对决	1	340589415	-263,327	0.6,0.6	340580108	330900153	0	104
14	7	怪人招募-疫苗人	1	340589414	-27,180	0.6,0.7	340580101	330900153	1	143
15	8	怪人招募阿修罗	1	340589403	211,259	0.75,0.75	340580101	330900153	1	143
16	3	限时登录	1	340589410	160,350	0.7,0.7	340589412	330900153	0	76
17	4	限时登录	1	340589410	160,350	0.7,0.7	340589412	330900153	0	76
18	9	超能招募（战栗的龙卷）	3	340589401	44,187	0.8,0.8	340589304	330900153	0	143
19	5	限时登录	1	340589419	-145,404	1,0.7	340589420	330900153	1	76
20	10	怪人招募-疫苗人	1	340589419	-145,404	1,0.7	340580101	330900153	1	143
21	11	守卫者招募	2	340589408	-30,356	0.45,0.65	340580106	330900153	0	143
22	6	限时登录	1	340589410	160,350	0.7,0.7	340589412	330900153	0	76
23	7	元旦登录	1	340589421	-42,260	0.5,0.6	340589423	330900153	0	76
24	12	飨宴招募	1	340589421	-42,260	0.5,0.6	340589422	330900153	0	143
25	8	限时登录	1	340589410	160,350	0.7,0.7	340589412	330900153	0	76
26	13	怪人招募深海王	1	340650027	-12,327	0.7,0.6	340580101	330900153	1	143
27	9	限时登录	1	340589410	160,350	0.7,0.7	340589412	330900153	0	76
28	14	返场招募	3	340589417	44,187	0.8,0.8	340589304	330900153	0	143
29	2	返场招募	3	340589425	44,187	0.8,0.8	340589304	330900153	0	85
