id	tpye	rewardShow	activityTaskId	scheDuling	name	picture	coordinate	bg	size	coordinateS	sizeS	coordinateH	sizeH	
1	2	20000352	110101	1	模拟训练	321000201	630,-180	330900158	1300,1300	660,-194	1300,1300	439,-106	1500,1500
2	2	20000353	110102	1	模拟训练	321000201	630,-180	330900158	1300,1300	660,-194	1300,1300	439,-106	1500,1500
3	2	20000354	110103	1	模拟训练	321000201	630,-180	330900158	1300,1300	660,-194	1300,1300	439,-106	1500,1500
4	2	20000355	110104	1	模拟训练	321000201	630,-180	330900158	1300,1300	660,-194	1300,1300	439,-106	1500,1500
5	2	20000356	110105	1	模拟训练	321000201	630,-180	330900158	1300,1300	660,-194	1300,1300	439,-106	1500,1500
6	2	20000357	110106	1	模拟训练	321000201	630,-180	330900158	1300,1300	660,-194	1300,1300	439,-106	1500,1500
7	2	20000358	110107	1	模拟训练	321000201	630,-180	330900158	1300,1300	660,-194	1300,1300	439,-106	1500,1500
8	2	20000359	110108	1	模拟训练	321000201	630,-180	330900158	1300,1300	660,-194	1300,1300	439,-106	1500,1500
9	1	20000360	110201	1	怪人研究所	321000801	-404,-415	330900158	1700,1700	-430,-402	1700,1700	-175,-580	2400,2400
10	1	20000361	110202	1	怪人研究所	321000801	-404,-415	330900158	1700,1700	-430,-402	1700,1700	-175,-580	2400,2400
11	1	20000362	110203	1	怪人研究所	321000801	-404,-415	330900158	1700,1700	-430,-402	1700,1700	-175,-580	2400,2400
12	1	20000363	110204	1	怪人研究所	321000801	-404,-415	330900158	1700,1700	-430,-402	1700,1700	-175,-580	2400,2400
13	1	20000364	110205	1	怪人研究所	321000801	-404,-415	330900158	1700,1700	-430,-402	1700,1700	-175,-580	2400,2400
14	1	20000365	110206	1	怪人研究所	321000801	-404,-415	330900158	1700,1700	-430,-402	1700,1700	-175,-580	2400,2400
15	1	20000366	110207	1	怪人研究所	321000801	-404,-415	330900158	1700,1700	-430,-402	1700,1700	-175,-580	2400,2400
16	1	20000367	110208	1	怪人研究所	321000801	-404,-415	330900158	1700,1700	-430,-402	1700,1700	-175,-580	2400,2400
17	1	20000378	110301	2	武道大会	321000501	-339,-496	330900159	1950,1850	-369,-496	1950,1850	-80,-608	2400,2400
18	1	20000379	110302	2	武道大会	321000501	-339,-496	330900159	1950,1850	-369,-496	1950,1850	-80,-608	2400,2400
19	1	20000380	110303	2	武道大会	321000501	-339,-496	330900159	1950,1850	-369,-496	1950,1850	-80,-608	2400,2400
20	1	20000381	110304	2	武道大会	321000501	-339,-496	330900159	1950,1850	-369,-496	1950,1850	-80,-608	2400,2400
21	1	20000382	110305	2	武道大会	321000501	-339,-496	330900159	1950,1850	-369,-496	1950,1850	-80,-608	2400,2400
22	1	20000383	110306	2	武道大会	321000501	-339,-496	330900159	1950,1850	-369,-496	1950,1850	-80,-608	2400,2400
23	1	20000384	110307	2	武道大会	321000501	-339,-496	330900159	1950,1850	-369,-496	1950,1850	-80,-608	2400,2400
24	1	20000385	110308	2	武道大会	321000501	-339,-496	330900159	1950,1850	-369,-496	1950,1850	-80,-608	2400,2400
25	2	20000386	110401	2	区域攻防	321000401	906,-205	330900159	1150,1100	880,-230	1150,1100	742,-107	1350,1200
26	2	20000387	110402	2	区域攻防	321000401	906,-205	330900159	1150,1100	880,-230	1150,1100	742,-107	1350,1200
27	2	20000388	110403	2	区域攻防	321000401	906,-205	330900159	1150,1100	880,-230	1150,1100	742,-107	1350,1200
28	2	20000389	110404	2	区域攻防	321000401	906,-205	330900159	1150,1100	880,-230	1150,1100	742,-107	1350,1200
29	2	20000390	110405	2	区域攻防	321000401	906,-205	330900159	1150,1100	880,-230	1150,1100	742,-107	1350,1200
