id	title	name	questType	scheDuling	page	condition	rewardShow	drop	redirectionId	priority	pointType	point	startTime	endTime	titlePicId	
2001	 	玩家等级达到6级	53	1	0	2001	80001	80001	9	1	53	1	43831	401768	0
2002	 	玩家等级达到8级	53	1	0	2002	80002	80002	9	1	53	1	43831	401768	0
2003	 	玩家等级达到11级	53	1	0	2003	80003	80003	9	1	53	1	43831	401768	0
2004	 	玩家等级达到14级	53	1	0	2004	80004	80004	9	1	53	1	43831	401768	0
2005	 	玩家等级达到16级	53	1	0	2005	80005	80005	9	1	53	1	43831	401768	0
2006	 	玩家等级达到18级	53	1	0	2006	80006	80006	9	1	53	1	43831	401768	0
2007	 	玩家等级达到20级	53	1	0	2007	80007	80007	9	1	53	1	43831	401768	0
2008	 	玩家等级达到22级	53	1	0	2008	80008	80008	9	1	53	1	43831	401768	0
2009	 	玩家等级达到24级	53	1	0	2009	80009	80009	9	1	53	1	43831	401768	0
2010	 	玩家等级达到26级	53	1	0	2010	80010	80010	9	1	53	1	43831	401768	0
2011	 	玩家等级达到28级	53	1	0	2011	80011	80011	9	1	53	1	43831	401768	0
2012	 	玩家等级达到30级	53	1	0	2012	80012	80012	9	1	53	1	43831	401768	0
2013	 	玩家等级达到32级	53	1	0	2013	80013	80013	9	1	53	1	43831	401768	0
2014	 	玩家等级达到34级	53	1	0	2014	80014	80014	9	1	53	1	43831	401768	0
2015	 	玩家等级达到36级	53	1	0	2015	80015	80015	9	1	53	1	43831	401768	0
2016	 	玩家等级达到38级	53	1	0	2016	80016	80016	9	1	53	1	43831	401768	0
3001	 	招募获得	55	1	1	3001	1	7101	2	1	0	0	43831	401768	0
3002	 	招募获得	55	1	1	3002	2	7102	2	1	0	0	43831	401768	0
3003	 	招募获得	55	1	1	3003	1	7103	2	1	0	0	43831	401768	0
3004	 	招募获得	55	1	1	3004	2	7104	2	1	0	0	43831	401768	0
3005	 	招募获得	55	1	1	3005	1	7105	2	1	0	0	43831	401768	0
3006	 	招募获得	55	1	1	3006	2	7106	2	1	0	0	43831	401768	0
3007	 	招募获得	55	1	1	3007	1	7107	2	1	0	0	43831	401768	0
3008	 	招募获得	55	1	1	3008	2	7108	2	1	0	0	43831	401768	0
3009	 	招募获得	55	1	1	3009	1	7109	2	1	0	0	43831	401768	0
