id	scheDuling	heroShowStyleType	name	name2	namePos	namePos2	rolePic	rolePicPosOffset	rolePicScaleOffset	rolePic2	rolePicPosOffset2	rolePicScaleOffset2	getDesPicResId	getDesText	skillPicResId1	skillPicResId1PosOffset	skillPicResId2	skillPicResId2PosOffset	jumpType	sceneId	turnId	drawCardDecPic	bgPic	bgHeroPics	bgPicPosOffset	bgPicScaleOffset	holographic	trueActivityId	SpecialEffects	
1	1	2	战栗的龙卷	 	630,266	 	321000301	196,-299	1.5,1.5	0	 	 	340589106	<color=#ffad42>活动中累计</color><color=#93fffa>90</color><color=#ffad42>次限定招募必定获得战栗的龙卷</color>	340589104	-325,101	340589105	468,-241	1	140	105	340589101	330900150	 	 	 	0	91	1
2	2	1	超合金黑光	 	 	 	340650016	56,186	1,1	0	 	 	340589108	<color=#ffad42>活动中累计</color><color=#93fffa>90</color><color=#ffad42>次限定招募必定获得超合金黑光</color>	340750010	-306,133	340750009	512,-104	1	141	138	340589103	330900160	340750011,340750012	-665,-385|737,304	0.3,0.5|0.3,0.2	0	91	0
3	3	1	闪光弗莱士	 	 	 	340650014	176,70	1,1	0	 	 	340589107	<color=#ffad42>活动中累计</color><color=#93fffa>90</color><color=#ffad42>次限定招募必定获得闪光弗莱士</color>	340580210	-260,61	340580211	623,-117	1	142	139	340589102	330900149	340580605,340580606	-553,-114|747,34	1,1|0.75,0.75	0	91	0
4	1	2	僵尸男	 	630,266	 	340650018	124,0	1,1	0	 	 	340589110	<color=#ffad42>活动中累计</color><color=#93fffa>90</color><color=#ffad42>次限定招募必定获得僵尸男</color>	340750018	-263,155	340750017	585,14	1	154	153	340589103	330900162	 	 	 	0	142	0
5	2	1	阿修罗独角仙	 	 	 	321006201	0,0	1.75,1.75	0	 	 	340580301	<color=#ffad42>活动中累计</color><color=#93fffa>90</color><color=#ffad42>次限定招募必定获得阿修罗独角仙</color>	340580203	-257,10	340580201	569,-104	1	155	53	340589103	330900149	340580601,340580602	0,0|176,70	1.75,1.75|0.75,0.75	1	142	0
6	3	2	警犬侠	 	630,266	 	340650022	99,42	1,1	0	 	 	340589112	<color=#ffad42>活动中累计</color><color=#93fffa>90</color><color=#ffad42>次限定招募必定获得警犬侠</color>	340750025	-308,101	340750026	518,-8	1	156	77	340589102	330900164	 	 	 	0	142	0
7	4	2	背心尊者	 	630,266	 	340650019	99,42	1,1	0	 	 	340589111	<color=#ffad42>活动中累计</color><color=#93fffa>90</color><color=#ffad42>次限定招募必定获得背心尊者</color>	340750021	-308,101	340750022	518,-8	1	160	159	340589102	330900163	340750023,340750024	0,0|176,70	1.75,1.75|0.75,0.75	0	142	0
8	5	1	深海王	 	 	 	340650027	26,166	1,1	0	 	 	340580303	<color=#ffad42>活动中累计</color><color=#93fffa>90</color><color=#ffad42>次限定招募必定获得深海王</color>	340750029	-308,101	340750030	502,-104	1	160	164	340589102	330900167	340750031,340750032	-648,-343|747,333	0.3,0.5|0.3,0.2	1	142	0
9	6	2	闪光弗莱士	超合金黑光	-273,-95	270,95	340650014	-377,-118	1,1	340650016	484,-26	1,1	340589418	<color=#ffad42>限定招募抽中闪光弗莱士和合金黑光的概率是其他SSR的</color><color=#93fffa>10</color><color=#ffad42>倍</color>	340580215	-377,-236	340580214	270,-50	1	142	166	340589102	330900169	 	 	 	0	142	0
10	7	2	疫苗人	 	652,15	 	340589414	98,-402	1.8,1.8	0	 	 	340589413	<color=#ffad42>活动中累计</color><color=#93fffa>90</color><color=#ffad42>次限定招募必定获得疫苗人</color>	340580212	375,-228	340580213	-428,139	1	167	168	340589102	330900168	 	 	 	1	142	0
