id	sidebar	presetsId	picture1	picture2	mustBuy1	mustBuy2	discountResID	titleResID	
90007	招募礼|18元礼包	3	340810206	340810301,340810300,340810300	必买推荐：招募必备豪礼	 	 	0
90009	友谊礼|12元礼包	1	340810103	 	刷本必备豪礼	礼包总价值38元	 	0
90010	升级礼1|18元礼包	3	340810206	340810301,340810300,340810300	必买推荐：升级必备豪礼	 	 	0
90011	升级礼2|18元礼包	3	340810206	340810309,340810308	必买推荐：升级必备豪礼	 	 	0
90012	升级礼3|30元礼包	2	 	 	必买推荐：升级必备豪礼	98	3折返利	340810002
90013	升级礼4|68元礼包	2	 	 	必买推荐：升级必备豪礼	188	3折返利	340810002
90014	升级礼5|98元礼包	2	 	 	必买推荐：升级必备豪礼	888	1折返利	340810002
90015	升级礼6|98元礼包	2	 	 	必买推荐：升级必备豪礼	288	3折返利	340810002
90016	升级礼7|128元礼包	2	 	 	必买推荐：升级必备豪礼	388	3折返利	340810002
90022	豪华技能礼|648元礼包	1	340810103	 	技能升级必备豪礼	礼包总价值1888元	 	0
90023	体力礼|6元礼包	1	340810103	 	升级必备豪礼	礼包总价值18元	 	0
90024	高级招募礼|128元礼包	2	 	 	必买推荐：特别招募必备	300	4折返利	340810002
90025	特级招募礼|648元礼包	4	340810401,340810405,340810400	340810309,340810300,340810300	特别招募必备豪礼	 	 	0
90027	源核升级礼1|12元礼包	1	340810105	 	源核升级豪礼	礼包总价值68元	 	0
90028	源核升级礼2|128元礼包	2	 	 	必买推荐：源核升级必备	688	2折返利	340810001
90029	源核升级礼3|648元礼包	1	340810102	 	源核升级必备豪礼	礼包总价值1388元	 	0
90030	智觉醒礼1|18元礼包	3	340810206	340810309,340810308	必买推荐：觉醒必备豪礼	 	 	0
90031	运觉醒礼1|18元礼包	3	340810206	340810309,340810308	必买推荐：觉醒必备豪礼	 	 	0
90032	运觉醒礼2|18元礼包	3	340810206	340810309,340810308	必买推荐：觉醒必备豪礼	 	 	0
90033	运觉醒礼3|18元礼包	3	340810206	340810309,340810308	必买推荐：觉醒必备豪礼	 	 	0
90034	力觉醒礼1|18元礼包	3	340810206	340810309,340810308	必买推荐：觉醒必备豪礼	 	 	0
90035	智觉醒礼2|18元礼包	3	340810206	340810309,340810308	必买推荐：觉醒必备豪礼	 	 	0
90036	力觉醒礼2|18元礼包	3	340810206	340810309,340810308	必买推荐：觉醒必备豪礼	 	 	0
90037	力觉醒礼3|18元礼包	3	340810206	340810309,340810308	必买推荐：觉醒必备豪礼	 	 	0
90038	运觉醒礼4|18元礼包	3	340810206	340810309,340810308	必买推荐：觉醒必备豪礼	 	 	0
90039	力觉醒礼4|18元礼包	3	340810206	340810309,340810308	必买推荐：觉醒必备豪礼	 	 	0
90040	运觉醒礼5|18元礼包	3	340810206	340810309,340810308	必买推荐：觉醒必备豪礼	 	 	0
90041	运觉醒礼6|18元礼包	3	340810206	340810309,340810308	必买推荐：觉醒必备豪礼	 	 	0
90042	力觉醒礼5|18元礼包	3	340810206	340810309,340810308	必买推荐：觉醒必备豪礼	 	 	0
90043	智觉醒礼3|18元礼包	3	340810206	340810309,340810308	必买推荐：觉醒必备豪礼	 	 	0
90044	智觉醒礼4|18元礼包	3	340810206	340810309,340810308	必买推荐：觉醒必备豪礼	 	 	0
90045	运觉醒礼7|18元礼包	3	340810206	340810309,340810308	必买推荐：觉醒必备豪礼	 	 	0
90046	力觉醒礼6|18元礼包	3	340810206	340810309,340810308	必买推荐：觉醒必备豪礼	 	 	0
90048	技能礼|328元礼包	2	 	 	必买推荐：技能升级必备	888	4折返利	340810002
90049	特别招募礼1|128元礼包	2	 	 	必买推荐：特别招募必备	300	4折返利	340810002
90050	特别招募礼2|648元礼包	4	340810401,340810405,340810400	340810309,340810300,340810300	特别招募必备豪礼	 	 	0
