id	scheDuling	level	payLevel	rechargeShopId	score	freeGift	freeGiftShow	payGift	payGiftShow	redirectionId	
1	100	1	1120020	20109	10	20000443	20000443	20000445	20000445	0
2	100	2	1120020	20109	24	20000443	20000443	20000444	20000444	0
3	100	3	1120020	20109	42	20000443	20000443	20000444	20000444	0
4	100	4	1120020	20109	64	20000443	20000443	20000444	20000444	0
5	100	5	1120020	20109	90	20000431	20000431	20000433	20000433	1
6	100	6	1120020	20109	120	20000443	20000443	20000444	20000444	0
7	100	7	1120020	20109	154	20000443	20000443	20000444	20000444	0
8	100	8	1120020	20109	192	20000443	20000443	20000444	20000444	0
9	100	9	1120020	20109	234	20000443	20000443	20000444	20000444	0
10	100	10	1120020	20109	280	20000431	20000431	20000433	20000433	1
11	100	11	1120020	20109	330	20000443	20000443	20000444	20000444	0
12	100	12	1120020	20109	384	20000443	20000443	20000444	20000444	0
13	100	13	1120020	20109	442	20000443	20000443	20000444	20000444	0
14	100	14	1120020	20109	504	20000443	20000443	20000444	20000444	0
15	100	15	1120020	20109	570	20000431	20000431	20000433	20000433	1
16	100	16	1120020	20109	640	20000443	20000443	20000444	20000444	0
17	100	17	1120020	20109	714	20000443	20000443	20000444	20000444	0
18	100	18	1120020	20109	792	20000443	20000443	20000444	20000444	0
19	100	19	1120020	20109	874	20000443	20000443	20000444	20000444	0
20	100	20	1120020	20109	960	20000431	20000431	20000434	20000434	1
21	100	21	1120020	20109	1050	20000443	20000443	20000444	20000444	0
22	100	22	1120020	20109	1144	20000443	20000443	20000444	20000444	0
23	100	23	1120020	20109	1242	20000443	20000443	20000444	20000444	0
24	100	24	1120020	20109	1346	20000443	20000443	20000444	20000444	0
25	100	25	1120020	20109	1456	20000431	20000431	20000434	20000434	1
26	100	26	1120020	20109	1572	20000443	20000443	20000444	20000444	0
27	100	27	1120020	20109	1694	20000443	20000443	20000444	20000444	0
28	100	28	1120020	20109	1822	20000443	20000443	20000444	20000444	0
29	100	29	1120020	20109	1956	20000443	20000443	20000444	20000444	0
30	100	30	1120020	20109	2096	20000431	20000431	20000434	20000434	1
31	100	31	1120020	20109	2242	20000443	20000443	20000444	20000444	0
32	100	32	1120020	20109	2394	20000443	20000443	20000444	20000444	0
33	100	33	1120020	20109	2552	20000443	20000443	20000444	20000444	0
34	100	34	1120020	20109	2716	20000443	20000443	20000444	20000444	0
35	100	35	1120020	20109	2886	20000432	20000432	20000436	20000436	1
36	100	36	1120020	20109	3062	20000443	20000443	20000444	20000444	0
37	100	37	1120020	20109	3244	20000443	20000443	20000444	20000444	0
38	100	38	1120020	20109	3432	20000443	20000443	20000444	20000444	0
39	100	39	1120020	20109	3626	20000443	20000443	20000444	20000444	0
40	100	40	1120020	20109	3826	20000432	20000432	20000435	20000435	1
41	100	41	1120020	20109	4032	20000443	20000443	20000444	20000444	0
42	100	42	1120020	20109	4244	20000443	20000443	20000444	20000444	0
43	100	43	1120020	20109	4462	20000443	20000443	20000444	20000444	0
44	100	44	1120020	20109	4686	20000443	20000443	20000444	20000444	0
45	100	45	1120020	20109	4916	20000432	20000432	20000437	20000437	1
46	100	46	1120020	20109	5152	20000443	20000443	20000444	20000444	0
47	100	47	1120020	20109	5394	20000443	20000443	20000444	20000444	0
48	100	48	1120020	20109	5642	20000443	20000443	20000444	20000444	0
49	100	49	1120020	20109	5896	20000443	20000443	20000444	20000444	0
50	100	50	1120020	20109	6156	20000432	20000432	20000437	20000437	1
51	100	51	1120020	20109	6422	20000443	20000443	20000444	20000444	0
52	100	52	1120020	20109	6694	20000443	20000443	20000444	20000444	0
53	100	53	1120020	20109	6972	20000443	20000443	20000444	20000444	0
54	100	54	1120020	20109	7256	20000443	20000443	20000444	20000444	0
55	100	55	1120020	20109	7546	20000432	20000432	20000437	20000437	1
56	100	56	1120020	20109	7842	20000443	20000443	20000444	20000444	0
57	100	57	1120020	20109	8144	20000443	20000443	20000444	20000444	0
58	100	58	1120020	20109	8452	20000443	20000443	20000444	20000444	0
59	100	59	1120020	20109	8766	20000443	20000443	20000444	20000444	0
60	100	60	1120020	20109	9086	20000432	20000432	20000437	20000437	1
101	11	1	1120020	20109	0	20000443	20000443	20000671	20000671	0
102	11	2	1120020	20109	24	20000443	20000443	20000444	20000444	0
103	11	3	1120020	20109	42	20000443	20000443	20000444	20000444	0
104	11	4	1120020	20109	64	20000443	20000443	20000444	20000444	0
105	11	5	1120020	20109	90	20000431	20000431	20000672	20000672	1
106	11	6	1120020	20109	120	20000443	20000443	20000444	20000444	0
107	11	7	1120020	20109	154	20000443	20000443	20000444	20000444	0
108	11	8	1120020	20109	192	20000443	20000443	20000444	20000444	0
109	11	9	1120020	20109	234	20000443	20000443	20000444	20000444	0
110	11	10	1120020	20109	280	20000431	20000431	20000673	20000673	1
111	11	11	1120020	20109	330	20000443	20000443	20000444	20000444	0
112	11	12	1120020	20109	384	20000443	20000443	20000444	20000444	0
113	11	13	1120020	20109	442	20000443	20000443	20000444	20000444	0
114	11	14	1120020	20109	504	20000443	20000443	20000444	20000444	0
115	11	15	1120020	20109	570	20000431	20000431	20000674	20000674	1
116	11	16	1120020	20109	640	20000443	20000443	20000444	20000444	0
117	11	17	1120020	20109	714	20000443	20000443	20000444	20000444	0
118	11	18	1120020	20109	792	20000443	20000443	20000444	20000444	0
119	11	19	1120020	20109	874	20000443	20000443	20000444	20000444	0
120	11	20	1120020	20109	960	20000431	20000431	20000675	20000675	1
121	11	21	1120020	20109	1050	20000443	20000443	20000444	20000444	0
122	11	22	1120020	20109	1144	20000443	20000443	20000444	20000444	0
123	11	23	1120020	20109	1242	20000443	20000443	20000444	20000444	0
124	11	24	1120020	20109	1346	20000443	20000443	20000444	20000444	0
125	11	25	1120020	20109	1456	20000431	20000431	20000676	20000676	1
126	11	26	1120020	20109	1572	20000443	20000443	20000444	20000444	0
127	11	27	1120020	20109	1694	20000443	20000443	20000444	20000444	0
128	11	28	1120020	20109	1822	20000443	20000443	20000444	20000444	0
129	11	29	1120020	20109	1956	20000443	20000443	20000444	20000444	0
130	11	30	1120020	20109	2096	20000431	20000431	20000677	20000677	1
131	11	31	1120020	20109	2242	20000443	20000443	20000444	20000444	0
132	11	32	1120020	20109	2394	20000443	20000443	20000444	20000444	0
133	11	33	1120020	20109	2552	20000443	20000443	20000444	20000444	0
134	11	34	1120020	20109	2716	20000443	20000443	20000444	20000444	0
135	11	35	1120020	20109	2886	20000432	20000432	20000678	20000678	1
136	11	36	1120020	20109	3062	20000443	20000443	20000444	20000444	0
137	11	37	1120020	20109	3244	20000443	20000443	20000444	20000444	0
138	11	38	1120020	20109	3432	20000443	20000443	20000444	20000444	0
139	11	39	1120020	20109	3626	20000443	20000443	20000444	20000444	0
140	11	40	1120020	20109	3826	20000432	20000432	20000679	20000679	1
141	11	41	1120020	20109	4032	20000443	20000443	20000444	20000444	0
142	11	42	1120020	20109	4244	20000443	20000443	20000444	20000444	0
143	11	43	1120020	20109	4462	20000443	20000443	20000444	20000444	0
144	11	44	1120020	20109	4686	20000443	20000443	20000444	20000444	0
145	11	45	1120020	20109	4916	20000432	20000432	20000680	20000680	1
146	11	46	1120020	20109	5152	20000443	20000443	20000444	20000444	0
147	11	47	1120020	20109	5394	20000443	20000443	20000444	20000444	0
148	11	48	1120020	20109	5642	20000443	20000443	20000444	20000444	0
149	11	49	1120020	20109	5896	20000443	20000443	20000444	20000444	0
150	11	50	1120020	20109	6156	20000432	20000432	20000681	20000681	1
151	11	51	1120020	20109	6422	20000443	20000443	20000444	20000444	0
152	11	52	1120020	20109	6694	20000443	20000443	20000444	20000444	0
153	11	53	1120020	20109	6972	20000443	20000443	20000444	20000444	0
154	11	54	1120020	20109	7256	20000443	20000443	20000444	20000444	0
155	11	55	1120020	20109	7546	20000432	20000432	20000682	20000682	1
156	11	56	1120020	20109	7842	20000443	20000443	20000444	20000444	0
157	11	57	1120020	20109	8144	20000443	20000443	20000444	20000444	0
158	11	58	1120020	20109	8452	20000443	20000443	20000444	20000444	0
159	11	59	1120020	20109	8766	20000443	20000443	20000444	20000444	0
160	11	60	1120020	20109	9086	20000432	20000432	20000683	20000683	1
201	12	1	1120020	20109	0	20000443	20000443	20000671	20000671	0
202	12	2	1120020	20109	24	20000443	20000443	20000444	20000444	0
203	12	3	1120020	20109	42	20000443	20000443	20000444	20000444	0
204	12	4	1120020	20109	64	20000443	20000443	20000444	20000444	0
205	12	5	1120020	20109	90	20000431	20000431	20000672	20000672	1
206	12	6	1120020	20109	120	20000443	20000443	20000444	20000444	0
207	12	7	1120020	20109	154	20000443	20000443	20000444	20000444	0
208	12	8	1120020	20109	192	20000443	20000443	20000444	20000444	0
209	12	9	1120020	20109	234	20000443	20000443	20000444	20000444	0
210	12	10	1120020	20109	280	20000431	20000431	20000673	20000673	1
211	12	11	1120020	20109	330	20000443	20000443	20000444	20000444	0
212	12	12	1120020	20109	384	20000443	20000443	20000444	20000444	0
213	12	13	1120020	20109	442	20000443	20000443	20000444	20000444	0
214	12	14	1120020	20109	504	20000443	20000443	20000444	20000444	0
215	12	15	1120020	20109	570	20000431	20000431	20000674	20000674	1
216	12	16	1120020	20109	640	20000443	20000443	20000444	20000444	0
217	12	17	1120020	20109	714	20000443	20000443	20000444	20000444	0
218	12	18	1120020	20109	792	20000443	20000443	20000444	20000444	0
219	12	19	1120020	20109	874	20000443	20000443	20000444	20000444	0
220	12	20	1120020	20109	960	20000431	20000431	20000675	20000675	1
221	12	21	1120020	20109	1050	20000443	20000443	20000444	20000444	0
222	12	22	1120020	20109	1144	20000443	20000443	20000444	20000444	0
223	12	23	1120020	20109	1242	20000443	20000443	20000444	20000444	0
224	12	24	1120020	20109	1346	20000443	20000443	20000444	20000444	0
225	12	25	1120020	20109	1456	20000431	20000431	20000676	20000676	1
226	12	26	1120020	20109	1572	20000443	20000443	20000444	20000444	0
227	12	27	1120020	20109	1694	20000443	20000443	20000444	20000444	0
228	12	28	1120020	20109	1822	20000443	20000443	20000444	20000444	0
229	12	29	1120020	20109	1956	20000443	20000443	20000444	20000444	0
230	12	30	1120020	20109	2096	20000431	20000431	20000677	20000677	1
231	12	31	1120020	20109	2242	20000443	20000443	20000444	20000444	0
232	12	32	1120020	20109	2394	20000443	20000443	20000444	20000444	0
233	12	33	1120020	20109	2552	20000443	20000443	20000444	20000444	0
234	12	34	1120020	20109	2716	20000443	20000443	20000444	20000444	0
235	12	35	1120020	20109	2886	20000432	20000432	20000678	20000678	1
236	12	36	1120020	20109	3062	20000443	20000443	20000444	20000444	0
237	12	37	1120020	20109	3244	20000443	20000443	20000444	20000444	0
238	12	38	1120020	20109	3432	20000443	20000443	20000444	20000444	0
239	12	39	1120020	20109	3626	20000443	20000443	20000444	20000444	0
240	12	40	1120020	20109	3826	20000432	20000432	20000679	20000679	1
241	12	41	1120020	20109	4032	20000443	20000443	20000444	20000444	0
242	12	42	1120020	20109	4244	20000443	20000443	20000444	20000444	0
243	12	43	1120020	20109	4462	20000443	20000443	20000444	20000444	0
244	12	44	1120020	20109	4686	20000443	20000443	20000444	20000444	0
245	12	45	1120020	20109	4916	20000432	20000432	20000680	20000680	1
246	12	46	1120020	20109	5152	20000443	20000443	20000444	20000444	0
247	12	47	1120020	20109	5394	20000443	20000443	20000444	20000444	0
248	12	48	1120020	20109	5642	20000443	20000443	20000444	20000444	0
249	12	49	1120020	20109	5896	20000443	20000443	20000444	20000444	0
250	12	50	1120020	20109	6156	20000432	20000432	20000681	20000681	1
251	12	51	1120020	20109	6422	20000443	20000443	20000444	20000444	0
252	12	52	1120020	20109	6694	20000443	20000443	20000444	20000444	0
253	12	53	1120020	20109	6972	20000443	20000443	20000444	20000444	0
254	12	54	1120020	20109	7256	20000443	20000443	20000444	20000444	0
255	12	55	1120020	20109	7546	20000432	20000432	20000682	20000682	1
256	12	56	1120020	20109	7842	20000443	20000443	20000444	20000444	0
257	12	57	1120020	20109	8144	20000443	20000443	20000444	20000444	0
258	12	58	1120020	20109	8452	20000443	20000443	20000444	20000444	0
259	12	59	1120020	20109	8766	20000443	20000443	20000444	20000444	0
260	12	60	1120020	20109	9086	20000432	20000432	20000683	20000683	1
301	1	1	1120020	20109	10	20000443	20000443	20000445	20000445	0
302	1	2	1120020	20109	24	20000443	20000443	20000444	20000444	0
303	1	3	1120020	20109	42	20000443	20000443	20000444	20000444	0
304	1	4	1120020	20109	64	20000443	20000443	20000444	20000444	0
305	1	5	1120020	20109	90	20000431	20000431	20000433	20000433	1
306	1	6	1120020	20109	120	20000443	20000443	20000444	20000444	0
307	1	7	1120020	20109	154	20000443	20000443	20000444	20000444	0
308	1	8	1120020	20109	192	20000443	20000443	20000444	20000444	0
309	1	9	1120020	20109	234	20000443	20000443	20000444	20000444	0
310	1	10	1120020	20109	280	20000431	20000431	20000433	20000433	1
311	1	11	1120020	20109	330	20000443	20000443	20000444	20000444	0
312	1	12	1120020	20109	384	20000443	20000443	20000444	20000444	0
313	1	13	1120020	20109	442	20000443	20000443	20000444	20000444	0
314	1	14	1120020	20109	504	20000443	20000443	20000444	20000444	0
315	1	15	1120020	20109	570	20000431	20000431	20000433	20000433	1
316	1	16	1120020	20109	640	20000443	20000443	20000444	20000444	0
317	1	17	1120020	20109	714	20000443	20000443	20000444	20000444	0
318	1	18	1120020	20109	792	20000443	20000443	20000444	20000444	0
319	1	19	1120020	20109	874	20000443	20000443	20000444	20000444	0
320	1	20	1120020	20109	960	20000431	20000431	20000434	20000434	1
321	1	21	1120020	20109	1050	20000443	20000443	20000444	20000444	0
322	1	22	1120020	20109	1144	20000443	20000443	20000444	20000444	0
323	1	23	1120020	20109	1242	20000443	20000443	20000444	20000444	0
324	1	24	1120020	20109	1346	20000443	20000443	20000444	20000444	0
325	1	25	1120020	20109	1456	20000431	20000431	20000434	20000434	1
326	1	26	1120020	20109	1572	20000443	20000443	20000444	20000444	0
327	1	27	1120020	20109	1694	20000443	20000443	20000444	20000444	0
328	1	28	1120020	20109	1822	20000443	20000443	20000444	20000444	0
329	1	29	1120020	20109	1956	20000443	20000443	20000444	20000444	0
330	1	30	1120020	20109	2096	20000431	20000431	20000434	20000434	1
331	1	31	1120020	20109	2242	20000443	20000443	20000444	20000444	0
332	1	32	1120020	20109	2394	20000443	20000443	20000444	20000444	0
333	1	33	1120020	20109	2552	20000443	20000443	20000444	20000444	0
334	1	34	1120020	20109	2716	20000443	20000443	20000444	20000444	0
335	1	35	1120020	20109	2886	20000432	20000432	20000436	20000436	1
336	1	36	1120020	20109	3062	20000443	20000443	20000444	20000444	0
337	1	37	1120020	20109	3244	20000443	20000443	20000444	20000444	0
338	1	38	1120020	20109	3432	20000443	20000443	20000444	20000444	0
339	1	39	1120020	20109	3626	20000443	20000443	20000444	20000444	0
340	1	40	1120020	20109	3826	20000432	20000432	20000435	20000435	1
341	1	41	1120020	20109	4032	20000443	20000443	20000444	20000444	0
342	1	42	1120020	20109	4244	20000443	20000443	20000444	20000444	0
343	1	43	1120020	20109	4462	20000443	20000443	20000444	20000444	0
344	1	44	1120020	20109	4686	20000443	20000443	20000444	20000444	0
345	1	45	1120020	20109	4916	20000432	20000432	20000437	20000437	1
346	1	46	1120020	20109	5152	20000443	20000443	20000444	20000444	0
347	1	47	1120020	20109	5394	20000443	20000443	20000444	20000444	0
348	1	48	1120020	20109	5642	20000443	20000443	20000444	20000444	0
349	1	49	1120020	20109	5896	20000443	20000443	20000444	20000444	0
350	1	50	1120020	20109	6156	20000432	20000432	20000437	20000437	1
351	1	51	1120020	20109	6422	20000443	20000443	20000444	20000444	0
352	1	52	1120020	20109	6694	20000443	20000443	20000444	20000444	0
353	1	53	1120020	20109	6972	20000443	20000443	20000444	20000444	0
354	1	54	1120020	20109	7256	20000443	20000443	20000444	20000444	0
355	1	55	1120020	20109	7546	20000432	20000432	20000437	20000437	1
356	1	56	1120020	20109	7842	20000443	20000443	20000444	20000444	0
357	1	57	1120020	20109	8144	20000443	20000443	20000444	20000444	0
358	1	58	1120020	20109	8452	20000443	20000443	20000444	20000444	0
359	1	59	1120020	20109	8766	20000443	20000443	20000444	20000444	0
360	1	60	1120020	20109	9086	20000432	20000432	20000437	20000437	1
401	2	1	1120020	20109	10	20000443	20000443	20000445	20000445	0
402	2	2	1120020	20109	24	20000443	20000443	20000444	20000444	0
403	2	3	1120020	20109	42	20000443	20000443	20000444	20000444	0
404	2	4	1120020	20109	64	20000443	20000443	20000444	20000444	0
405	2	5	1120020	20109	90	20000431	20000431	20000433	20000433	1
406	2	6	1120020	20109	120	20000443	20000443	20000444	20000444	0
407	2	7	1120020	20109	154	20000443	20000443	20000444	20000444	0
408	2	8	1120020	20109	192	20000443	20000443	20000444	20000444	0
409	2	9	1120020	20109	234	20000443	20000443	20000444	20000444	0
410	2	10	1120020	20109	280	20000431	20000431	20000433	20000433	1
411	2	11	1120020	20109	330	20000443	20000443	20000444	20000444	0
412	2	12	1120020	20109	384	20000443	20000443	20000444	20000444	0
413	2	13	1120020	20109	442	20000443	20000443	20000444	20000444	0
414	2	14	1120020	20109	504	20000443	20000443	20000444	20000444	0
415	2	15	1120020	20109	570	20000431	20000431	20000433	20000433	1
416	2	16	1120020	20109	640	20000443	20000443	20000444	20000444	0
417	2	17	1120020	20109	714	20000443	20000443	20000444	20000444	0
418	2	18	1120020	20109	792	20000443	20000443	20000444	20000444	0
419	2	19	1120020	20109	874	20000443	20000443	20000444	20000444	0
420	2	20	1120020	20109	960	20000431	20000431	20000434	20000434	1
421	2	21	1120020	20109	1050	20000443	20000443	20000444	20000444	0
422	2	22	1120020	20109	1144	20000443	20000443	20000444	20000444	0
423	2	23	1120020	20109	1242	20000443	20000443	20000444	20000444	0
424	2	24	1120020	20109	1346	20000443	20000443	20000444	20000444	0
425	2	25	1120020	20109	1456	20000431	20000431	20000434	20000434	1
426	2	26	1120020	20109	1572	20000443	20000443	20000444	20000444	0
427	2	27	1120020	20109	1694	20000443	20000443	20000444	20000444	0
428	2	28	1120020	20109	1822	20000443	20000443	20000444	20000444	0
429	2	29	1120020	20109	1956	20000443	20000443	20000444	20000444	0
430	2	30	1120020	20109	2096	20000431	20000431	20000434	20000434	1
431	2	31	1120020	20109	2242	20000443	20000443	20000444	20000444	0
432	2	32	1120020	20109	2394	20000443	20000443	20000444	20000444	0
433	2	33	1120020	20109	2552	20000443	20000443	20000444	20000444	0
434	2	34	1120020	20109	2716	20000443	20000443	20000444	20000444	0
435	2	35	1120020	20109	2886	20000432	20000432	20000436	20000436	1
436	2	36	1120020	20109	3062	20000443	20000443	20000444	20000444	0
437	2	37	1120020	20109	3244	20000443	20000443	20000444	20000444	0
438	2	38	1120020	20109	3432	20000443	20000443	20000444	20000444	0
439	2	39	1120020	20109	3626	20000443	20000443	20000444	20000444	0
440	2	40	1120020	20109	3826	20000432	20000432	20000435	20000435	1
441	2	41	1120020	20109	4032	20000443	20000443	20000444	20000444	0
442	2	42	1120020	20109	4244	20000443	20000443	20000444	20000444	0
443	2	43	1120020	20109	4462	20000443	20000443	20000444	20000444	0
444	2	44	1120020	20109	4686	20000443	20000443	20000444	20000444	0
445	2	45	1120020	20109	4916	20000432	20000432	20000437	20000437	1
446	2	46	1120020	20109	5152	20000443	20000443	20000444	20000444	0
447	2	47	1120020	20109	5394	20000443	20000443	20000444	20000444	0
448	2	48	1120020	20109	5642	20000443	20000443	20000444	20000444	0
449	2	49	1120020	20109	5896	20000443	20000443	20000444	20000444	0
450	2	50	1120020	20109	6156	20000432	20000432	20000437	20000437	1
451	2	51	1120020	20109	6422	20000443	20000443	20000444	20000444	0
452	2	52	1120020	20109	6694	20000443	20000443	20000444	20000444	0
453	2	53	1120020	20109	6972	20000443	20000443	20000444	20000444	0
454	2	54	1120020	20109	7256	20000443	20000443	20000444	20000444	0
455	2	55	1120020	20109	7546	20000432	20000432	20000437	20000437	1
456	2	56	1120020	20109	7842	20000443	20000443	20000444	20000444	0
457	2	57	1120020	20109	8144	20000443	20000443	20000444	20000444	0
458	2	58	1120020	20109	8452	20000443	20000443	20000444	20000444	0
459	2	59	1120020	20109	8766	20000443	20000443	20000444	20000444	0
460	2	60	1120020	20109	9086	20000432	20000432	20000437	20000437	1
501	3	1	1120020	20109	10	20000443	20000443	20000445	20000445	0
502	3	2	1120020	20109	24	20000443	20000443	20000444	20000444	0
