id	scheDuling	prizeId	rewardShow	drop	rewardWeight	rewardLevel	highest	
1	1	1	20000522	20000522	50	2	10
2	1	1	20000523	20000523	25	3	1
3	1	1	20000524	20000524	150	2	10
4	1	1	20000525	20000525	500	1	200
5	1	1	20000526	20000526	500	1	200
6	1	1	20000527	20000527	1000	1	200
7	1	1	20000528	20000528	150	2	10
8	1	1	20000529	20000529	1250	1	200
9	1	1	20000530	20000530	1650	1	200
10	1	1	20000531	20000531	3725	1	200
11	1	1	20000609	20000609	500	1	200
12	1	1	20000614	20000614	500	1	200
13	1	2	20000532	20000532	50	2	10
14	1	2	20000533	20000533	25	3	1
15	1	2	20000534	20000534	150	2	10
16	1	2	20000535	20000535	500	1	200
17	1	2	20000536	20000536	500	1	200
18	1	2	20000537	20000537	1000	1	200
19	1	2	20000538	20000538	150	2	10
20	1	2	20000539	20000539	1250	1	200
21	1	2	20000540	20000540	1650	1	200
22	1	2	20000541	20000541	3725	1	200
23	1	2	20000610	20000610	500	1	200
24	1	2	20000615	20000615	500	1	200
25	1	3	20000522	20000522	50	2	10
26	1	3	20000523	20000523	25	3	1
27	1	3	20000524	20000524	150	2	10
28	1	3	20000525	20000525	500	1	200
29	1	3	20000526	20000526	500	1	200
30	1	3	20000527	20000527	1000	1	200
31	1	3	20000528	20000528	150	2	10
32	1	3	20000529	20000529	1250	1	200
33	1	3	20000530	20000530	1650	1	200
34	1	3	20000531	20000531	3725	1	200
35	1	3	20000611	20000611	500	1	200
36	1	3	20000616	20000616	500	1	200
37	1	4	20000532	20000532	50	2	10
38	1	4	20000533	20000533	25	3	1
39	1	4	20000534	20000534	150	2	10
40	1	4	20000535	20000535	500	1	200
41	1	4	20000536	20000536	500	1	200
42	1	4	20000537	20000537	1000	1	200
43	1	4	20000538	20000538	150	2	10
44	1	4	20000539	20000539	1250	1	200
45	1	4	20000540	20000540	1650	1	200
46	1	4	20000541	20000541	3725	1	200
47	1	4	20000612	20000612	500	1	200
48	1	4	20000617	20000617	500	1	200
49	1	5	20000522	20000522	50	2	10
50	1	5	20000523	20000523	25	3	1
51	1	5	20000524	20000524	150	2	10
52	1	5	20000525	20000525	500	1	200
53	1	5	20000526	20000526	500	1	200
54	1	5	20000527	20000527	1000	1	200
55	1	5	20000528	20000528	150	2	10
56	1	5	20000529	20000529	1250	1	200
57	1	5	20000530	20000530	1650	1	200
58	1	5	20000531	20000531	3725	1	200
59	1	5	20000613	20000613	500	1	200
60	1	5	20000618	20000618	500	1	200
