id	openType	scheDuling	shopId	drop	rechargShow	sloganName	sloganBg	limitPara	rechargeShopId	refreshTime	moneyType	quantity	
1	119	1	1	20000261	20000261	免费	3	1	0	172800	1120020	0
2	119	1	1	20000262	20000262	2折	1	1	20103	172800	1120020	0
3	119	1	1	20000263	20000263	2折	1	1	20104	172800	1120020	0
4	119	1	1	20000264	20000264	8折	3	1	20198	172800	1120005	500
5	119	1	1	20000265	20000265	8折	3	1	20137	172800	1120020	0
6	119	1	1	20000266	20000266	8折	3	1	20200	172800	1120005	500
7	119	1	1	20000267	20000267	6折	3	1	20202	172800	1120005	1000
8	119	1	1	20000268	20000268	4折	3	1	20138	172800	1120020	0
9	119	1	2	20000269	20000269	免费	3	1	0	172800	1120020	0
10	119	1	2	20000270	20000270	2折	3	1	20194	172800	1120020	0
11	119	1	2	20000271	20000271	2折	3	1	20195	172800	1120020	0
12	119	1	2	20000272	20000272	8折	3	1	20199	172800	1120005	500
13	119	1	2	20000273	20000273	8折	3	1	20196	172800	1120020	0
14	119	1	2	20000274	20000274	8折	3	1	20201	172800	1120005	500
15	119	1	2	20000275	20000275	6折	3	1	20203	172800	1120005	1000
16	119	1	2	20000276	20000276	4折	3	1	20197	172800	1120020	0
101	124	100	1	20000441	20000441	0	0	20	0	0	1120103	10
102	124	100	1	20000439	20000439	0	0	50	0	0	1120103	10
103	124	100	1	20000440	20000440	0	0	50	0	0	1120103	20
104	124	100	1	20000490	20000490	0	0	20	0	0	1120103	30
105	124	100	1	20000491	20000491	0	0	10	0	0	1120103	150
106	124	100	1	20000492	20000492	0	0	30	0	0	1120103	10
201	124	11	1	20000441	20000441	0	0	20	0	0	1120103	10
202	124	11	1	20000439	20000439	0	0	50	0	0	1120103	10
203	124	11	1	20000440	20000440	0	0	50	0	0	1120103	20
204	124	11	1	20000490	20000490	0	0	20	0	0	1120103	30
205	124	11	1	20000491	20000491	0	0	10	0	0	1120103	150
206	124	11	1	20000492	20000492	0	0	30	0	0	1120103	10
207	124	11	1	20000187	20000187	0	0	1	0	0	1120103	10
301	124	12	1	20000441	20000441	0	0	20	0	0	1120103	10
302	124	12	1	20000439	20000439	0	0	50	0	0	1120103	10
303	124	12	1	20000440	20000440	0	0	50	0	0	1120103	20
304	124	12	1	20000490	20000490	0	0	20	0	0	1120103	30
305	124	12	1	20000491	20000491	0	0	10	0	0	1120103	150
306	124	12	1	20000492	20000492	0	0	30	0	0	1120103	10
307	124	12	1	20000187	20000187	0	0	1	0	0	1120103	10
401	124	1	1	20000441	20000441	0	0	20	0	0	1120103	10
402	124	1	1	20000439	20000439	0	0	50	0	0	1120103	10
403	124	1	1	20000440	20000440	0	0	50	0	0	1120103	20
404	124	1	1	20000490	20000490	0	0	20	0	0	1120103	30
405	124	1	1	20000491	20000491	0	0	10	0	0	1120103	150
406	124	1	1	20000492	20000492	0	0	30	0	0	1120103	10
407	124	1	1	20000187	20000187	0	0	1	0	0	1120103	10
501	124	2	1	20000441	20000441	0	0	20	0	0	1120103	10
502	124	2	1	20000439	20000439	0	0	50	0	0	1120103	10
