id	beizhu	adcarousel	adcarousel2	timeType	startTime	endTime	specialEndTime	jump1	order	level_limit	OpenServiceActivity	
1	首充轮播图	340680002	8	1	44701	49451	0,5,0,172800	92	1	2,99	0
2	累充轮播图	340680001	8	1	2022-5-20 05:00:00	2022-5-22 04:59:59	0,5,0,604800	93	4	2,99	0
3	表彰计划	340680101	1	1	2022-5-20 05:00:00	2022-5-22 04:59:59	7,5,0,60480000	107	2	2,99	0
4	成长基金	340680103	2	1	2022-5-20 05:00:00	2022-5-22 04:59:59	0,5,0,60480000	108	2	2,99	0
5	调查基金	340680105	3	1	2022-5-20 05:00:00	2022-5-22 04:59:59	0,5,0,60480000	109	2	2,99	0
9	限定招募龙卷	340680113	7	1	2022-5-22 05:00:00	2022-5-25 04:59:59	2,5,0,432000	105	1	2,99	0
10	甜心假面	340680118	9	1	2022-5-20 05:00:00	2022-5-22 04:59:59	0,5,0,1209600	61	3	2,99	0
16	预约招募	340680130	15	1	2022-5-20 05:00:00	2022-5-22 04:59:59	0,5,0,259200	120	3	2,99	0
18	后勤速递	340680133	8	1	2022-5-20 05:00:00	2022-5-22 04:59:59	0,5,0,60480000	127	2	2,99	0
19	限定招募超合金黑光	340680139	16	1	2023-4-29 05:00:00	2023-5-6 04:59:59	8,5,0,518400	138	1	2,99	0
20	限定招募闪光弗莱士	340680141	17	1	2024-4-29 05:00:00	2024-5-6 04:59:59	15,5,0,518400	139	1	2,99	0
21	六星SSR-球棒	340680135	18	1	2022-5-22 05:00:00	2022-5-25 04:59:59	0,5,0,345600	137	1	2,99	0
22	六星SSR-KING	340680137	19	1	2022-5-22 05:00:00	2022-5-25 04:59:59	7,5,0,345600	137	1	2,99	0
23	限定招募僵尸男	340680143	16	0	2022-10-9 05:00:00	2022-10-16 04:59:59	8,5,0,518400	153	1	2,99	0
24	限定招募阿修罗	340680107	20	0	2022-10-18 05:00:00	2022-10-25 04:59:59	8,5,0,518400	53	1	2,99	0
25	限定招募警犬侠	340680144	20	0	2022-10-25 05:00:00	2022-11-1 04:59:59	8,5,0,518400	77	1	2,99	0
26	限定招募背心尊者	340680142	21	0	2022-11-1 05:00:00	2022-11-8 04:59:59	8,5,0,518400	159	1	2,99	0
27	限定深海王	340680146	23	0	2022-11-8 05:00:00	2022-11-15 04:59:59	8,5,0,518400	164	1	2,99	0
28	剑盾挑战	340680148	23	0	2022-11-8 05:00:00	2022-11-15 04:59:59	8,5,0,518400	162	1	2,99	0
29	限定招募闪光黑光	340680152	24	0	2022-11-17 05:00:00	2022-11-24 04:59:59	8,5,0,518400	166	1	2,99	22
30	限定招募疫苗人	340680150	24	0	2022-11-25 05:00:00	2022-12-2 04:59:59	8,5,0,518400	168	1	2,99	0
31	限定招募阿修罗	340680107	20	0	2022-12-2 05:00:00	2022-12-9 04:59:59	8,5,0,518400	169	1	2,99	0
32	限定招募龙卷	340680113	7	0	2022-12-9 05:00:00	2022-12-16 04:59:59	2,5,0,432000	172	1	2,99	22
33	限定招募地底王	340680154	24	0	2022-12-16 05:00:00	2022-12-23 04:59:59	8,5,0,518400	173	1	2,99	0
34	限定招募警犬侠	340680144	20	0	2022-12-23 05:00:00	2022-12-30 04:59:59	8,5,0,518400	175	1	2,99	0
35	限定招募猪神	340680156	20	0	2022-12-30 05:00:00	2023-1-6 04:59:59	8,5,0,518400	176	1	2,99	0
36	限定深海王	340680146	23	0	2023-1-6 05:00:00	2023-1-13 04:59:59	8,5,0,518400	178	1	2,99	0
37	限定招募闪光黑光	340680157	24	0	2023-1-13 05:00:00	2023-1-20 04:59:59	8,5,0,518400	179	1	2,99	0
