id	stageType	floor	cost	advance	sceneId	dropSelection	dropList	upIcon	dropGroup	name	lockTips	preStage	nextStage	needLv	bossHead	model	action	word	decorate1	decorate2	decorate3	bossId	scaling	offset	offsetX	offsetAngle	showType	selectionDis	trigger	spineModelResId	spineScale	spinePosOffset	spineAnimation	dropExpect	recommendLv	recommendtype	recommendhero	battleTipText	selectionType	rankType	activityControlId	webDes	dropExpectAdd	recommendHero1	recommendHero2	iconType	noticeIcon	firstDropExpect	decorate2Background	
1	101	1	12	0	501001	0	20014	1,1,1|1,1,1|1,1,1|1,1,1	20014	第一层	指挥等级14级解锁	0	2	14	313101900	110073	idle_loop	 	340440106	一号怪人	在“进化之家”中诞生，基诺斯博士自己都无法控制的史上最凶的恶魔。	110192	1	0	0	0	 	均衡@均衡掉落|智慧@智原素掉落会更多|运势@运原素掉落会更多|力量@力原素掉落会更多	101,0	800002000	0	50,-50	animation	18	0	3	4,6,11,12,15	我方单体伤害翻倍	0	5	2	怪人研究所-力量第1层	通关可获得力原素	6	8	0	0	4	0
2	101	2	12	0	501002	0	20024	1,1,1|1,1,1|1,1,1|1,1,1	20024	第二层	指挥等级1级解锁	1	3	1	313102000	110073	idle_loop	 	340440106	一号怪人	在“进化之家”中诞生，基诺斯博士自己都无法控制的史上最凶的恶魔。	110202	1	0	0	0	 	均衡@均衡掉落|智慧@智原素掉落会更多|运势@运原素掉落会更多|力量@力原素掉落会更多	102,0	800002000	0	50,-50	animation	25	13	3	4,6,11,12,15	我方单体伤害翻倍	0	5	2	怪人研究所-力量第2层	通关提升力原素获取效率<color=#00D900>39%</color>	6	8	0	0	6	0
3	101	3	12	0	501003	0	20034	1,1,1|1,1,1|1,1,1|1,1,1	20034	第三层	指挥等级1级解锁	2	4	1	313100700	110073	idle_loop	 	340440106	一号怪人	在“进化之家”中诞生，基诺斯博士自己都无法控制的史上最凶的恶魔。	110073	1	0	0	0	 	均衡@均衡掉落|智慧@智原素掉落会更多|运势@运原素掉落会更多|力量@力原素掉落会更多	103,0	800002000	0	50,-50	animation	32	20	3	4,6,11,12,15	我方单体伤害翻倍	0	5	2	怪人研究所-力量第3层	通关提升力原素获取效率<color=#00D900>28%</color>	6	8	1	1210006	8	0
4	101	4	12	0	501004	0	20044	1,1,1|1,1,1|1,1,1|1,1,1	20044	第四层	指挥等级1级解锁	3	5	1	313100600	110073	idle_loop	 	340440106	一号怪人	在“进化之家”中诞生，基诺斯博士自己都无法控制的史上最凶的恶魔。	110061	1	0	0	0	 	均衡@均衡掉落|智慧@智原素掉落会更多|运势@运原素掉落会更多|力量@力原素掉落会更多	104,10	800002000	0	50,-50	animation	39	26	3	4,6,11,12,15	我方单体伤害翻倍	0	5	2	怪人研究所-力量第4层	通关提升力原素获取效率<color=#00D900>22%</color>	6	8	0	0	12	0
5	101	5	12	0	501005	0	20054	1,1,1|1,1,1|1,1,1|1,1,1	20054	第五层	指挥等级1级解锁	4	6	1	313100500	110073	idle_loop	 	340440106	一号怪人	在“进化之家”中诞生，基诺斯博士自己都无法控制的史上最凶的恶魔。	110051	0	0	0	0	 	均衡@均衡掉落|智慧@智原素掉落会更多|运势@运原素掉落会更多|力量@力原素掉落会更多	105,10	800002000	0	50,-50	animation	46	35	3	4,6,11,12,15	我方单体伤害翻倍	0	5	2	怪人研究所-力量第5层	通关提升力原素获取效率<color=#00D900>18%</color>	6	8	0	0	12	0
6	101	6	12	0	501006	0	20064	1,1,1|1,1,1|1,1,1|1,1,1	20064	第六层	指挥等级1级解锁	5	7	1	313100800	110073	idle_loop	 	340440110	一号怪人	在“进化之家”中诞生，基诺斯博士自己都无法控制的史上最凶的恶魔。	110081	0	0	0	0	 	均衡@均衡掉落|智慧@智原素掉落会更多|运势@运原素掉落会更多|力量@力原素掉落会更多	106,10	800002000	0	50,-50	animation	54	36	3	4,6,11,12,15	我方单体伤害翻倍	0	5	2	怪人研究所-力量第6层	通关提升力原素获取效率<color=#00D900>17%</color>	6	8	1	1210009	12	0
7	101	7	12	0	501007	0	20074	1,1,1|1,1,1|1,1,1|1,1,1	20074	第七层	指挥等级1级解锁	6	8	1	313103400	110073	idle_loop	 	340440110	一号怪人	在“进化之家”中诞生，基诺斯博士自己都无法控制的史上最凶的恶魔。	110341	0	0	0	0	 	均衡@均衡掉落|智慧@智原素掉落会更多|运势@运原素掉落会更多|力量@力原素掉落会更多	107,10	800002000	0	50,-50	animation	64	41	3	4,6,11,12,15	我方单体伤害翻倍	0	5	2	怪人研究所-力量第7层	通关提升力原素获取效率<color=#00D900>19%</color>	6	8	0	0	18	0
8	101	8	12	0	501008	0	20084	1,1,1|1,1,1|1,1,1|1,1,1	20084	第八层	指挥等级1级解锁	7	9	1	313100900	110073	idle_loop	 	340440110	一号怪人	在“进化之家”中诞生，基诺斯博士自己都无法控制的史上最凶的恶魔。	110091	0	0	0	0	 	均衡@均衡掉落|智慧@智原素掉落会更多|运势@运原素掉落会更多|力量@力原素掉落会更多	108,10	800002000	0	50,-50	animation	72	45	3	4,6,11,12,15	我方单体伤害翻倍	0	5	2	怪人研究所-力量第8层	通关提升力原素获取效率<color=#00D900>13%</color>	6	8	0	0	18	0
9	101	9	12	0	501009	0	20094	1,1,1|1,1,1|1,1,1|1,1,1	20094	第九层	指挥等级1级解锁	8	10	1	313101000	110073	idle_loop	 	340440110	一号怪人	在“进化之家”中诞生，基诺斯博士自己都无法控制的史上最凶的恶魔。	110101	0	0	0	0	 	均衡@均衡掉落|智慧@智原素掉落会更多|运势@运原素掉落会更多|力量@力原素掉落会更多	109,10	800002000	0	50,-50	animation	79	50	3	4,6,11,12,15	我方单体伤害翻倍	0	5	2	怪人研究所-力量第9层	通关提升力原素获取效率<color=#00D900>10%</color>	6	8	0	0	18	0
10	101	10	12	0	501010	0	20104	1,1,1|1,1,1|1,1,1|1,1,1	20104	第十层	指挥等级1级解锁	9	31	1	313103600	110073	idle_loop	 	340440110	一号怪人	在“进化之家”中诞生，基诺斯博士自己都无法控制的史上最凶的恶魔。	110361	0	0	0	0	 	均衡@均衡掉落|智慧@智原素掉落会更多|运势@运原素掉落会更多|力量@力原素掉落会更多	110,10	800002000	0	50,-50	animation	87	56	3	4,6,11,12,15	我方单体伤害翻倍	0	5	2	怪人研究所-力量第10层	通关提升力原素获取效率<color=#00D900>10%</color>	6	8	0	0	18	0
31	101	11	12	0	501011	0	20114	1,1,1|1,1,1|1,1,1|1,1,1	20114	第十一层	指挥等级1级解锁	10	32	1	313100800	110073	idle_loop	 	340440110	一号怪人	在“进化之家”中诞生，基诺斯博士自己都无法控制的史上最凶的恶魔。	110081	0	0	0	0	 	均衡@均衡掉落|智慧@智原素掉落会更多|运势@运原素掉落会更多|力量@力原素掉落会更多	111,10	800002000	0	50,-50	animation	95	64	3	4,6,11,12,15	我方单体伤害翻倍	0	5	2	怪人研究所-力量第11层	通关提升力原素获取效率<color=#00D900>9%</color>	6	8	0	0	27	0
32	101	12	12	0	501012	0	20124	1,1,1|1,1,1|1,1,1|1,1,1	20124	第十二层	指挥等级1级解锁	31	33	1	313103400	110073	idle_loop	 	340440110	一号怪人	在“进化之家”中诞生，基诺斯博士自己都无法控制的史上最凶的恶魔。	110341	0	0	0	0	 	均衡@均衡掉落|智慧@智原素掉落会更多|运势@运原素掉落会更多|力量@力原素掉落会更多	112,10	800002000	0	50,-50	animation	103	70	3	4,6,11,12,15	我方单体伤害翻倍	0	5	2	怪人研究所-力量第12层	通关提升力原素获取效率<color=#00D900>8%</color>	6	8	0	0	27	0
33	101	13	12	0	501013	0	20134	1,1,1|1,1,1|1,1,1|1,1,1	20134	第十三层	指挥等级1级解锁	32	34	1	313100900	110073	idle_loop	 	340440110	一号怪人	在“进化之家”中诞生，基诺斯博士自己都无法控制的史上最凶的恶魔。	110091	0	0	0	0	 	均衡@均衡掉落|智慧@智原素掉落会更多|运势@运原素掉落会更多|力量@力原素掉落会更多	113,10	800002000	0	50,-50	animation	111	76	3	4,6,11,12,15	我方单体伤害翻倍	0	5	2	怪人研究所-力量第13层	通关提升力原素获取效率<color=#00D900>8%</color>	6	8	0	0	27	0
34	101	14	12	0	501014	0	20144	1,1,1|1,1,1|1,1,1|1,1,1	20144	第十四层	指挥等级1级解锁	33	35	1	313101000	110073	idle_loop	 	340440110	一号怪人	在“进化之家”中诞生，基诺斯博士自己都无法控制的史上最凶的恶魔。	110101	0	0	0	0	 	均衡@均衡掉落|智慧@智原素掉落会更多|运势@运原素掉落会更多|力量@力原素掉落会更多	114,10	800002000	0	50,-50	animation	119	82	3	4,6,11,12,15	我方单体伤害翻倍	0	5	2	怪人研究所-力量第14层	通关提升力原素获取效率<color=#00D900>7%</color>	6	8	0	0	27	0
35	101	15	12	0	501015	0	20154	1,1,1|1,1,1|1,1,1|1,1,1	20154	第十五层	指挥等级1级解锁	34	0	1	313103600	110073	idle_loop	 	340440110	一号怪人	在“进化之家”中诞生，基诺斯博士自己都无法控制的史上最凶的恶魔。	110361	0	0	0	0	 	均衡@均衡掉落|智慧@智原素掉落会更多|运势@运原素掉落会更多|力量@力原素掉落会更多	115,10	800002000	0	50,-50	animation	127	88	3	4,6,11,12,15	我方单体伤害翻倍	0	5	2	怪人研究所-力量第15层	通关提升力原素获取效率<color=#00D900>6%</color>	6	8	0	0	27	0
11	102	1	12	0	501101	0	20013	1,1,1|1,1,1|1,1,1|1,1,1	20013	第一层	指挥等级1级解锁	0	12	1	313101900	110061	idle_loop	 	340440101	二号怪人	大脑外露的具有螳螂特征的怪人。	110192	1	0	0	0	 	均衡@均衡掉落|智慧@智原素掉落会更多|运势@运原素掉落会更多|力量@力原素掉落会更多	101,0	800002000	0	50,-50	animation	18	0	3	4,6,11,12,15	我方单体伤害翻倍	0	8	2	怪人研究所-运势第1层	通关可获得运原素	9	2	0	0	4	0
12	102	2	12	0	501102	0	20023	1,1,1|1,1,1|1,1,1|1,1,1	20023	第二层	指挥等级1级解锁	11	13	1	313102000	110061	idle_loop	 	340440101	二号怪人	大脑外露的具有螳螂特征的怪人。	110202	1	0	0	0	 	均衡@均衡掉落|智慧@智原素掉落会更多|运势@运原素掉落会更多|力量@力原素掉落会更多	102,0	800002000	0	50,-50	animation	25	13	3	4,6,11,12,15	我方单体伤害翻倍	0	8	2	怪人研究所-运势第2层	通关提升运原素获取效率<color=#00D900>39%</color>	9	2	0	0	6	0
13	102	3	12	0	501103	0	20033	1,1,1|1,1,1|1,1,1|1,1,1	20033	第三层	指挥等级1级解锁	12	14	1	313100700	110061	idle_loop	 	340440101	二号怪人	大脑外露的具有螳螂特征的怪人。	110073	1	0	0	0	 	均衡@均衡掉落|智慧@智原素掉落会更多|运势@运原素掉落会更多|力量@力原素掉落会更多	103,0	800002000	0	50,-50	animation	32	20	3	4,6,11,12,15	我方单体伤害翻倍	0	8	2	怪人研究所-运势第3层	通关提升运原素获取效率<color=#00D900>28%</color>	9	2	1	1210005	8	0
14	102	4	12	0	501104	0	20043	1,1,1|1,1,1|1,1,1|1,1,1	20043	第四层	指挥等级1级解锁	13	15	1	313100600	110061	idle_loop	 	340440101	二号怪人	大脑外露的具有螳螂特征的怪人。	110061	1	0	0	0	 	均衡@均衡掉落|智慧@智原素掉落会更多|运势@运原素掉落会更多|力量@力原素掉落会更多	104,10	800002000	0	50,-50	animation	39	26	3	4,6,11,12,15	我方单体伤害翻倍	0	8	2	怪人研究所-运势第4层	通关提升运原素获取效率<color=#00D900>22%</color>	9	2	0	0	12	0
15	102	5	12	0	501105	0	20053	1,1,1|1,1,1|1,1,1|1,1,1	20053	第五层	指挥等级1级解锁	14	16	1	313100500	110061	idle_loop	 	340440101	二号怪人	大脑外露的具有螳螂特征的怪人。	110051	0	0	0	0	 	均衡@均衡掉落|智慧@智原素掉落会更多|运势@运原素掉落会更多|力量@力原素掉落会更多	105,10	800002000	0	50,-50	animation	46	35	3	4,6,11,12,15	我方单体伤害翻倍	0	8	2	怪人研究所-运势第5层	通关提升运原素获取效率<color=#00D900>18%</color>	9	2	0	0	12	0
