id	beizhu	advertise	classification	timeType	startTime	endTime	specialEndTime	warp	jumptext1	jumppos1	jumpType1	jump1	jumptext2	jumppos2	jumpType2	jump2	jumptext3	jumppos3	jumpType3	jump3	beizhu	type	order	holographic	level_limit	OpenServiceActivity	channel	BlockChannelNumber	CloseButton	
1	首充拍脸图	400080002	0	1	44701	49451	0,5,0,172800	0	前往充值	-216,-480	1	51	开始试用	221,-480	2	20002	 	 	0	0	地狱吹雪试用关卡	2	1	0	2,99	0	0	 	707,341
2	UP招募拍脸图-阿修罗	400080003	1	0	2022-10-18 05:00:00	2022-10-25 04:59:59	9,5,0,259200	0	立即前往	-217,-481	1	53	开始试用	222,-481	1	155	 	 	0	0	阿修罗试用关卡	2	2	1	2,99	0	0	 	707,341
3	现金红包拍脸图-微信	400081001	1	0	2022-5-22 05:00:00	2022-10-4 23:59:59	0,5,0,17280000	0	 	 	0	0	 	 	0	0	 	329,-394	1	148	现金红包	2	3	0	2,99	0	1	10018084,10003401,10003402,10033229,10048734,10048771,10048772,10048773,10003406,10012938,10281842,10022591,10017385,10003392,10003898,10027723,10027724,10033159,10159208,10063229,10029778,10053443,10051034,10003901,10003412,10260017,10025553,10022592,10004231,10029304,10032223,10032232,10032233,10032235,10032236,10018351,10039111,10045011,10045015,10045016,10045022,10045033,10045045,10045046,10045047,10045056,10005121,10053609,10042567,10062288,10043534,10029992,10182462	707,341
7	UP招募拍脸图-龙卷	400080006	1	1	2022-5-22 05:00:00	2022-5-25 04:59:59	2,5,0,432000	0	立即前往	-217,-481	1	105	开始试用	222,-481	1	140	 	 	0	0	龙卷试用关卡	2	5	0	2,99	0	0	 	707,341
8	UP招募预告拍脸图-龙卷	400080006	2	1	2022-5-20 05:00:00	2022-5-22 04:59:59	1,5,0,86400	0	 	 	0	0	开始试用	23,-477	1	140	 	 	0	0	龙卷试用关卡	2	6	0	2,99	0	0	 	707,341
9	UP招募拍脸图-黑光	400080009	1	1	2023-4-29 05:00:00	2023-5-6 04:59:59	8,5,0,518400	0	立即前往	-217,-481	1	138	开始试用	222,-481	1	141	 	 	0	0	黑光试用关卡	2	2	0	2,99	0	0	 	707,341
10	UP招募预告拍脸图-黑光	400080009	2	1	2023-4-29 05:00:00	2023-5-6 04:59:59	7,5,0,86400	0	 	 	0	0	开始试用	25,-478	1	141	 	 	0	0	黑光试用关卡	2	4	0	2,99	0	0	 	707,341
11	UP招募拍脸图-闪光弗莱士	400080004	1	1	2024-4-29 05:00:00	2024-5-6 04:59:59	15,5,0,518400	0	立即前往	-217,-481	1	139	开始试用	222,-481	1	142	 	 	0	0	闪光试用关卡	2	5	0	2,99	0	0	 	707,341
12	UP招募预告拍脸图-闪光弗莱士	400080004	2	1	2024-4-29 05:00:00	2024-5-6 04:59:59	14,5,0,86400	0	 	 	0	0	开始试用	25,-478	1	142	 	 	0	0	闪光试用关卡	2	6	0	2,99	0	0	 	707,341
13	现金红包拍脸图-QQ	400081002	1	0	2022-5-22 05:00:00	2022-10-4 23:59:59	0,5,0,17280000	0	 	 	0	0	 	 	0	0	 	329,-394	1	149	现金红包	2	3	0	2,99	0	2	10018084,10003401,10003402,10033229,10048734,10048771,10048772,10048773,10003406,10012938,10281842,10022591,10017385,10003392,10003898,10027723,10027724,10033159,10159208,10063229,10029778,10053443,10051034,10003901,10003412,10260017,10025553,10022592,10004231,10029304,10032223,10032232,10032233,10032235,10032236,10018351,10039111,10045011,10045015,10045016,10045022,10045033,10045045,10045046,10045047,10045056,10005121,10053609,10042567,10062288,10043534,10029992,10182462	707,341
15	定制龙卷礼包拍脸图	400080013	1	1	2022-5-22 05:00:00	2022-10-4 23:59:59	5,5,0,432000	0	立即前往	0,-480	1	125	 	 	0	0	 	 	0	0	 	2	3	0	2,99	0	0	0	707,341
16	累充拍脸图-蚊娘	400080014	1	1	2024-4-29 05:00:00	2024-5-6 04:59:59	0,5,0,1296000	0	 	 	0	0	 	 	0	0	 	468,-354	1	151	 	2	1	1	2,99	0	0	 	772,378
17	UP招募拍脸图-僵尸男	400080010	1	0	2022-10-9 05:00:00	2022-10-16 04:59:59	15,5,0,518400	0	立即前往	-217,-481	1	153	开始试用	222,-481	1	154	 	 	0	0	僵尸男试用关卡	2	5	0	2,99	0	0	 	707,341
19	UP招募拍脸图-警犬侠	400080012	1	0	2022-10-25 05:00:00	2022-11-1 04:59:59	15,5,0,518400	0	立即前往	-217,-481	1	77	开始试用	222,-481	1	156	 	 	0	0	僵尸男试用关卡	2	5	0	2,99	0	0	 	707,341
21	源核拍脸图-阿修罗	400080015	1	0	2022-10-21 05:00:00	2022-10-26 04:59:59	0,5,0,1296000	0	 	 	0	0	 	 	0	0	 	463,-363	1	125	 	2	1	1	2,99	0	0	 	772,378
22	UP招募拍脸图-背心尊者	400080011	1	0	2022-11-1 05:00:00	2022-11-8 04:59:59	15,5,0,518400	0	立即前往	-217,-481	1	159	开始试用	222,-481	1	160	 	 	0	0	背心试用关卡	2	5	0	2,99	0	0	 	707,341
23	UP招募拍脸图-深海王	400080016	1	0	2022-11-8 05:00:00	2022-11-15 04:59:59	15,5,0,518400	0	立即前往	-217,-481	1	164	开始试用	222,-481	1	165	 	 	0	0	深海王试用关卡	2	5	1	2,99	0	0	 	707,341
24	源核拍脸图-索尼克	400080018	1	0	2022-12-9 05:00:00	2022-12-16 04:59:59	0,5,0,1296000	0	 	 	0	0	 	 	0	0	 	-274,-219	1	125	 	2	1	0	2,99	0	0	 	772,378
25	疫苗人拍脸图	400080017	1	0	2022-11-25 05:00:00	2022-12-2 04:59:59	0,5,0,1296000	0	立即前往	-217,-481	1	168	开始试用	222,-481	1	167	 	 	0	0	疫苗人使用	2	5	1	2,99	0	0	 	707,341
26	UP招募拍脸图-闪光和黑光	400080019	1	0	2022-11-17 05:00:00	2022-11-24 04:59:59	15,5,0,518400	0	立即前往	-217,-481	1	166	开始试用	222,-481	1	142	 	 	0	0	闪光试用关卡	2	5	0	2,99	22	0	 	707,341
27	源核拍脸图-黑光	400080020	1	0	2022-11-24 05:00:00	2022-11-29 05:00:00	0,5,0,1296000	0	 	 	0	0	 	 	0	0	 	446,-303	1	125	 	2	1	0	2,99	22	0	 	772,378
28	源核拍脸图-闪光	400080021	1	0	2022-11-24 05:00:00	2022-11-29 05:00:00	0,5,0,1296000	0	 	 	0	0	 	 	0	0	 	339,-293	1	125	 	2	1	0	2,99	22	0	 	772,378
29	UP招募拍脸图-阿修罗	400080003	1	0	2022-12-2 05:00:00	2022-12-9 04:59:59	9,5,0,259200	0	立即前往	-217,-481	1	169	开始试用	222,-481	1	155	 	 	0	0	阿修罗试用关卡	2	2	1	2,99	0	0	 	707,341
30	源核拍脸图-阿修罗	400080015	1	0	2022-12-2 05:00:00	2022-12-9 04:59:59	0,5,0,1296000	0	 	 	0	0	 	 	0	0	 	463,-363	1	125	 	2	1	1	2,99	0	0	 	772,378
31	UP招募拍脸图-龙卷	400080006	1	0	2022-12-9 05:00:00	2022-12-16 04:59:59	2,5,0,432000	0	立即前往	-217,-481	1	172	开始试用	222,-481	1	140	 	 	0	0	龙卷试用关卡	2	5	0	2,99	22	0	 	707,341
32	UP招募拍脸图地底王	400080022	1	0	2022-12-16 05:00:00	2022-12-23 04:59:59	9,5,0,259200	0	立即前往	-217,-481	1	173	开始试用	222,-481	1	174	 	 	0	0	地底王	2	2	1	2,99	0	0	 	707,341
33	UP招募拍脸图-警犬侠	400080012	1	0	2022-12-23 05:00:00	2022-12-30 04:59:59	15,5,0,518400	0	立即前往	-217,-481	1	175	开始试用	222,-481	1	156	 	 	0	0	警犬侠试用关卡	2	5	0	2,99	0	0	 	707,341
32	UP招募拍脸图猪神	400080023	1	0	2022-12-30 05:00:00	2023-1-6 04:59:59	9,5,0,259200	0	立即前往	-217,-481	1	176	开始试用	222,-481	1	177	 	 	0	0	猪神	2	2	0	2,99	0	0	 	707,341
33	UP招募拍脸图-深海王	400080016	1	0	2023-1-6 05:00:00	2023-1-13 04:59:59	15,5,0,518400	0	立即前往	-217,-481	1	178	开始试用	222,-481	1	165	 	 	0	0	深海王试用关卡	2	5	1	2,99	0	0	 	707,341
34	UP招募拍脸图-闪光和黑光	400080019	1	0	2023-1-13 05:00:00	2023-1-20 04:59:59	15,5,0,518400	0	立即前往	-217,-481	1	179	开始试用	222,-481	1	142	 	 	0	0	闪光试用关卡	2	5	0	2,99	22	0	 	707,341
