id	week	day	heroID	beizhu	dropSuccess	dropFail	dropShow	testTimes	stamina	questionPool	
1	1	1	2,11,18,22,30,37	 	52021,52111,52181,52221,52301,52371	52022,52112,52182,52222,52302,52372	52021,52111,52181,52221,52301,52371	3	0	101,100|102,100|103,100|104,100|105,100|106,100|107,100|108,100|109,100|110,100|111,100|112,100|113,100|114,100|115,100|116,100|117,100|118,100|119,100|120,100|121,100|122,100|123,100|124,100|125,100|126,100|127,100|128,100|129,100|130,100|131,100|132,100|133,100|134,100|135,100|136,100|137,100|138,100|139,100|140,100|141,100|142,100|143,100|144,100|145,100|146,100|147,100|148,100|149,100|150,100|151,100|152,100|153,100|154,100|155,100|156,100|157,100|158,100|159,100|160,100|161,100|162,100|163,100|164,100|165,100|166,100|167,100|168,100|169,100|170,100|171,100|172,100|173,100|174,100|175,100|176,100|177,100|178,100|179,100|180,100|181,100|182,100|183,100|184,100|185,100|186,100|187,100|188,100|189,100|190,100
2	1	2	8,12,19,23,31,38	 	52081,52121,52191,52231,52311,52381	52082,52122,52192,52232,52312,52382	52081,52121,52191,52231,52311,52381	3	0	101,100|102,100|103,100|104,100|105,100|106,100|107,100|108,100|109,100|110,100|111,100|112,100|113,100|114,100|115,100|116,100|117,100|118,100|119,100|120,100|121,100|122,100|123,100|124,100|125,100|126,100|127,100|128,100|129,100|130,100|131,100|132,100|133,100|134,100|135,100|136,100|137,100|138,100|139,100|140,100|141,100|142,100|143,100|144,100|145,100|146,100|147,100|148,100|149,100|150,100|151,100|152,100|153,100|154,100|155,100|156,100|157,100|158,100|159,100|160,100|161,100|162,100|163,100|164,100|165,100|166,100|167,100|168,100|169,100|170,100|171,100|172,100|173,100|174,100|175,100|176,100|177,100|178,100|179,100|180,100|181,100|182,100|183,100|184,100|185,100|186,100|187,100|188,100|189,100|190,100
3	1	3	9,13,20,24,32,22	 	52091,52131,52201,52241,52321,52221	52092,52132,52202,52242,52322,52222	52091,52131,52201,52241,52321,52221	3	0	101,100|102,100|103,100|104,100|105,100|106,100|107,100|108,100|109,100|110,100|111,100|112,100|113,100|114,100|115,100|116,100|117,100|118,100|119,100|120,100|121,100|122,100|123,100|124,100|125,100|126,100|127,100|128,100|129,100|130,100|131,100|132,100|133,100|134,100|135,100|136,100|137,100|138,100|139,100|140,100|141,100|142,100|143,100|144,100|145,100|146,100|147,100|148,100|149,100|150,100|151,100|152,100|153,100|154,100|155,100|156,100|157,100|158,100|159,100|160,100|161,100|162,100|163,100|164,100|165,100|166,100|167,100|168,100|169,100|170,100|171,100|172,100|173,100|174,100|175,100|176,100|177,100|178,100|179,100|180,100|181,100|182,100|183,100|184,100|185,100|186,100|187,100|188,100|189,100|190,100
4	1	4	5,14,50,25,33,31	 	52051,52141,52501,52251,52331,52311	52052,52142,52502,52252,52332,52312	52051,52141,52501,52251,52331,52311	3	0	101,100|102,100|103,100|104,100|105,100|106,100|107,100|108,100|109,100|110,100|111,100|112,100|113,100|114,100|115,100|116,100|117,100|118,100|119,100|120,100|121,100|122,100|123,100|124,100|125,100|126,100|127,100|128,100|129,100|130,100|131,100|132,100|133,100|134,100|135,100|136,100|137,100|138,100|139,100|140,100|141,100|142,100|143,100|144,100|145,100|146,100|147,100|148,100|149,100|150,100|151,100|152,100|153,100|154,100|155,100|156,100|157,100|158,100|159,100|160,100|161,100|162,100|163,100|164,100|165,100|166,100|167,100|168,100|169,100|170,100|171,100|172,100|173,100|174,100|175,100|176,100|177,100|178,100|179,100|180,100|181,100|182,100|183,100|184,100|185,100|186,100|187,100|188,100|189,100|190,100
5	1	5	6,15,26,27,34,24	 	52061,52151,52261,52271,52341,52241	52062,52152,52262,52272,52342,52242	52061,52151,52261,52271,52341,52241	3	0	101,100|102,100|103,100|104,100|105,100|106,100|107,100|108,100|109,100|110,100|111,100|112,100|113,100|114,100|115,100|116,100|117,100|118,100|119,100|120,100|121,100|122,100|123,100|124,100|125,100|126,100|127,100|128,100|129,100|130,100|131,100|132,100|133,100|134,100|135,100|136,100|137,100|138,100|139,100|140,100|141,100|142,100|143,100|144,100|145,100|146,100|147,100|148,100|149,100|150,100|151,100|152,100|153,100|154,100|155,100|156,100|157,100|158,100|159,100|160,100|161,100|162,100|163,100|164,100|165,100|166,100|167,100|168,100|169,100|170,100|171,100|172,100|173,100|174,100|175,100|176,100|177,100|178,100|179,100|180,100|181,100|182,100|183,100|184,100|185,100|186,100|187,100|188,100|189,100|190,100
6	1	6	4,16,40,28,35,23	 	52041,52161,52401,52281,52351,52231	52042,52162,52402,52282,52352,52232	52041,52161,52401,52281,52351,52231	3	0	101,100|102,100|103,100|104,100|105,100|106,100|107,100|108,100|109,100|110,100|111,100|112,100|113,100|114,100|115,100|116,100|117,100|118,100|119,100|120,100|121,100|122,100|123,100|124,100|125,100|126,100|127,100|128,100|129,100|130,100|131,100|132,100|133,100|134,100|135,100|136,100|137,100|138,100|139,100|140,100|141,100|142,100|143,100|144,100|145,100|146,100|147,100|148,100|149,100|150,100|151,100|152,100|153,100|154,100|155,100|156,100|157,100|158,100|159,100|160,100|161,100|162,100|163,100|164,100|165,100|166,100|167,100|168,100|169,100|170,100|171,100|172,100|173,100|174,100|175,100|176,100|177,100|178,100|179,100|180,100|181,100|182,100|183,100|184,100|185,100|186,100|187,100|188,100|189,100|190,100
7	1	0	39,17,41,29,36,27	 	52391,52171,52411,52291,52361,52271	52392,52172,52412,52292,52362,52272	52391,52171,52411,52291,52361,52271	3	0	101,100|102,100|103,100|104,100|105,100|106,100|107,100|108,100|109,100|110,100|111,100|112,100|113,100|114,100|115,100|116,100|117,100|118,100|119,100|120,100|121,100|122,100|123,100|124,100|125,100|126,100|127,100|128,100|129,100|130,100|131,100|132,100|133,100|134,100|135,100|136,100|137,100|138,100|139,100|140,100|141,100|142,100|143,100|144,100|145,100|146,100|147,100|148,100|149,100|150,100|151,100|152,100|153,100|154,100|155,100|156,100|157,100|158,100|159,100|160,100|161,100|162,100|163,100|164,100|165,100|166,100|167,100|168,100|169,100|170,100|171,100|172,100|173,100|174,100|175,100|176,100|177,100|178,100|179,100|180,100|181,100|182,100|183,100|184,100|185,100|186,100|187,100|188,100|189,100|190,100
8	2	1	5,15,40,28,36,37	 	52051,52151,52401,52281,52361,52371	52052,52152,52402,52282,52362,52372	52051,52151,52401,52281,52361,52371	3	0	101,100|102,100|103,100|104,100|105,100|106,100|107,100|108,100|109,100|110,100|111,100|112,100|113,100|114,100|115,100|116,100|117,100|118,100|119,100|120,100|121,100|122,100|123,100|124,100|125,100|126,100|127,100|128,100|129,100|130,100|131,100|132,100|133,100|134,100|135,100|136,100|137,100|138,100|139,100|140,100|141,100|142,100|143,100|144,100|145,100|146,100|147,100|148,100|149,100|150,100|151,100|152,100|153,100|154,100|155,100|156,100|157,100|158,100|159,100|160,100|161,100|162,100|163,100|164,100|165,100|166,100|167,100|168,100|169,100|170,100|171,100|172,100|173,100|174,100|175,100|176,100|177,100|178,100|179,100|180,100|181,100|182,100|183,100|184,100|185,100|186,100|187,100|188,100|189,100|190,100
9	2	2	6,16,41,22,31,38	 	52061,52161,52411,52221,52311,52381	52062,52162,52412,52222,52312,52382	52061,52161,52411,52221,52311,52381	3	0	101,100|102,100|103,100|104,100|105,100|106,100|107,100|108,100|109,100|110,100|111,100|112,100|113,100|114,100|115,100|116,100|117,100|118,100|119,100|120,100|121,100|122,100|123,100|124,100|125,100|126,100|127,100|128,100|129,100|130,100|131,100|132,100|133,100|134,100|135,100|136,100|137,100|138,100|139,100|140,100|141,100|142,100|143,100|144,100|145,100|146,100|147,100|148,100|149,100|150,100|151,100|152,100|153,100|154,100|155,100|156,100|157,100|158,100|159,100|160,100|161,100|162,100|163,100|164,100|165,100|166,100|167,100|168,100|169,100|170,100|171,100|172,100|173,100|174,100|175,100|176,100|177,100|178,100|179,100|180,100|181,100|182,100|183,100|184,100|185,100|186,100|187,100|188,100|189,100|190,100
10	2	3	4,17,18,23,32,31	 	52041,52171,52181,52231,52321,52311	52042,52172,52182,52232,52322,52312	52041,52171,52181,52231,52321,52311	3	0	101,100|102,100|103,100|104,100|105,100|106,100|107,100|108,100|109,100|110,100|111,100|112,100|113,100|114,100|115,100|116,100|117,100|118,100|119,100|120,100|121,100|122,100|123,100|124,100|125,100|126,100|127,100|128,100|129,100|130,100|131,100|132,100|133,100|134,100|135,100|136,100|137,100|138,100|139,100|140,100|141,100|142,100|143,100|144,100|145,100|146,100|147,100|148,100|149,100|150,100|151,100|152,100|153,100|154,100|155,100|156,100|157,100|158,100|159,100|160,100|161,100|162,100|163,100|164,100|165,100|166,100|167,100|168,100|169,100|170,100|171,100|172,100|173,100|174,100|175,100|176,100|177,100|178,100|179,100|180,100|181,100|182,100|183,100|184,100|185,100|186,100|187,100|188,100|189,100|190,100
