id	beizhu	question	type	answer1	answer2	answer3	rightAnswer	
101	火男面1	英雄协会赋予埼玉的称号是什么？	1	一拳超人	披风侠	秃头披风侠	3
102	火男面2	银色獠牙开创的武术流派叫什么？	1	旋风斩铁拳	流水岩碎拳	轰气空裂拳	2
103	火男面3	灾害等级由高到低，以下排列正确的是：	1	龙虎鬼神	鬼龙神虎	神龙鬼虎	3
104	火男面4	龙卷的全称是？	1	地狱的龙卷	暴风的龙卷	战栗的龙卷	3
105	火男面5	下列哪个是“吹雪组”的成员？	1	猿猴	山猴	山猿	3
106	火男面6	不是S级英雄的是：	1	闪电麦克斯	闪光弗莱士	猪神	1
107	火男面7	原子武士的徒弟不包括：	1	雷光源氏	居合庵	武士钻	1
108	火男面8	埼玉一生中打倒的第一个怪人是？	1	疫苗人	螃蟹怪人	地底人	2
109	火男面9	杰诺斯将谁称作老师？	1	埼玉	库斯诺博士	银色獠牙	1
110	火男面10	钉锤头为什么要做坏事？	1	寻找刺激	不想工作	兴趣使然	2
111	斯内克1	英雄协会赋予邦古的称号是什么？	1	银牙拳师	银色獠牙	流水之拳	2
112	斯内克2	英雄协会赋予杰诺斯的称号是什么？	1	魔鬼改造人	武装改造人	生化机器人	1
113	斯内克3	进化之家的创办者是？	1	杰诺斯博士	基诺斯博士	库斯诺博士	2
114	斯内克4	无证骑士的座驾是？	1	摩托车	电瓶车	自行车	3
115	斯内克5	钉锤头创立的组织叫什么？	1	桃源团	钉锤团	钉锤组	1
116	斯内克6	英雄级别从高到低，以下排列正确的是：	1	1级>2级>3级	S级>A级>B级	甲级>乙级>丙级	2
117	斯内克7	以下不是英雄的是：	1	毒刺	乌马洪	音速索尼克	3
118	斯内克8	下列哪个是S级英雄？	1	黄金球	金属球棒	甜心假面	2
119	斯内克9	英雄认定测试分为哪两部分？	1	笔试和体能	战斗和笔试	体能和战斗	1
120	斯内克10	以下哪个英雄曾在陨石事件中攻击过陨石？	1	性感囚犯	冲天好小子	金属骑士	3
121	地狱的吹雪1	埼玉在对战阿修罗独角仙时因为什么事表示失策？	1	放任对手变身	对手比想象中强	搞错了超市的特卖日	3
122	地狱的吹雪2	杰诺斯接受改造的最大理由是？	1	复仇	喜欢机械	想要拜师	1
123	地狱的吹雪3	以下哪一个不是进化之家的成员？	1	蚊娘	疫苗人	土龙	2
124	地狱的吹雪4	吹雪的全称是？	1	地狱的吹雪	战栗的吹雪	寒冰的吹雪	1
125	地狱的吹雪5	以下谁是宇宙暗物质海贼团的成员？	1	天空王	格洛里巴斯	古代王	2
126	地狱的吹雪6	下列不是S级英雄的是：	1	背心黑洞	警犬侠	猪神	1
127	地狱的吹雪7	下列哪个是A级英雄？	1	电池侠	三节棍莉莉	弹簧胡子	3
128	地狱的吹雪8	斯奈克的英雄名是？	1	蛇皮男	蛇拳师	蛇咬拳	3
129	地狱的吹雪9	以下哪个是背心尊者的小弟？	1	背心黑洞	大背头男	丧服吊带裤	1
130	地狱的吹雪10	金属球棒是什么等级？	1	A级	B级	S级	3
131	青焰1	毒刺的武器是什么？	1	长剑	竹笋枪	锥子	2
132	青焰2	正在流水岩碎拳的道场修行的角色是？	1	茶岚子	居合庵	原子武士	1
133	青焰3	袭击Z市的陨石的灾害等级是？	1	龙	虎	神	1
134	青焰4	弹簧胡子的武器是？	1	长枪	剑	火枪	2
135	青焰5	黄金球的战斗方式是？	1	超能力	武术	弹珠	3
136	青焰6	英雄协会的总部在哪？	1	A市	B市	Z市	1
137	青焰7	性感囚犯是什么等级？	1	A级	B级	S级	3
138	青焰8	下列哪项是KING的爱好？	1	打游戏	修炼超能力	争夺等级排名	1
139	青焰9	为什么假面甜心不升到S级？	1	被人阻挠	阻止弱者升为S级	认为A级更强	2
140	青焰10	地底人与埼玉交手，战绩如何？	1	投降逃跑	势均力敌	两败俱伤	1
141	黄金球1	进化之家的最强战力是？	1	螳螂男	阿修罗独角仙	装甲大猩猩	2
142	黄金球2	进化之家毁灭后，基诺斯博士的去向？	1	重建实验室	在家做章鱼烧	化身怪人	2
143	黄金球3	原子武士的招牌招式是？	1	居合斩	燕返斩	原子斩	3
144	黄金球4	黄金球使用的弹珠名称叫什么？	1	形状记忆玉金	形状记忆金玉	形状记忆弹金	3
145	黄金球5	弹簧胡子的招牌招式是？	1	踏步突刺	弹簧突刺	踏无暴威	3
146	黄金球6	下列哪个要素与KING有关？	1	王者引擎	一击毙命	超能力	1
147	黄金球7	KING被人们誉为？	1	地上最强的男人	怪人杀手	最终兵器	1
148	黄金球8	童帝的年龄是？	1	15岁	10岁	8岁	2
149	黄金球9	陨石事件中，金属骑士因什么原因而来到Z市？	1	建设新基地	补给能源	测试新兵器	3
150	黄金球10	螃蟹怪人的变异原因是？	1	吃了太多螃蟹	被螃蟹咬了	人类污染环境	1
151	微笑超人1	光头猩自称想要成为什么？	1	巨大化的男人	救世的男人	世界上最强的男人	3
