id	name	lineupId	isOnlineBattle	loadingTime	readyTime	changeHeroTime	isShare	chaoiceWaitTime	isSaveDate	
1	全息调查	0	1	120	40	0	0	30	0
2	怪人研究所	31	1	120	5	0	0	30	0
3	英雄试炼	31	1	120	5	0	0	30	0
5	突发事件	31	1	120	5	0	0	30	0
10	社团首领	12	1	120	5	0	0	30	0
11	武道大会	13	1	120	40	40	1	60	1
12	模拟训练	31	1	120	5	100	1	30	0
13	道馆演武	15	1	120	5	100	0	30	0
28	正义角逐	40	1	120	5	100	0	30	0
29	英雄物语	18	1	120	5	100	0	30	0
31	强者之梦	30	1	120	5	100	0	30	0
51	社团BOSS	0	1	120	40	40	1	30	0
52	无人区探索	22	1	120	5	100	0	30	0
59	社团挑战	0	1	120	5	100	0	30	0
87	清理城市（陷阱）	0	1	120	40	40	1	30	0
88	清理城市（boss）	0	1	120	40	40	1	30	0
