id	posListRed	posListBlue	frontAllRed	frontAllBlue	BFCenterRed	BFCenterBlue	BFCenter	cameraListRed	cameraListBlue	posListRedSummon	posListBlueSummon	sceneConfig	sceneConfigEnemy	lineupType	lineupTypeEnemy	
1	0.14,0,-5.6,0,0,0|-1.86,0,-4.8,0,0,0|2.34,0,-4.73,0,0,0|-4.46,0,-3.41,0,0,0|4.34,0,-3.41,0,0,0|0.14,0,-3.15,0,0,0	-0.15,0,5.4,0,180,0|1.9,0,4.15,0,180,0|-2.46,0,3.9,0,180,0|4.34,0,3.2,0,180,0|-4.46,0,3.2,0,180,0|-0.38,0,2.96,0,180,0	0,0,-0.84,0,0,0	0,0,1.77,0,180,0	0,0,-3.9,0,0,0	0,0,4.4,0,180,0	0,0,0	3.44,4.47,-9.95,20,-12.6,0|0.53,4.1,-9.09,20.47,-1.1,0|6.48,3.78,-7.63,20,-28,0|-3.18,4.26,-8.91,20,13.82,0|7.97,4.03,-6.08,20,-32,0|3.56,3.92,-7,20,-17,0	-4.23,4.59,9.46,22,164.5,0|-2.58,4.72,9.43,20,170,0|-4.74,4.5,8,20,155.6,0|1.9,4.3,8,21.36,-176,0|-8.35,3.6,6.19,16.8,148,0|-4.64,4.26,7.2,20,161.6,0	0,0,-1.5,0,0,0	0,0,-.5,0,180,0	 	 	0	0
2	0.14,0,-5.6,0,0,0|-4.51,0,2.85,0,116.8,0|3.8,0,2.65,0,-121.9,0|-4.46,0,-3.41,0,0,0|4.34,0,-3.41,0,0,0|0.14,0,-3.15,0,0,0	0,0,0,0,161,0|0,0,0,0,161,0|0,0,0,0,161,0|0,0,0,0,161,0|0,0,0,0,161,0|0,0,0,0,180,0	0,0,-0.84,0,0,0	0,0,1.77,0,180,0	0,0,0,0,0,0	0,0,0,0,0,0	0,0,0	3.44,4.47,-9.95,20,-12.6,0|0.53,4.1,-9.09,20.47,-1.1,0|6.48,3.78,-7.63,20,-28,0|-3.18,4.26,-8.91,20,13.82,0|7.97,4.03,-6.08,20,-32,0|3.56,3.92,-7,20,-17,0	-4.23,4.59,9.46,22,164.5,0|-2.58,4.72,9.43,20,170,0|-4.74,4.5,8,20,155.6,0|1.9,4.3,8,21.36,-176,0|-8.35,3.6,6.19,16.8,148,0|-4.64,4.26,7.2,20,161.6,0	0,0,-1.5,0,0,0	0,0,-.5,0,180,0	 	 	0	0
3	0.14,0,-5.6,0,0,0|-1.86,0,-4.8,0,0,0|2.34,0,-4.73,0,0,0|-4.46,0,-3.41,0,0,0|4.34,0,-3.41,0,0,0|0.14,0,-3.15,0,0,0	-0.15,0,5.4,0,180,0|3.83,0,3.75,0,180,0|-3.39,0,3.75,0,180,0|5.83,0,3.75,0,180,0|-5.38,0,3.75,0,180,0|0.54,0,1.77,0,180,0	0,0,-0.84,0,0,0	0,0,1.77,0,180,0	0,0,-3.9,0,0,0	0,0,4.4,0,180,0	0,0,0	3.44,4.47,-9.95,20,-12.6,0|0.53,4.1,-9.09,20.47,-1.1,0|6.48,3.78,-7.63,20,-28,0|-3.18,4.26,-8.91,20,13.82,0|7.97,4.03,-6.08,20,-32,0|3.56,3.92,-7,20,-17,0	-4.23,4.59,9.46,22,164.5,0|-2.58,4.72,9.43,20,170,0|-4.74,4.5,8,20,155.6,0|1.9,4.3,8,21.36,-176,0|-8.35,3.6,6.19,16.8,148,0|-4.64,4.26,7.2,20,161.6,0	0,0,-1.5,0,0,0	0,0,-.5,0,180,0	 	 	0	0
4	0.14,0,-5.6,0,0,0|-1.86,0,-4.8,0,0,0|2.34,0,-4.73,0,0,0|-4.46,0,-3.41,0,0,0|4.34,0,-3.41,0,0,0|0.14,0,-3.15,0,0,0	0,0,0,0,0,0|0,0,0,0,0,0|0,0,0,0,0,0|0,0,0,0,0,0|0,0,0,0,0,0|-0.38,0,4.83,0,180,0	0,0,-0.84,0,0,0	0,0,1.77,0,180,0	0,0,-3.9,0,0,0	0,0,4.4,0,180,0	0,0,0	3.44,4.47,-9.95,20,-12.6,0|0.53,4.1,-9.09,20.47,-1.1,0|6.48,3.78,-7.63,20,-28,0|-3.18,4.26,-8.91,20,13.82,0|7.97,4.03,-6.08,20,-32,0|3.56,3.92,-7,20,-17,0	-4.23,4.59,9.46,22,164.5,0|-2.58,4.72,9.43,20,170,0|-4.74,4.5,8,20,155.6,0|1.9,4.3,8,21.36,-176,0|-8.35,3.6,6.19,16.8,148,0|-4.64,4.26,7.2,20,161.6,0	0,0,-1.5,0,0,0	0,0,-.5,0,180,0	 	 	0	0
5	0.674,0,-2.92,0,-13,0|-4.51,0,2.85,0,116.8,0|4.42,0,3.03,0,-121.9,0|-4.46,0,-3.41,0,0,0|4.34,0,-3.41,0,0,0|0.14,0,-3.15,0,0,0	0,0,0,0,161,0|0,0,0,0,161,0|0,0,0,0,161,0|0,0,0,0,161,0|0,0,0,0,161,0|-0.674,0,2.92,0,167,0	0,0,-0.84,0,0,0	0,0,1.77,0,180,0	0,0,0,0,0,0	0,0,0,0,0,0	0,0,0	3.44,4.47,-9.95,20,-12.6,0|0.53,4.1,-9.09,20.47,-1.1,0|6.48,3.78,-7.63,20,-28,0|-3.18,4.26,-8.91,20,13.82,0|7.97,4.03,-6.08,20,-32,0|3.56,3.92,-7,20,-17,0	-4.23,4.59,9.46,22,164.5,0|-2.58,4.72,9.43,20,170,0|-4.74,4.5,8,20,155.6,0|1.9,4.3,8,21.36,-176,0|-8.35,3.6,6.19,16.8,148,0|-4.64,4.26,7.2,20,161.6,0	0,0,-1.5,0,0,0	0,0,-.5,0,180,0	 	 	0	0
6	0.14,0,-5.6,0,0,0|-1.86,0,-4.8,0,0,0|2.34,0,-4.73,0,0,0|-4.46,0,-3.41,0,0,0|4.34,0,-3.41,0,0,0|0.14,0,-3.15,0,0,0	0,0,5.31,0,180,0|3.53,0,4.15,0,180,0|-3.53,0,4.15,0,180,0|1.93,0,6.97,0,180,0|-1.93,0,6.97,0,180,0|0,0,2.96,0,180,0	0,0,-0.84,0,0,0	0,0,1.77,0,180,0	0,0,-3.9,0,0,0	0,0,4.4,0,180,0	0,0,0	3.44,4.47,-9.95,20,-12.6,0|0.53,4.1,-9.09,20.47,-1.1,0|6.48,3.78,-7.63,20,-28,0|-3.18,4.26,-8.91,20,13.82,0|7.97,4.03,-6.08,20,-32,0|3.56,3.92,-7,20,-17,0	-4.23,4.59,9.46,22,164.5,0|-2.58,4.72,9.43,20,170,0|-4.74,4.5,8,20,155.6,0|1.9,4.3,8,21.36,-176,0|-8.35,3.6,6.19,16.8,148,0|-4.64,4.26,7.2,20,161.6,0	0,0,-1.5,0,0,0	0,0,-.5,0,180,0	 	 	0	0
7	0.86,0,0.01,0,90,0|0,0,1.16,0,0,0|-0.93,0,0.03,0,-135,0|0,0,-1.14,0,180,0|1.44,0,1.3,0,45,0|-1.02,0,-0.91,0,160,0	2.57,0,4.4,0,-150,0|-2.53,0,4.25,0,150,0|4.88,0,0.03,0,-90,0|-4.81,0,0.01,0,90,0|2.54,0,-4.23,0,-30,0|-2.48,0,-4.21,0,30,0	0,0,-0.84,0,0,0	-2.67,0,0,0,0,0	0,0,0,0,0,0	0,0,0,0,0,0	0,0,0	3.44,4.47,-9.95,20,-12.6,0|0.53,4.1,-9.09,20.47,-1.1,0|6.48,3.78,-7.63,20,-28,0|-3.18,4.26,-8.91,20,13.82,0|7.97,4.03,-6.08,20,-32,0|3.56,3.92,-7,20,-17,0	-4.23,4.59,9.46,22,164.5,0|-2.58,4.72,9.43,20,170,0|-4.74,4.5,8,20,155.6,0|1.9,4.3,8,21.36,-176,0|-8.35,3.6,6.19,16.8,148,0|-4.64,4.26,7.2,20,161.6,0	0,0,-1.5,0,0,0	0,0,-.5,0,180,0	6.59,4,-9.41,17,-35,0,42,0.01,1000	-1.94,4,11.33,17,170.3,0,46,0.01,1000	0	0
8	0,0,-3.92,0,0,0|0,0,-1.82,0,0,0|0,0,0,0,0,0|0,0,0,0,0,0|0,0,0,0,0,0|0,0,0,0,0,0	0,4.5,3.92,0,180,0|-1.89,3.81,7.85,0,180,0|2.07,3.34,2.56,0,180,0|2.23,6.38,6.07,0,180,0|-2.67,6.13,4.44,0,180,0|-2.82,3.36,2.9,0,180,0	0,0,-3	0,0,0	0,0,0,0,0,0	0,0,0,0,0,0	0,0,-3.92	3.44,4.47,-9.95,20,-12.6,0|0.53,4.1,-9.09,20.47,-1.1,0|6.48,3.78,-7.63,20,-28,0|-3.18,4.26,-8.91,20,13.82,0|7.97,4.03,-6.08,20,-32,0|3.56,3.92,-7,20,-17,0	-4.23,4.59,9.46,22,164.5,0|-2.58,4.72,9.43,20,170,0|-4.74,4.5,8,20,155.6,0|1.9,4.3,8,21.36,-176,0|-8.35,3.6,6.19,16.8,148,0|-4.64,4.26,7.2,20,161.6,0	0,0,-1.5,0,0,0	0,0,-.5,0,180,0	 	 	0	0
9	0.14,0,-5.6,0,0,0|-1.86,0,-4.8,0,0,0|2.34,0,-4.73,0,0,0|-4.46,0,-3.41,0,0,0|4.34,0,-3.41,0,0,0|0.14,0,-3.15,0,0,0	-0.15,0,5.4,0,180,0|1.9,0,4.15,0,180,0|-2.46,0,3.9,0,180,0|4.34,0,3.2,0,180,0|-4.46,0,3.2,0,180,0|-0.38,0,2.96,0,180,0	0,0,-0.84,0,0,0	0,0,1.77,0,180,0	0,0,-3.9,0,0,0	0,0,0,0,0,0	0,0,0	3.44,4.47,-9.95,20,-12.6,0|0.53,4.1,-9.09,20.47,-1.1,0|6.48,3.78,-7.63,20,-28,0|-3.18,4.26,-8.91,20,13.82,0|7.97,4.03,-6.08,20,-32,0|3.56,3.92,-7,20,-17,0	-4.23,4.59,9.46,22,164.5,0|-2.58,4.72,9.43,20,170,0|-4.74,4.5,8,20,155.6,0|1.9,4.3,8,21.36,-176,0|-8.35,3.6,6.19,16.8,148,0|-4.64,4.26,7.2,20,161.6,0	0,0,-1.5,0,0,0	0,0,-.5,0,180,0	-2.2,1.3,-20,0,5,0,7,0.01,1000	-1.94,4,11.33,17,170.3,0,46,0.01,1000	0	0
10	2.85,0,-4.3,0,0,0|-1.1,0,-4.5,0,0,0|1.1,0,-4.5,0,0,0|-2.85,0,-4.3,0,0,0|-1.87,0,-6,0,0,0|1.87,0,-6,0,0,0	0,0,5.9,0,180,0|-1.94,0,3.43,0,180,0|1.94,0,3.43,0,180,0|-3.75,0,4.5,0,180,0|3.75,0,4.5,0,180,0|0,0,1.94,0,180,0	0,0,-1.94,0,0,0	0,0,0.3,0,180,0	0,0,-5.2,0,0,0	0,0,4.4,0,180,0	0,0,0	3.44,4.47,-9.95,20,-12.6,0|0.53,4.1,-9.09,20.47,-1.1,0|6.48,3.78,-7.63,20,-28,0|-3.18,4.26,-8.91,20,13.82,0|7.97,4.03,-6.08,20,-32,0|3.56,3.92,-7,20,-17,0	-4.23,4.59,9.46,22,164.5,0|-2.58,4.72,9.43,20,170,0|-4.74,4.5,8,20,155.6,0|1.9,4.3,8,21.36,-176,0|-8.35,3.6,6.19,16.8,148,0|-4.64,4.26,7.2,20,161.6,0	0,0,-1.5,0,0,0	0,0,-.5,0,180,0	5.31,4,-10.19,17,-27.5,0,42,0.01,1000	-1.94,4,11.33,17,170.3,0,46,0.01,1000	0	0
