id	type	convergeCheck	convergePara	convergeParaAtack	beizhu	dec	useScence	
1	1	0	 	 	不集火	不集火	1
2	1	1	13|8,7,1	14|8,7,1	生命	生命上限最高的角色	1
3	1	1	13|8,7,-1	14|8,7,-1	生命	生命上限最低的角色	1
4	1	1	13|8,12,1	14|8,12,1	攻击	攻击力最高的角色	1
5	1	1	13|8,12,-1	14|8,12,-1	攻击	攻击力最低的角色	1
6	1	1	13|8,42,1	14|8,42,1	速度	速度最高的角色	1
7	1	1	13|8,42,-1	14|8,42,-1	速度	速度最低的角色	1
8	2	0	 	 	不集火	不集火	1
9	2	1	14|10,1	13|10,1	1号位	1号位置	1
10	2	1	14|10,2	13|10,2	2号位	2号位置	1
11	2	1	14|10,3	13|10,3	3号位	3号位置	1
12	2	1	14|10,4	13|10,4	4号位	4号位置	1
13	2	1	14|10,5	13|10,5	5号位	5号位置	1
14	2	1	14|10,6	13|10,6	6号位	6号位置	1
15	1	0	 	 	不集火	不集火	2
16	1	1	13|10,1	14|10,1	1号位	1号位置	2
17	1	1	13|10,2	14|10,2	2号位	2号位置	2
18	1	1	13|10,3	14|10,3	3号位	3号位置	2
19	1	1	13|10,4	14|10,4	4号位	4号位置	2
20	1	1	13|10,5	14|10,5	5号位	5号位置	2
21	1	1	13|10,6	14|10,6	6号位	6号位置	2
