id	description	icon	bonusEffect	isBonusBuff	bonusType	param_1	isVanish	group	level	
1	<color=#FF0000>攻击+15%</color>	340110003	10001	1	1	302021,1,1,1	0	1	1
2	<color=#FF0000>攻击+30%</color>	340110004	10002	1	1	302031,1,1,2	0	1	6
3	<color=#CC00FF>暴击率+15%</color>	340110007	10003	1	1	302041,1,2,1	0	2	1
4	<color=#CC00FF>暴击率+30%</color>	340110008	10004	1	1	302051,1,2,2	0	2	2
5	<color=#00FF33>恢复15%生命</color>	340110001	10005	0	1	302021,0,3,1	0	3	1
6	<color=#00FF33>恢复30%生命</color>	340110002	10006	0	1	302031,0,3,2	0	3	3
7	<color=#FFCC00>能量点恢复1点</color>	340110011	10007	0	1	302041,0,4,1	0	4	1
8	<color=#FFCC00>能量点恢复3点</color>	340110012	10008	0	1	302051,0,4,2	0	4	2
9	<color=#FF0000>S能量恢复25%</color>	340110009	10009	0	1	302061,0,5,1	0	5	1
10	<color=#FF0000>S能量恢复50%</color>	340110010	10010	0	1	302071,0,5,2	0	5	2
11	<color=#FF0000>攻击-30%</color>	340110018	440101011	1	2	302031,1,1,2	0	7	1
12	<color=#CC00FF>暴击率-30%</color>	340110016	440101021	1	2	302051,1,2,2	0	8	1
13	<color=#FF0000>S能量减少50%</color>	340110017	440102011	0	2	302071,0,5,2	0	9	1
10001	<color=#FF0000>攻击+15%</color>	340110004	2804031	1	1	302031,1,1,2	0	1	2
10002	<color=#FF0000>攻击+17%</color>	340110004	2804032	1	1	302031,1,1,3	0	1	3
10003	<color=#FF0000>攻击+20%</color>	340110004	2804033	1	1	302031,1,1,4	0	1	4
10004	<color=#FF0000>攻击+25%</color>	340110004	2804034	1	1	302031,1,1,5	0	1	5
10005	<color=#FF0000>攻击+30%</color>	340110004	2804035	1	1	302031,1,1,6	0	1	7
10011	<color=#00FF33>恢复20%生命</color>	340110001	2805021	0	1	 	0	3	2
10012	<color=#00FF33>恢复20%生命</color>	340110001	2805022	0	1	 	0	3	2
10013	<color=#00FF33>恢复20%生命</color>	340110001	2805023	0	1	 	0	3	2
10014	<color=#00FF33>恢复20%生命</color>	340110001	2805024	0	1	 	0	3	2
10015	<color=#00FF33>恢复20%生命</color>	340110001	2805025	0	1	 	0	3	2
10021	<color=#FF0000>攻击+20%</color>	340110004	2807021	1	1	302031,1,1,2	0	1	2
10022	<color=#FF0000>攻击+22%</color>	340110004	2807022	1	1	302031,1,1,3	0	1	3
10023	<color=#FF0000>攻击+25%</color>	340110004	2807023	1	1	302031,1,1,4	0	1	5
10024	<color=#FF0000>攻击+30%</color>	340110004	2807024	1	1	302031,1,1,5	0	1	7
10025	<color=#FF0000>攻击+35%</color>	340110004	2807025	1	1	302031,1,1,6	0	1	8
10031	<color=#FF0000>攻击+25%</color>	340110004	2809021	1	1	302031,1,1,2	0	1	5
10032	<color=#FF0000>攻击+27%</color>	340110004	2809022	1	1	302031,1,1,3	0	1	5
10033	<color=#FF0000>攻击+30%</color>	340110004	2809023	1	1	302031,1,1,4	0	1	7
10034	<color=#FF0000>攻击+35%</color>	340110004	2809024	1	1	302031,1,1,5	0	1	8
10035	<color=#FF0000>攻击+40%</color>	340110004	2809025	1	1	302031,1,1,6	0	1	9
1001	<color=#FF0000>S能量恢复100%</color>	340110010	10011	0	1	 	0	5	3
1802051	<color=#09F7C7>电击</color>	340110013	1802051	1	2,3	 	1	6	0
1802052	<color=#09F7C7>电击</color>	340110013	1802052	1	2,3	 	1	6	0
1802053	<color=#09F7C7>电击</color>	340110013	1802053	1	2,3	 	1	6	0
1802054	<color=#09F7C7>电击</color>	340110013	1802054	1	2,3	 	1	6	0
1802055	<color=#09F7C7>电击</color>	340110013	1802055	1	2,3	 	1	6	0
1808011	<color=#09F7C7>获得新回合</color>	340110015	1808011	1	1	 	0	6	0
1808012	<color=#09F7C7>获得新回合</color>	340110015	1808012	1	1	 	0	6	0
1808013	<color=#09F7C7>获得新回合</color>	340110015	1808013	1	1	 	0	6	0
1808014	<color=#09F7C7>获得新回合</color>	340110015	1808014	1	1	 	0	6	0
1808015	<color=#09F7C7>获得新回合</color>	340110015	1808015	1	1	 	0	6	0
1838011	<color=#09F7C7>获得新回合</color>	340110015	1838011	1	1	 	0	6	0
