id	bonusList	bonusPro	bonusTimes	bonusRelativePro	beizhu	
1	1|3|5	100|80|30	2|3|2	100|100|100	 
2	1,2|3|4	100|80|30	2|3|2	50,50|100|100	 
3	1,2|3,4|7,8|9,10	100|80|40|40	6|6|6|6	50,50|50,50|50,50|50,50	 
4	1,2|3,4	100|100	2|3	50,50|50,50	 
5	2,4,10,11,12,13|2,4,10,11,12,13	100|50	3|4	50,50,50,50,50,50|50,50,50,50,50,50	英雄物语龙卷专用
3002011	1,3,5	100	1	10,10,10	 
3002012	1,3,5	100	1	10,10,10	 
3002013	1,3,5	100	1	10,10,10	 
3002014	1,3,5	100	1	10,10,10	 
3002015	1,3,5	100	1	10,10,10	 
3002021	5	100	1	10	演练中心三节棍莉莉用
201201011	1,3,5	100	1	10,10,10	 
