id	type	parameter1	parameter2	parameter3	
10000	1	 	 	 
10001	2	70200111	 	 
10002	2	70200211	 	 
10003	2	70200311	 	 
10004	2	70200411	 	 
10005	2	70200511	 	 
10006	2	70200611	 	 
10007	2	70200711	 	 
10008	2	70200811	 	 
10009	2	70200911	 	 
10010	2	70201011	 	 
20001	2	70100111	 	 
20002	2	70100211	 	 
20003	2	70100311	 	 
20004	2	70100411	 	 
20005	2	70100511	 	 
20006	2	70100611	 	 
20007	2	70100711	 	 
20008	2	70100811	 	 
20009	2	70100911	 	 
20010	2	70101011	 	 
30001	2	70300111	 	 
30002	2	70300211	 	 
30003	2	70300311	 	 
30004	2	70300411	 	 
30005	2	70300511	 	 
30006	2	70300611	 	 
30007	2	70300711	 	 
30008	2	70300811	 	 
30009	2	70300911	 	 
30010	2	70301011	 	 
40001	2	71010511	 	 
40002	2	71020511	 	 
40003	2	71030511	 	 
40004	2	71040511	 	 
40005	2	71050511	 	 
40006	2	71060511	 	 
40007	2	71070511	 	 
40008	2	71080511	 	 
40009	2	71090511	 	 
40010	2	71100511	 	 
50000	4	 	 	 
