id	starNum	type	dropShow	drop	sceneId	npcId	modelId	resourceNpc	resourceIcon	iconNum	
1	36	2	2201	2201	202060	20206011	349104201	349104301	314001002	10
2	72	2	2203	2203	204070	20407011	349104202	349104302	314001002	5
3	108	2	2203	2203	206070	20607011	349104203	349104303	314001002	5
4	144	2	2203	2203	208070	20807011	349104204	349104304	314001002	5
5	180	2	2203	2203	210070	21007011	349104205	349104305	314001002	5
6	216	2	2203	2203	212070	21207011	349104206	349104306	314001002	5
7	252	2	2203	2203	214070	21407011	349104207	349104307	314001002	5
8	288	2	2203	2203	216070	21607011	349104208	349104308	314001002	5
9	324	2	2203	2203	218070	21807011	349104209	349104309	314001002	5
10	360	2	2203	2203	220070	22007011	349104210	349104310	314001002	5
11	396	2	2203	2203	222070	22207011	349104211	349104311	314001002	5
12	432	2	2203	2203	224070	22407011	349104212	349104312	314001002	5
13	468	2	2203	2203	226070	22607011	349104215	349104315	314001002	5
14	504	2	2203	2203	228070	22807011	349104214	349104314	314001002	5
15	540	2	2203	2203	230070	23007011	349104213	349104313	314001002	5
16	576	2	2203	2203	232070	23207011	349104216	349104316	314001002	5
17	612	2	2203	2203	234070	23407011	349104217	349104317	314001002	5
18	648	2	2203	2203	236070	23607011,23607012	349104218	349104318	314001002	5
19	684	2	2203	2203	238070	23807011,23807012	349104219	349104319	314001002	5
20	720	2	2203	2203	240070	24007011,24007012	349104220	349104320	314001002	5
21	756	2	2203	2203	242070	24207011,24207012	349104221	349104321	314001002	5
