id	chapterMainId	drop	dropShow	patterntype	
201021	1	2010217	2010217	1
201041	1	2010417	2010417	1
202021	2	2020217	2020217	1
202041	2	2020417	2020417	1
203021	3	2030217	2030217	1
203041	3	2030417	2030417	1
204021	4	2040217	2040217	1
204041	4	2040417	2040417	1
205021	5	2050217	2050217	1
205041	5	2050417	2050417	1
206021	6	2060217	2060217	1
206041	6	2060417	2060417	1
207021	7	2070217	2070217	1
207041	7	2070417	2070417	1
208021	8	2080217	2080217	1
208041	8	2080417	2080417	1
209021	9	2090217	2090217	1
209041	9	2090417	2090417	1
210021	10	2100217	2100217	1
210041	10	2100417	2100417	1
211021	11	2110217	2110217	1
211041	11	2110417	2110417	1
212021	12	2120217	2120217	1
212041	12	2120417	2120417	1
213021	13	2130217	2130217	1
213041	13	2130417	2130417	1
214021	14	2140217	2140217	1
214041	14	2140417	2140417	1
215021	15	2150217	2150217	1
215041	15	2150417	2150417	1
216021	16	2160217	2160217	1
216041	16	2160417	2160417	1
217021	17	2170217	2170217	1
217041	17	2170417	2170417	1
218021	18	2180217	2180217	1
218041	18	2180417	2180417	1
219021	19	2190217	2190217	1
219041	19	2190417	2190417	1
220021	20	2200217	2200217	1
220041	20	2200417	2200417	1
221021	21	2210217	2210217	1
221041	21	2210417	2210417	1
222021	22	2220217	2220217	1
222041	22	2220417	2220417	1
223021	23	2230217	2230217	1
223041	23	2230417	2230417	1
224021	24	2240217	2240217	1
224041	24	2240417	2240417	1
225021	25	2250217	2250217	1
225041	25	2250417	2250417	1
226021	26	2260217	2260217	1
226041	26	2260417	2260417	1
227021	27	2270217	2270217	1
227041	27	2270417	2270417	1
228021	28	2280217	2280217	1
228041	28	2280417	2280417	1
229021	29	2290217	2290217	1
229041	29	2290417	2290417	1
230021	30	2300217	2300217	1
230041	30	2300417	2300417	1
231021	31	2310217	2310217	1
231041	31	2310417	2310417	1
232021	32	2320217	2320217	1
232041	32	2320417	2320417	1
233021	33	2330217	2330217	1
233041	33	2330417	2330417	1
234021	34	2340217	2340217	1
234041	34	2340417	2340417	1
235021	35	2350217	2350217	1
235041	35	2350417	2350417	1
236021	36	2360217	2360217	1
236041	36	2360417	2360417	1
237021	37	2370217	2370217	1
237041	37	2370417	2370417	1
238021	38	2380217	2380217	1
238041	38	2380417	2380417	1
239021	39	2390217	2390217	1
239041	39	2390417	2390417	1
240021	40	2400217	2400217	1
240041	40	2400417	2400417	1
241021	41	2410217	2410217	1
241041	41	2410417	2410417	1
242021	42	2420217	2420217	1
242041	42	2420417	2420417	1
243021	43	2430217	2430217	1
243041	43	2430417	2430417	1
244021	44	2440217	2440217	1
244041	44	2440417	2440417	1
201121	1001	2011217	2011217	2
201131	1001	2011317	2011317	2
201141	1001	2011417	2011417	2
202121	1002	2021217	2021217	2
202131	1002	2021317	2021317	2
202141	1002	2021417	2021417	2
203121	1003	2031217	2031217	2
203131	1003	2031317	2031317	2
203141	1003	2031417	2031417	2
204121	1004	2041217	2041217	2
204131	1004	2041317	2041317	2
204141	1004	2041417	2041417	2
205121	1005	2051217	2051217	2
205131	1005	2051317	2051317	2
205141	1005	2051417	2051417	2
206121	1006	2061217	2061217	2
206131	1006	2061317	2061317	2
206141	1006	2061417	2061417	2
207121	1007	2071217	2071217	2
207131	1007	2071317	2071317	2
207141	1007	2071417	2071417	2
208121	1008	2081217	2081217	2
208131	1008	2081317	2081317	2
208141	1008	2081417	2081417	2
209121	1009	2091217	2091217	2
209131	1009	2091317	2091317	2
209141	1009	2091417	2091417	2
210121	1010	2101217	2101217	2
210131	1010	2101317	2101317	2
210141	1010	2101417	2101417	2
211121	1011	2111217	2111217	2
211131	1011	2111317	2111317	2
211141	1011	2111417	2111417	2
212121	1012	2121217	2121217	2
212131	1012	2121317	2121317	2
212141	1012	2121417	2121417	2
213121	1013	2131217	2131217	2
213131	1013	2131317	2131317	2
213141	1013	2131417	2131417	2
214121	1014	2141217	2141217	2
214131	1014	2141317	2141317	2
214141	1014	2141417	2141417	2
215121	1015	2151217	2151217	2
215131	1015	2151317	2151317	2
215141	1015	2151417	2151417	2
216121	1016	2161217	2161217	2
216131	1016	2161317	2161317	2
216141	1016	2161417	2161417	2
217121	1017	2171217	2171217	2
217131	1017	2171317	2171317	2
217141	1017	2171417	2171417	2
218121	1018	2181217	2181217	2
218131	1018	2181317	2181317	2
218141	1018	2181417	2181417	2
219121	1019	2191217	2191217	2
219131	1019	2191317	2191317	2
219141	1019	2191417	2191417	2
220121	1020	2201217	2201217	2
220131	1020	2201317	2201317	2
220141	1020	2201417	2201417	2
