id	patterntype	storyName	chapterShow	unlockLv	storyId	nextChapter	lastChapter	chapterStage	starReward	rewardShow	unlockWord	background	introduce	
1	1	<size=40>第</size>1<size=40>章</size>	第一章	1	0	2	0	201010,201020,201021,201030,201031,201040,201041,201050,201061	3,2010001|9,2010002|18,2010003	2010001,2010002,2010003	等级达到1级	330900202	 
2	1	<size=40>第</size>2<size=40>章</size>	第二章	5	101	3	1	202010,202020,202021,202030,202031,202040,202041,202050,202061	3,2020001|9,2020002|18,2020003	2020001,2020002,2020003	等级达到5级	330900206	红色标示的目标蕴含着可利用的能量，应优先解决
3	1	<size=40>第</size>3<size=40>章</size>	第三章	7	101	4	2	203010,203020,203021,203030,203031,203040,203041,203050,203061	3,2030001|9,2030002|18,2030003	2030001,2030002,2030003	等级达到7级	330900210	红色标示的目标蕴含着可利用的能量，应优先解决
4	1	<size=40>第</size>4<size=40>章</size>	第四章	9	101	5	3	204010,204020,204021,204030,204031,204050,204041,204060,204061	3,2040001|9,2040002|18,2040003	2040001,2040002,2040003	等级达到10级	330900213	部分目标特殊，应辨别标示加以针对
5	1	<size=40>第</size>5<size=40>章</size>	第五章	10	101	6	4	205010,205020,205021,205030,205031,205050,205041,205060,205061	3,2050001|9,2050002|18,2050003	2050001,2050002,2050003	等级达到12级	330900208	相互搭档的目标一同袭来，其力量会相互影响
6	1	<size=40>第</size>6<size=40>章</size>	第六章	12	101	7	5	206010,206020,206021,206030,206031,206050,206041,206060,206061	3,2060001|9,2060002|18,2060003	2060001,2060002,2060003	等级达到13级	330900209	部分目标特殊，请按照情报标示谨慎处理
7	1	<size=40>第</size>7<size=40>章</size>	第七章	14	101	8	6	207010,207020,207021,207040,207031,207050,207041,207060,207061	3,2070001|9,2070002|18,2070003	2070001,2070002,2070003	等级达到16级	330900203	拥有特殊力量的目标大量袭来，需活用情报破解
8	1	<size=40>第</size>8<size=40>章</size>	第八章	16	101	9	7	208010,208020,208021,208030,208031,208050,208041,208060,208061	3,2080001|9,2080002|18,2080003	2080001,2080002,2080003	等级达到18级	330900201	黄色标示的目标之间互有关联，应尽量同时击败
9	1	<size=40>第</size>9<size=40>章</size>	第九章	18	101	10	8	209010,209020,209021,209030,209031,209050,209041,209060,209061	3,2090001|9,2090002|18,2090003	2090001,2090002,2090003	等级达到19级	330900205	敌我双方能量高涨
10	1	<size=40>第</size>10<size=40>章</size>	第十章	20	101	11	9	210010,210020,210021,210030,210031,210050,210041,210060,210061	3,2100001|9,2100002|18,2100003	2100001,2100002,2100003	等级达到20级	330900213	沉睡的目标若不被攻击就不会醒来
11	1	<size=40>第</size>11<size=40>章</size>	第十一章	22	101	12	10	211010,211020,211021,211030,211031,211050,211041,211060,211061	3,2110001|9,2110002|18,2110003	2110001,2110002,2110003	等级达到21级	330900205	敌方目标免疫控制和负面效果
12	1	<size=40>第</size>12<size=40>章</size>	第十二章	24	101	13	11	212010,212020,212021,212030,212031,212050,212041,212060,212061	3,2120001|9,2120002|18,2120003	2120001,2120002,2120003	等级达到22级	330900212	部分目标情绪激怒，攻击生命增加
13	1	<size=40>第</size>13<size=40>章</size>	第十三章	26	101	14	12	213010,213020,213021,213030,213031,213050,213041,213060,213061	3,2130001|9,2130002|18,2130003	2130001,2130002,2130003	等级达到24级	330900209	敌方目标具有反伤能力
