id	patterntype	content	beizhu	dropGroup	firstDrop	target	result	
201031	1	4,2,1	1个R品质角色	2010301	2010305	解决混混	巡逻中顺手解决了一个小混混，他哭喊着求饶并发誓不会再犯，因此获得了宝贵的经验！
202031	1	1,7,2	2个7级角色	2020301	2020305	解决混混	巡逻中顺手解决了一个小混混，他哭喊着求饶并发誓不会再犯，因此获得了宝贵的经验！
203031	1	1,13,2	2个13级角色	2030301	2030305	接待粉丝	偶遇粉丝，粉丝热情的与其合影，离开时留下许多礼物！
204031	1	1,16,2	2个16级角色	2040301	2040305	抓捕小贼	抓住了偷手机的小贼，失主十分感激，送出了一份精美的谢礼！
205031	1	1,19,2	2个19级角色	2050301	2050305	寻找父母	帮走失的女孩找到了父母，因此获得了助人为乐的经验！
206031	1	3,1,1	1个1阶觉醒角色	2060301	2060305	解救学生	在小巷救下了被殴打的学生，学生十分感谢，你也获得了角色行为的经验！
207031	1	1,20,3	3个20级角色	2070301	2070305	警戒观望	左顾右盼时一不留神摔倒在地，却意外捡到了一包协会的支援物资！
208031	1	3,2,3	3个2阶觉醒角色	2080301	2080305	商圈巡逻	在巡逻时偶遇甜品店开业大酬宾，获得了一份令人快乐的赠品！
209031	1	1,21,2	2个21级角色	2090301	2090305	追逐罪犯	追逐罪犯来到大厦天台，获得了成功抓捕的经验！
210031	1	1,26,3	3个26级角色	2100301	2100305	配合拍照	在路边偶遇星探，配合拍照后，获得了一笔试镜报酬！
211031	1	1,31,1	1个31级角色	2110301	2110305	帮忙揽客	路过服装店时被店主看中，帮忙揽客后，获得了一笔感谢小费！
212031	1	3,4,3	3个4阶觉醒角色	2120301	2120305	搬运货物	帮助便利店店长，将被刮倒的货物搬运至屋内，获得一箱物资的酬谢！
213031	1	3,5,3	3个5阶觉醒角色	2130301	2130305	解决混混	巡逻中顺手解决了一个小混混，他哭喊着求饶并发誓不会再犯，因此获得了宝贵的经验！
214031	1	1,35,3	3个35级角色	2140301	2140305	偶遇粉丝	偶遇粉丝，粉丝热情的与其合影，离开时留下许多礼物！
215031	1	1,38,3	3个38级角色	2150301	2150305	抓捕小贼	抓住了偷手机的小贼，失主十分感激，送出了一份精美的谢礼！
216031	1	3,7,3	3个完全觉醒角色	2160301	2160305	寻找父母	帮走失的女孩找到了父母，因此获得了助人为乐的经验！
217031	1	1,40,3	3个40级角色	2170301	2170305	解救学生	在小巷救下了被殴打的学生，学生十分感谢，你也获得了角色行为的经验！
218031	1	4,3,3	3个SR品质角色	2180301	2180305	警戒观望	左顾右盼时一不留神摔倒在地，却意外捡到了一包协会的支援物资！
219031	1	1,43,3	3个43级角色	2190301	2190305	商圈巡逻	在巡逻时偶遇甜品店开业大酬宾，获得了一份令人快乐的赠品！
220031	1	1,46,3	3个46级角色	2200301	2200305	追逐罪犯	追逐罪犯来到大厦天台，获得了成功抓捕的经验！
221031	1	1,49,3	3个49级角色	2210301	2210305	配合拍照	在路边偶遇星探，配合拍照后，获得了一笔试镜报酬！
222031	1	1,50,3	3个50级角色	2220301	2220305	帮忙揽客	路过服装店时被店主看中，帮忙揽客后，获得了一笔感谢小费！
223031	1	1,51,3	3个51级角色	2230301	2230305	搬运货物	帮助便利店店长，将被刮倒的货物搬运至屋内，获得一箱物资的酬谢！
224031	1	4,4,2	2个SSR品质角色	2240301	2240305	解决混混	巡逻中顺手解决了一个小混混，他哭喊着求饶并发誓不会再犯，因此获得了宝贵的经验！
225031	1	1,55,2	2个55级角色	2250301	2250305	偶遇粉丝	偶遇粉丝，粉丝热情的与其合影，离开时留下许多礼物！
226031	1	1,56,3	3个56级角色	2260301	2260305	抓捕小贼	抓住了偷手机的小贼，失主十分感激，送出了一份精美的谢礼！
227031	1	1,58,4	4个58级角色	2270301	2270305	寻找父母	帮走失的女孩找到了父母，因此获得了助人为乐的经验！
228031	1	1,60,3	3个60级角色	2280301	2280305	解救学生	在小巷救下了被殴打的学生，学生十分感谢，你也获得了角色行为的经验！
229031	1	4,4,3	3个SSR品质角色	2290301	2290305	警戒观望	左顾右盼时一不留神摔倒在地，却意外捡到了一包协会的支援物资！
230031	1	1,62,3	3个62级角色	2300301	2300305	商圈巡逻	在巡逻时偶遇甜品店开业大酬宾，获得了一份令人快乐的赠品！
231031	1	1,64,3	3个64级角色	2310301	2310305	追逐罪犯	追逐罪犯来到大厦天台，获得了成功抓捕的经验！
232031	1	1,70,3	3个70级角色	2320301	2320305	配合拍照	在路边偶遇星探，配合拍照后，获得了一笔试镜报酬！
233031	1	4,4,4	4个SSR品质角色	2330301	2330305	帮忙揽客	路过服装店时被店主看中，帮忙揽客后，获得了一笔感谢小费！
234031	1	1,72,3	3个72级角色	2340301	2340305	搬运货物	帮助便利店店长，将被刮倒的货物搬运至屋内，获得一箱物资的酬谢！
235031	1	1,74,3	3个74级角色	2350301	2350305	解决混混	巡逻中顺手解决了一个小混混，他哭喊着求饶并发誓不会再犯，因此获得了宝贵的经验！
236031	1	1,76,4	4个76级角色	2360301	2360305	偶遇粉丝	偶遇粉丝，粉丝热情的与其合影，离开时留下许多礼物！
237031	1	1,80,2	2个80级角色	2370301	2370305	抓捕小贼	抓住了偷手机的小贼，失主十分感激，送出了一份精美的谢礼！
238031	1	1,82,2	2个82级角色	2380301	2380305	寻找父母	帮走失的女孩找到了父母，因此获得了助人为乐的经验！
239031	1	1,84,3	3个84级角色	2390301	2390305	解救学生	在小巷救下了被殴打的学生，学生十分感谢，你也获得了角色行为的经验！
240031	1	1,86,3	3个86级角色	2400301	2400305	警戒观望	左顾右盼时一不留神摔倒在地，却意外捡到了一包协会的支援物资！
241031	1	1,88,4	4个88级角色	2410301	2410305	商圈巡逻	在巡逻时偶遇甜品店开业大酬宾，获得了一份令人快乐的赠品！
242031	1	1,90,2	2个90级角色	2420301	2420305	追逐罪犯	追逐罪犯来到大厦天台，获得了成功抓捕的经验！
243031	1	1,92,3	3个92级角色	2430301	2430305	配合拍照	在路边偶遇星探，配合拍照后，获得了一笔试镜报酬！
244031	1	1,94,4	4个94级角色	2440301	2440305	帮忙揽客	路过服装店时被店主看中，帮忙揽客后，获得了一笔感谢小费！
