id	config_name	helpid	speicid	helpid	speicid	name	modelResource	modelResourceScale	modelResourceRadius	animatorResource	switchEffect	idleEffect	headResource	headResource_4	perloadId	endPerformance	selectCollider	battleBornAni	battleBornEffect	battleDeadEffect	battleSkillStartScale	battleSkillStartRoate	battleSkillStartPosition	sSkipCutUp	isHugeBoss	
1000111	埼玉					埼玉	0	1	1	0	 	 	0	0	0	 	0.5,2,1	born_show	 	 	2	-4	-174|-347	1,-200,-80	0
1000125	埼玉_埼玉家（睡衣）	00012	2	0001	2	埼玉	100012000	1	1	700012050	 	 	313000102	321000102	1000111	 	0.5,2,1	born_show	 	 	2	-4	-174|-348	1,-200,-80	0
1000126	埼玉_埼玉家（睡衣）（卤蛋脸）	00012	4	0001	4	埼玉	100014000	1	1	700012050	 	 	313000104	321000104	1000111	 	0.5,2,1	born_show	 	 	2	-4	-174|-349	1,-200,-80	0
1000131	埼玉_卤蛋头-剧情1	00010	3	0001	3	埼玉	100013000	1	1	700010301	 	 	317000001	321000103	1000131	qiyu_story1_win	0.5,2,1	born_show	 	 	2	-4	-174|-350	1,-200,-80	0
1000111	埼玉_认真脸-剧情1	00010	0	0001	0	埼玉	100010000	1	1	700010301	 	 	313000100	321000100	1000131	qiyu_story1_win	0.5,2,1	born_show	 	 	2	-4	-174|-351	1,-200,-80	0
1000132	埼玉_卤蛋头-剧情2	00010	3	0001	3	埼玉	100013000	1	1	700010302	 	 	317000001	321000103	1000131	qiyu_story2_win	0.5,2,1	born_show	 	 	2	-4	-174|-352	1,-200,-80	0
1000161	埼玉卡片_skill1	00011	1	0001	0	认真拳	100011000	1	1	700011040	 	 	313000100	321000101	1000111	qiyu_skill1	0.5,2,1	born_show	 	 	2	-4	-174|-353	1,-200,-80	0
1000162	埼玉卡片_skill2	00011	3	0001	3	普通拳	100013000	1	1	700011040	 	 	317000001	321000103	1000131	qiyu_skill2	0.5,2,1	born_show	 	 	2	-4	-174|-354	1,-200,-80	0
1000163	埼玉卡片_skill3	00011	1	0001	0	连续普通拳	100011000	1	1	700011040	 	 	313000100	321000101	1000111	qiyu_skill3	0.5,2,1	born_show	 	 	2	-4	-174|-355	1,-200,-80	0
1000164	埼玉战斗_埼玉_认真脸_剧情5	00011	1	0001	0	埼玉	100011000	1	1	700011040	 	 	313000100	321000101	1000111	qiyu_story5_win	0.5,2,1	born_show	 	 	2	-4	-174|-355	1,-200,-80	0
