id	heroid	config_name	headResource_S	bgResource	bgResource_0	skillResource	effectResource_1	effectResource_2	color	
1000211	002	杰诺斯·武装	349900002	349910020	349910021	400990002	260000247	260000248	f58b00
1000311	003	战栗的龙卷	349900003	349910030	349910031	400990003	260000249	260000250	00cd7d
1000321	003	战栗的龙卷（魔女）	349900003	349910030	349910031	400990003	260000249	260000250	00cd7d
1000411	004	银色獠牙	349900004	349910040	349910041	400990004	260000251	260000252	00cdb7
1000421	004	银色獠牙	349900004	349910040	349910041	400990004	260000251	260000252	00cdb7
1000511	005	King	349900005	349910050	349910051	400990005	260000245	260000246	c50a00
1000611	006	原子武士	349900006	349910040	349910041	400990006	260000251	260000252	00cdb7
1000711	007	金属骑士	349900007	349910020	349910021	400990007	260000247	260000248	f58b00
1000811	008	金属球棒	349900008	349910050	349910051	400990008	260000245	260000246	c50a00
1000911	009	性感囚犯	349900009	349910090	349910101	400990009	260000243	260000244	f7005d
1000913	009	性感囚犯	349900009	349910090	349910101	400990009	260000243	260000244	f7005d
1001011	010	甜心假面	349900010	349910100	349910101	400990010	260000243	260000244	ff00f6
1003911	039	音速索尼克	349900039	349910390	349910391	400990039	260000253	260000254	bc0bdf
1004211	042	超合金黑光	349900042	349910420	349910421	400990042	260000247	260000248	f58b00
1004511	045	僵尸男	349900045	349910100	349910101	400990045	260000243	260000244	ff00f6
1004711	047	背心尊者	349900047	349910020	349910021	400990047	260000247	260000248	f58b00
1004811	048	闪光弗莱士	349900048	349910480	349910481	400990048	260000251	260000252	aefffc
1004911	049	警犬侠	349900049	349910480	349910481	400990049	260000251	260000252	aefffc
1005011	050	杰诺斯	349900050	349910020	349910021	400990050	260000247	260000248	f58b00
1005021	050	杰诺斯（西装）	349900050	349910020	349910021	400990050	260000247	260000248	f58b00
1006011	060	蚊娘	349900060	349910390	349910391	400990060	260000253	260000254	bc0bdf
1006211	062	阿修罗独角仙	349900062	349910390	349910391	400990062	260000253	260000254	bc0bdf
1006911	069	深海王	349901012	349910030	349910031	400991012	260000249	260000250	00cd7d
1007111	071	疫苗人	349900071	349910390	349910391	400990071	260000253	260000254	bc0bdf
1007311	072	警犬侠	349900072	349910480	349910481	400990072	260000251	260000252	aefffc
