id	des	pointType	para	functionName	
1	启动游戏（点击游戏图标后）	0	 	 
2	LOGO闪屏结束后	0	 	 
9999	热更失败	0	 	 
3	热更资源更新成功后	0	 	 
4	账号登录成功（SDK登录成功）	0	 	 
5	进入游戏	0	 	 
6	序章完成	0	 	 
7	账号登录成功	0	 	LOGIN
8	初始剧情完成	0	 	PRESTORY
9	进入主城（主城加载成功）	0	 	MAINCITY_LOADING
10	主线1剧情加载完成	0	 	MAINSTORY1_LOADING
11	主线第1章完成	1	104	 
12	点击女职员	2	7001	 
13	点击开始	2	7002	 
14	主线1战斗-微笑超人技能	2	7003	 
15	主线1战斗-微笑技能-点击队友	2	7004	 
16	主线1战斗-无证骑士技能	2	7005	 
17	主线1战斗-点击我方	2	7006	 
18	主线1战斗-闪电技能	2	7007	 
19	主线1战斗-闪电技能-点击敌人	2	7008	 
20	主线1战斗-埼玉普攻	2	7009	 
21	主线2战斗-埼玉普攻-点击敌人	2	7010	 
22	主线1完成-结算节点	2	7011	 
23	点击主线领取奖励	2	8001	 
24	抽杰诺斯前剧情对话	2	9001	 
25	点击招募	2	9002	 
26	点击高级页签	2	9003	 
27	点击招募1次	2	9004	 
28	招募英雄	2	9005	 
29	点击确定	2	9006	 
30	点击返回	2	9007	 
31	抽杰诺斯后剧情对话	2	9008	 
32	点击布阵	2	54001	 
33	点击卡牌	2	54002	 
34	点击保存	2	54003	 
35	点击返回	2	54004	 
36	训练战斗前剧情对话	2	55001	 
37	自动进入战斗	2	55002	 
38	点击女职员	2	55003	 
39	点击开始	2	55004	 
40	弹出提示版	2	55005	 
41	第1回合无证骑士普攻	2	55006	 
42	无证骑士普攻-点击敌人	2	55007	 
43	第2回合杰诺斯使用技能	2	55008	 
44	杰诺斯技能-点击敌人	2	55009	 
45	第4回合暂停对话	2	55010	 
46	第4回合暂停点击S技能	2	55011	 
47	选择杰诺斯S技能	2	55012	 
48	选择目标	2	55013	 
49	出现结算	2	55014	 
50	十连抽前剧情对话	2	56001	 
51	点击招募	2	56002	 
52	点击高级页签	2	56003	 
53	点击招募10次	2	56004	 
54	招募英雄	2	56005	 
55	点击确定	2	56006	 
56	点击返回	2	56007	 
57	进阶前剧情对话	2	57001	 
58	点击英雄列表	2	57002	 
59	点击杰诺斯	2	57003	 
60	点击进阶页	2	57004	 
61	点击进阶	2	57005	 
62	进阶成功	2	57006	 
63	升技能前剧情对话	2	57007	 
64	点击技能	2	57008	 
65	点击蓄力焚烧弹	2	57009	 
66	点击升级	2	57010	 
67	点击返回	2	57011	 
68	点击返回	2	57012	 
69	升技能后剧情对话	2	57013	 
70	点击作战	2	58001	 
71	点击异闻调查	2	58002	 
72	点击1-1	2	58003	 
73	点击调查	2	58004	 
74	备战前剧情对话	2	58005	 
75	点击备战	2	58006	 
76	点击卡牌	2	58007	 
77	点击卡牌	2	58008	 
78	开始挑战	2	58009	 
79	点击异闻调查	2	59001	 
80	点击1-1	2	59002	 
81	点击调查	2	59003	 
82	第1回合暂停对话	2	59004	 
83	第1回合无证骑士给杰诺斯加BONUS	2	59005	 
84	第1回合选择我方	2	59006	 
85	第2回合丧服吊带使用技能	2	59007	 
86	丧服吊带技能-点击敌人	2	59008	 
87	第3回合十字键使用技能	2	59009	 
88	十字键技能-点击敌人	2	59010	 
89	第4回合暂停对话	2	59011	 
90	第4回合杰诺斯使用技能	2	59012	 
91	杰诺斯技能-点击敌人	2	59013	 
92	第6回合暂停对话	2	59014	 
93	第6回合暂停点击S技能	2	59015	 
94	选择杰诺斯S技能	2	59016	 
95	选择目标	2	59017	 
96	出现结算	2	59018	 
97	点击作战	2	60001	 
98	点击异闻调查	2	60002	 
99	点击1-1	2	60003	 
100	点击调查	2	60004	 
101	点击开战	2	60005	 
102	第1回合暂停对话	2	60006	 
103	第1回合无证骑士给杰诺斯加BONUS	2	60007	 
104	第1回合选择我方	2	60008	 
105	第2回合丧服吊带使用技能	2	60009	 
106	丧服吊带技能-点击敌人	2	60010	 
107	第3回合十字键使用技能	2	60011	 
