id	type	description	skillDescription	attrType	attrNum	upgradeAdd	name	pos	quality	sequence	skillId	extraSkillId	
501	1	主属性--攻击加成+33_通用_位置0_橙	技能--暂无技能	9	33	11	通用	0	橙	1	0	0
401	1	主属性--攻击加成+29_通用_位置0_紫	技能--暂无技能	9	29	10	通用	0	紫	1	0	0
301	1	主属性--攻击加成+21_通用_位置0_蓝	技能--暂无技能	9	21	7	通用	0	蓝	1	0	0
201	1	主属性--攻击加成+15_通用_位置0_绿	技能--暂无技能	9	15	5	通用	0	绿	1	0	0
101	1	主属性--攻击加成+11_通用_位置0_白	技能--暂无技能	9	11	4	通用	0	白	1	0	0
502	1	主属性--攻击+96_通用_位置0_橙	技能--暂无技能	10	96	30	通用	0	橙	2	0	0
402	1	主属性--攻击+82_通用_位置0_紫	技能--暂无技能	10	82	26	通用	0	紫	2	0	0
302	1	主属性--攻击+58_通用_位置0_蓝	技能--暂无技能	10	58	19	通用	0	蓝	2	0	0
202	1	主属性--攻击+41_通用_位置0_绿	技能--暂无技能	10	41	14	通用	0	绿	2	0	0
102	1	主属性--攻击+29_通用_位置0_白	技能--暂无技能	10	29	10	通用	0	白	2	0	0
503	1	主属性--暴击+25_通用_位置0_橙	技能--暂无技能	18	25	9	通用	0	橙	3	0	0
403	1	主属性--暴击+22_通用_位置0_紫	技能--暂无技能	18	22	8	通用	0	紫	3	0	0
303	1	主属性--暴击+16_通用_位置0_蓝	技能--暂无技能	18	16	6	通用	0	蓝	3	0	0
203	1	主属性--暴击+12_通用_位置0_绿	技能--暂无技能	18	12	5	通用	0	绿	3	0	0
103	1	主属性--暴击+9_通用_位置0_白	技能--暂无技能	18	9	4	通用	0	白	3	0	0
504	1	主属性--暴伤+105_通用_位置0_橙	技能--暂无技能	23	105	32	通用	0	橙	4	0	0
404	1	主属性--暴伤+90_通用_位置0_紫	技能--暂无技能	23	90	28	通用	0	紫	4	0	0
304	1	主属性--暴伤+63_通用_位置0_蓝	技能--暂无技能	23	63	20	通用	0	蓝	4	0	0
204	1	主属性--暴伤+45_通用_位置0_绿	技能--暂无技能	23	45	14	通用	0	绿	4	0	0
104	1	主属性--暴伤+32_通用_位置0_白	技能--暂无技能	23	32	10	通用	0	白	4	0	0
505	1	主属性--生命+1044_通用_位置0_橙	技能--暂无技能	5	1044	294	通用	0	橙	5	0	0
405	1	主属性--生命+888_通用_位置0_紫	技能--暂无技能	5	888	250	通用	0	紫	5	0	0
305	1	主属性--生命+622_通用_位置0_蓝	技能--暂无技能	5	622	175	通用	0	蓝	5	0	0
205	1	主属性--生命+436_通用_位置0_绿	技能--暂无技能	5	436	123	通用	0	绿	5	0	0
105	1	主属性--生命+306_通用_位置0_白	技能--暂无技能	5	306	87	通用	0	白	5	0	0
506	1	主属性--生命加成+53_通用_位置0_橙	技能--暂无技能	4	53	17	通用	0	橙	6	0	0
406	1	主属性--生命加成+46_通用_位置0_紫	技能--暂无技能	4	46	15	通用	0	紫	6	0	0
306	1	主属性--生命加成+33_通用_位置0_蓝	技能--暂无技能	4	33	11	通用	0	蓝	6	0	0
206	1	主属性--生命加成+24_通用_位置0_绿	技能--暂无技能	4	24	8	通用	0	绿	6	0	0
106	1	主属性--生命加成+17_通用_位置0_白	技能--暂无技能	4	17	6	通用	0	白	6	0	0
507	1	主属性--防御+102_通用_位置0_橙	技能--暂无技能	15	102	32	通用	0	橙	7	0	0
407	1	主属性--防御+87_通用_位置0_紫	技能--暂无技能	15	87	28	通用	0	紫	7	0	0
307	1	主属性--防御+61_通用_位置0_蓝	技能--暂无技能	15	61	20	通用	0	蓝	7	0	0
207	1	主属性--防御+43_通用_位置0_绿	技能--暂无技能	15	43	14	通用	0	绿	7	0	0
107	1	主属性--防御+31_通用_位置0_白	技能--暂无技能	15	31	10	通用	0	白	7	0	0
508	1	主属性--防御加成+48_通用_位置0_橙	技能--暂无技能	14	48	15	通用	0	橙	8	0	0
408	1	主属性--防御加成+41_通用_位置0_紫	技能--暂无技能	14	41	13	通用	0	紫	8	0	0
308	1	主属性--防御加成+29_通用_位置0_蓝	技能--暂无技能	14	29	10	通用	0	蓝	8	0	0
208	1	主属性--防御加成+21_通用_位置0_绿	技能--暂无技能	14	21	7	通用	0	绿	8	0	0
108	1	主属性--防御加成+15_通用_位置0_白	技能--暂无技能	14	15	5	通用	0	白	8	0	0
