attrType	function	filterDes	isFilter	color	isPercent	subAttrId	
1	HP 	 	0	0	0	
2	HP_PER 	 	0	0	1	
3	MAX_HP 	 	0	4	0	
4	MAX_HP_PER 	生命加成	1	4	1	5,1506|4,1406|3,1306|2,1206|1,1106
5	MAX_HP_TOT 	生命	1	4	0	5,1505|4,1405|3,1305|2,1205|1,1105
6	MAX_HP_TOT_PER 	 	0	4	1	
7	MAX_HP_FIN 	 	0	4	0	
8	ATK	 	0	1	0	
9	ATK_PER 	攻击加成	1	1	1	5,1501|4,1401|3,1301|2,1201|1,1101
10	ATK_TOT 	攻击	1	1	0	5,1502|4,1402|3,1302|2,1202|1,1102
11	ATK_TOT_PER 	 	0	1	1	
12	ATK_FIN 	 	0	1	0	
13	DEF 	 	0	2	0	
14	DEF_PER 	防御加成	1	2	1	5,1508|4,1408|3,1308|2,1208|1,1108
15	DEF_TOT 	防御	1	2	0	5,1507|4,1407|3,1307|2,1207|1,1107
16	DEF_TOT_PER 	 	0	2	1	
17	DEF_FIN 	 	0	2	0	
18	CRIT 	暴击	1	5	1	5,1503|4,1403|3,1303|2,1203|1,1103
19	CRIT_PER 	 	0	5	1	
20	CRIT_TOT 	 	0	5	1	
21	CRIT_TOT_PER 	 	0	5	1	
22	CRIT_FIN 	 	0	5	0	
23	CRIT_COE 	暴伤	1	5	1	5,1504|4,1404|3,1304|2,1204|1,1104
24	CRIT_COE_PER 	 	0	5	1	
25	CRIT_COE_TOT 	 	0	5	1	
26	CRIT_COE_TOT_PER 	 	0	5	1	
27	CRIT_COE_FIN 	 	0	5	0	
28	HIT 	命中	1	3	1	5,1510|4,1410|3,1310|2,1210|1,1110
29	HIT_PER 	 	0	3	1	
30	HIT_TOT 	 	0	3	0	
31	HIT_TOT_PER 	 	0	3	1	
32	HIT_FIN 	 	0	3	0	
33	DODGE 	抵抗	1	3	1	5,1511|4,1411|3,1311|2,1211|1,1111
34	DODGE_PER 	 	0	3	1	
35	DODGE_TOT 	 	0	3	0	
36	DODGE_TOT_PER 	 	0	3	1	
37	DODGE_FIN 	 	0	3	0	
38	SPEED 	 	0	2	0	
39	SPEED_PER 	 	0	2	1	
40	SPEED_TOT 	速度	1	2	0	5,1509|4,1409|3,1309|2,1209|1,1109
41	SPEED_TOT_PER 	 	0	2	1	
42	SPEED_FIN 	 	0	2	0	
43	ANTI_CRIT 	 	0	0	1	
44	ANTI_CRIT_PER 	 	0	0	1	
45	ANTI_CRIT_TOT 	 	0	0	1	
46	ANTI_CRIT_TOT_PER 	 	0	0	1	
47	ANTI_CRIT_FIN 	 	0	0	0	
48	ANTI_CRIT_COE 	 	0	0	1	
49	ANTI_CRIT_COE_PER 	 	0	0	1	
50	ANTI_CRIT_COE_TOT 	 	0	0	1	
51	ANTI_CRIT_COE_TOT_PER 	 	0	0	1	
52	ANTI_CRIT_COE_FIN 	 	0	0	0	
53	ANTI_DEF 	 	0	0	1	
54	ANTI_DEF_PER 	 	0	0	1	
55	ANTI_DEF_TOT 	 	0	0	1	
56	ANTI_DEF_TOT_PER 	 	0	0	1	
57	ANTI_DEF_FIN 	 	0	0	0	
58	BE_DAMAGE_SP_COE 	 	0	0	0	
59	SP_COE	 	0	0	0	 
60	SP_COE_PER 	 	0	0	0	 
61	SP_COE_TOT	回能	1	0	0	5,1512|4,1412|3,1312|2,1212|1,1112
62	SP_COE_TOT_PER	 	0	0	0	 
63	SP_COE_FIN	 	0	0	0	 
