id	description	quality	lv1	lv2	lv3	lv4	lv5	lv6	lv7	lv8	lv9	lv10	lv11	lv12	lv13	lv14	lv15	
4101100	主核：幸运	1	10	15	20	0	0	0	0	0	0	0	0	0	0	0	0
4101200	主核：幸运	2	11	17	23	29	35	41	0	0	0	0	0	0	0	0	0
4101300	主核：幸运	3	12	22	32	42	52	62	72	82	92	0	0	0	0	0	0
4101400	主核：幸运	4	13	28	43	58	73	88	103	118	133	148	163	178	0	0	0
4101500	主核：幸运	5	14	44	74	104	134	164	194	224	254	284	314	344	374	404	434
4102100	主核：聚能	1	10	15	20	0	0	0	0	0	0	0	0	0	0	0	0
4102200	主核：聚能	2	11	17	23	29	35	41	0	0	0	0	0	0	0	0	0
4102300	主核：聚能	3	12	22	32	42	52	62	72	82	92	0	0	0	0	0	0
4102400	主核：聚能	4	13	28	43	58	73	88	103	118	133	148	163	178	0	0	0
4102500	主核：聚能	5	14	44	74	104	134	164	194	224	254	284	314	344	374	404	434
4103100	主核：窃夺	1	10	15	20	0	0	0	0	0	0	0	0	0	0	0	0
4103200	主核：窃夺	2	11	17	23	29	35	41	0	0	0	0	0	0	0	0	0
4103300	主核：窃夺	3	12	22	32	42	52	62	72	82	92	0	0	0	0	0	0
4103400	主核：窃夺	4	13	28	43	58	73	88	103	118	133	148	163	178	0	0	0
4103500	主核：窃夺	5	14	44	74	104	134	164	194	224	254	284	314	344	374	404	434
4104100	主核：先制	1	10	15	20	0	0	0	0	0	0	0	0	0	0	0	0
4104200	主核：先制	2	11	17	23	29	35	41	0	0	0	0	0	0	0	0	0
4104300	主核：先制	3	12	22	32	42	52	62	72	82	92	0	0	0	0	0	0
4104400	主核：先制	4	13	28	43	58	73	88	103	118	133	148	163	178	0	0	0
4104500	主核：先制	5	14	44	74	104	134	164	194	224	254	284	314	344	374	404	434
4105100	主核：共振	1	10	15	20	0	0	0	0	0	0	0	0	0	0	0	0
4105200	主核：共振	2	11	17	23	29	35	41	0	0	0	0	0	0	0	0	0
4105300	主核：共振	3	12	22	32	42	52	62	72	82	92	0	0	0	0	0	0
4105400	主核：共振	4	13	28	43	58	73	88	103	118	133	148	163	178	0	0	0
4105500	主核：共振	5	14	44	74	104	134	164	194	224	254	284	314	344	374	404	434
4106100	主核：终结	1	10	15	20	0	0	0	0	0	0	0	0	0	0	0	0
4106200	主核：终结	2	11	17	23	29	35	41	0	0	0	0	0	0	0	0	0
4106300	主核：终结	3	12	22	32	42	52	62	72	82	92	0	0	0	0	0	0
4106400	主核：终结	4	13	28	43	58	73	88	103	118	133	148	163	178	0	0	0
4106500	主核：终结	5	14	44	74	104	134	164	194	224	254	284	314	344	374	404	434
4107100	主核：破甲	1	10	15	20	0	0	0	0	0	0	0	0	0	0	0	0
4107200	主核：破甲	2	11	17	23	29	35	41	0	0	0	0	0	0	0	0	0
4107300	主核：破甲	3	12	22	32	42	52	62	72	82	92	0	0	0	0	0	0
4107400	主核：破甲	4	13	28	43	58	73	88	103	118	133	148	163	178	0	0	0
4107500	主核：破甲	5	14	44	74	104	134	164	194	224	254	284	314	344	374	404	434
4108100	主核：坚韧	1	10	15	20	0	0	0	0	0	0	0	0	0	0	0	0
4108200	主核：坚韧	2	11	17	23	29	35	41	0	0	0	0	0	0	0	0	0
4108300	主核：坚韧	3	12	22	32	42	52	62	72	82	92	0	0	0	0	0	0
4108400	主核：坚韧	4	13	28	43	58	73	88	103	118	133	148	163	178	0	0	0
4108500	主核：坚韧	5	14	44	74	104	134	164	194	224	254	284	314	344	374	404	434
4109100	主核：钢骨	1	10	15	20	0	0	0	0	0	0	0	0	0	0	0	0
4109200	主核：钢骨	2	11	17	23	29	35	41	0	0	0	0	0	0	0	0	0
4109300	主核：钢骨	3	12	22	32	42	52	62	72	82	92	0	0	0	0	0	0
4109400	主核：钢骨	4	13	28	43	58	73	88	103	118	133	148	163	178	0	0	0
4109500	主核：钢骨	5	14	44	74	104	134	164	194	224	254	284	314	344	374	404	434
4110100	主核：不屈	1	10	15	20	0	0	0	0	0	0	0	0	0	0	0	0
4110200	主核：不屈	2	11	17	23	29	35	41	0	0	0	0	0	0	0	0	0
4110300	主核：不屈	3	12	22	32	42	52	62	72	82	92	0	0	0	0	0	0
4110400	主核：不屈	4	13	28	43	58	73	88	103	118	133	148	163	178	0	0	0
