id	description	type	school	grade	sequence	pos	suitIds	mainAttrPoolId	subAttrPoolId	subAttrUpgradePoolId	upgradeType	decomposeGold	decomposeDG	quality	lightAttrPoolId	
4101100	主核：幸运	4	1	1	100	0	1	1000	0	21000	1	3000	0	1	0
4101200	主核：幸运	4	1	1	200	0	1	2000	0	22000	2	3500	0	2	0
4101300	主核：幸运	4	1	1	300	0	1	3000	0	23000	3	4000	0	3	0
4101400	主核：幸运	4	1	1	400	0	1	4000	0	24000	4	4500	0	4	0
4101500	主核：幸运	4	1	1	500	0	1	5000	0	25000	5	5000	0	5	0
4102100	主核：聚能	4	1	2	100	0	2	1000	0	21000	1	3000	0	1	0
4102200	主核：聚能	4	1	2	200	0	2	2000	0	22000	2	3500	0	2	0
4102300	主核：聚能	4	1	2	300	0	2	3000	0	23000	3	4000	0	3	0
4102400	主核：聚能	4	1	2	400	0	2	4000	0	24000	4	4500	0	4	0
4102500	主核：聚能	4	1	2	500	0	2	5000	0	25000	5	5000	0	5	0
4103100	主核：窃夺	4	1	3	100	0	3	1000	0	21000	1	3000	0	1	0
4103200	主核：窃夺	4	1	3	200	0	3	2000	0	22000	2	3500	0	2	0
4103300	主核：窃夺	4	1	3	300	0	3	3000	0	23000	3	4000	0	3	0
4103400	主核：窃夺	4	1	3	400	0	3	4000	0	24000	4	4500	0	4	0
4103500	主核：窃夺	4	1	3	500	0	3	5000	0	25000	5	5000	0	5	0
4104100	主核：先制	4	1	4	100	0	4	1000	0	21000	1	3000	0	1	0
4104200	主核：先制	4	1	4	200	0	4	2000	0	22000	2	3500	0	2	0
4104300	主核：先制	4	1	4	300	0	4	3000	0	23000	3	4000	0	3	0
4104400	主核：先制	4	1	4	400	0	4	4000	0	24000	4	4500	0	4	0
4104500	主核：先制	4	1	4	500	0	4	5000	0	25000	5	5000	0	5	0
4105100	主核：共振	4	1	5	100	0	5	1000	0	21000	1	3000	0	1	0
