upgradeType	level	exp	eatExp	consumeGold	newSubAttrProb	upgrageGold	
1	1	300	100	500	0	3000
1	2	600	360	1800	0	6000
1	3	0	850	4250	100	0
2	1	330	200	1000	0	3300
2	2	720	477	2385	0	7200
2	3	936	1087	5435	100	9360
2	4	1310	1836	9180	0	13100
2	5	1965	2831	14155	0	19650
2	6	0	4259	21295	100	0
3	1	429	300	1500	0	4290
3	2	864	656	3280	0	8640
3	3	1076	1417	7085	100	10760
3	4	1291	2348	11740	0	12910
3	5	1549	3445	17225	0	15490
3	6	1858	4737	23685	100	18580
3	7	2229	6261	31305	0	22290
3	8	2674	8060	40300	0	26740
3	9	0	10184	50920	100	0
4	1	707	450	2250	0	8484
4	2	877	1041	5205	0	10524
4	3	1105	1810	9050	100	13260
4	4	1416	2762	13810	0	16992
4	5	1841	3962	19810	0	22092
4	6	2430	5500	27500	100	29160
4	7	3257	7502	37510	0	39084
4	8	4429	10149	50745	0	53148
4	9	6115	13704	68520	100	73380
4	10	8560	18554	92770	0	102720
4	11	12158	25261	126305	0	145896
4	12	0	34676	173380	100	0
5	1	1364	900	4500	0	20460
5	2	1705	2037	10185	0	25575
5	3	2388	3552	17760	100	35820
5	4	3411	5657	28285	0	51165
5	5	4776	8644	43220	0	71640
5	6	6482	12798	63990	100	97230
5	7	8529	18397	91985	0	127935
5	8	10917	25712	128560	0	163755
5	9	13647	35008	175040	100	204705
5	10	16717	46542	232710	0	250755
5	11	20129	60564	302820	0	301935
5	12	23200	77320	386600	100	348000
5	13	25929	96469	482345	0	388935
5	14	28318	117678	588390	0	424770
5	15	0	140624	703120	100	0
