id	grade	school	group	des	poolOneLevel	poolOne	poolTwoLevel	poolTwo	poolThreeLevel	poolThree	poolFourLevel	poolFour	poolFiveLevel	poolFive	poolSixLevel	poolSix	poolSevenLevel	poolSeven	poolEightLevel	poolEight	
10101	1	1	1	1阶1号商店位置1	1,30	10101001,10|10101002,10|10101003,10|10101004,10|10101005,10	31,40	10101101,10|10101102,10|10101103,10|10101104,10|10101105,10	41,80	10101201,10|10101202,10|10101203,10|10101204,10|10101205,10	 	 	 	 	 	 	 	 	 	 
10102	1	1	2	1阶1号商店位置2	1,30	10102001,10|10102002,10|10102003,10	31,40	10102001,10|10102002,10|10102003,10	41,80	10102001,10|10102002,10|10102003,10	 	 	 	 	 	 	 	 	 	 
10103	1	1	3	1阶1号商店位置3	1,30	10103001,10|10103002,10|10103003,10|10103004,10|10103005,10	31,40	10103101,10|10103102,10|10103103,10|10103104,10|10103105,10	41,80	10103201,10|10103202,10|10103203,10|10103204,10|10103205,10	 	 	 	 	 	 	 	 	 	 
10104	1	1	4	1阶1号商店位置4	1,30	10104001,10|10104002,10|10104003,10|10104004,10|10104005,10	31,40	10104101,10|10104102,10|10104103,10|10104104,10|10104105,10	41,80	10104201,10|10104202,10|10104203,10|10104204,10|10104205,10	 	 	 	 	 	 	 	 	 	 
10105	1	1	5	1阶1号商店位置5	1,26	10105001,10|10105002,10|10105003,10|10105004,10|10105005,10	27,34	10105101,10|10105102,10|10105103,10|10105104,10|10105105,10	35,39	10105201,10|10105202,10|10105203,10|10105204,10|10105205,10	40,44	10105301,10|10105302,10|10105303,10|10105304,10|10105305,10	45,49	10105401,10|10105402,10|10105403,10|10105404,10|10105405,10	50,54	10105501,10|10105502,10|10105503,10|10105504,10|10105505,10	55,999	10105601,10|10105602,10|10105603,10|10105604,10|10105605,10	 	 
10106	1	1	6	1阶1号商店位置6	1,30	10106001,10|10106002,10|10106003,10|10106004,10|10106005,10|10106006,10|10106007,10|10106008,10|10106009,10|10106010,10|10106011,10|10106012,10|10106013,10|10106014,10|10106015,10	31,40	10106101,10|10106102,10|10106103,10|10106104,10|10106105,10|10106106,10|10106107,10|10106108,10|10106109,10|10106110,10|10106111,10|10106112,10|10106113,10|10106114,10|10106115,10	41,80	10106201,10|10106202,10|10106203,10|10106204,10|10106205,10|10106206,10|10106207,10|10106208,10|10106209,10|10106210,10|10106211,10|10106212,10|10106213,10|10106214,10|10106215,10	 	 	 	 	 	 	 	 	 	 
10107	1	1	7	1阶1号商店位置7	1,30	10107001,10|10107002,10|10107003,10	31,40	10107001,10|10107002,10|10107003,10	41,80	10107001,10|10107002,10|10107003,10	 	 	 	 	 	 	 	 	 	 
10108	1	1	8	1阶1号商店位置8	1,30	10108001,10|10108002,10|10108003,10|10108004,10|10108005,10|10108006,10|10108007,10|10108008,10|10108009,10|10108010,10|10108011,10|10108012,10|10108013,10|10108014,10|10108015,10|10108016,10|10108017,10	31,40	10108101,10|10108102,10|10108103,10|10108104,10|10108105,10|10108106,10|10108107,10|10108108,10|10108109,10|10108110,10|10108111,10|10108112,10|10108113,10|10108114,10|10108115,10|10108116,10|10108117,10	41,80	10108201,10|10108202,10|10108203,10|10108204,10|10108205,10|10108206,10|10108207,10|10108208,10|10108209,10|10108210,10|10108211,10|10108212,10|10108213,10|10108214,10|10108215,10|10108216,10|10108217,10	 	 	 	 	 	 	 	 	 	 
10201	1	2	1	1阶2号商店位置1	1,30	10201001,10|10201002,10|10201003,10|10201004,10|10201005,10|10201006,10|10201007,10|10201008,10	31,36	10201301,10|10201302,10|10201303,10|10201304,10|10201305,10|10201306,10|10201307,10|10201308,10	37,80	10201601,10|10201602,10|10201603,10|10201604,10|10201605,10|10201606,10|10201607,10|10201608,10	 	 	 	 	 	 	 	 	 	 
10202	1	2	2	1阶2号商店位置2	1,30	10202001,10|10202002,10|10202003,10|10202004,10|10202005,10|10202006,10|10202007,10|10202008,10	31,36	10202301,10|10202302,10|10202303,10|10202304,10|10202305,10|10202306,10|10202307,10|10202308,10	37,80	10202601,10|10202602,10|10202603,10|10202604,10|10202605,10|10202606,10|10202607,10|10202608,10	 	 	 	 	 	 	 	 	 	 
