id	type	beizhu	para	startDialog	rightDialog	wrongDialog	dropSuccess	dropFail	basicMail	
101	1	火男面1	101	story_dialog_lianluo_9_X	 	 	52101	52102	101
102	1	火男面2	102	story_dialog_lianluo_9_X	 	 	52101	52102	101
103	1	火男面3	103	story_dialog_lianluo_9_X	 	 	52101	52102	101
104	1	火男面4	104	story_dialog_lianluo_9_X	 	 	52101	52102	101
105	1	火男面5	105	story_dialog_lianluo_9_X	 	 	52101	52102	102
106	1	火男面6	106	story_dialog_lianluo_9_X	 	 	52101	52102	102
107	1	火男面7	107	story_dialog_lianluo_9_X	 	 	52101	52102	102
108	1	火男面8	108	story_dialog_lianluo_9_X	 	 	52101	52102	102
109	1	火男面9	109	story_dialog_lianluo_9_X	 	 	52101	52102	102
110	1	火男面10	110	story_dialog_lianluo_9_X	 	 	52101	52102	102
201	1	斯内克1	201	story_dialog_lianluo_10_X	 	 	52201	52202	102
202	1	斯内克2	202	story_dialog_lianluo_10_X	 	 	52201	52202	102
203	1	斯内克3	203	story_dialog_lianluo_10_X	 	 	52201	52202	102
204	1	斯内克4	204	story_dialog_lianluo_10_X	 	 	52201	52202	102
205	1	斯内克5	205	story_dialog_lianluo_10_X	 	 	52201	52202	102
206	1	斯内克6	206	story_dialog_lianluo_10_X	 	 	52201	52202	102
207	1	斯内克7	207	story_dialog_lianluo_10_X	 	 	52201	52202	102
208	1	斯内克8	208	story_dialog_lianluo_10_X	 	 	52201	52202	102
209	1	斯内克9	209	story_dialog_lianluo_10_X	 	 	52201	52202	102
210	1	斯内克10	210	story_dialog_lianluo_10_X	 	 	52201	52202	102
301	1	地狱的吹雪1	301	story_dialog_lianluo_11_X	 	 	52301	52302	102
302	1	地狱的吹雪2	302	story_dialog_lianluo_11_X	 	 	52301	52302	102
303	1	地狱的吹雪3	303	story_dialog_lianluo_11_X	 	 	52301	52302	102
304	1	地狱的吹雪4	304	story_dialog_lianluo_11_X	 	 	52301	52302	102
305	1	地狱的吹雪5	305	story_dialog_lianluo_11_X	 	 	52301	52302	102
306	1	地狱的吹雪6	306	story_dialog_lianluo_11_X	 	 	52301	52302	102
307	1	地狱的吹雪7	307	story_dialog_lianluo_11_X	 	 	52301	52302	102
308	1	地狱的吹雪8	308	story_dialog_lianluo_11_X	 	 	52301	52302	102
