id	name	resource	tag	
1	杰诺斯(武装)	313000200	2
2	战栗的龙卷	313000300	3
3	金属球棒	313000800	2
4	甜心假面	313001000	3
5	闪电麦克斯	313001100	2
6	居合庵	313001200	3
7	毒刺	313001300	2
8	黄金球	313001400	3
9	弹簧胡子	313001500	2
10	青焰	313001700	3
11	微笑超人	313001900	2
12	钉锤头	313004000	3
13	银色獠牙	313000400	2
14	性感囚犯	313000900	3
15	斯奈克	313001600	2
16	地狱的吹雪	313002100	3
17	背心黑洞	313002300	2
18	三节棍莉莉	313002600	3
19	背心猛虎	313002900	2
20	音速索尼克	313003900	3
21	茶岚子	313004100	2
22	无证骑士	313002800	3
23	原子武士	313000600	2
24	King	313000500	3
25	大背头男	313003000	2
26	嗡嗡侠	313003100	3
27	蘑菇	313002700	2
28	火男面	313003800	3
29	金属骑士	313000700	2
30	雷光源氏	313001800	3
31	重型金刚	313002000	2
32	喷射好小子	313002200	3
33	睫毛	313002400	2
34	山猿	313002500	3
35	电池侠	313003300	2
36	臭鼬男孩防毒面具	313003600	3
37	十字键	313003200	2
38	丧服吊带裤	313003500	3
39	装甲股长	313003400	2
40	乌马洪	313003700	3
41	杰诺斯	313005000	2
42	现世地底王(旧）	313100400	1,2
43	地底人(旧）	313102100	1,2
44	地底人_2(旧）	313104200	1,2
45	钉锤头(旧）	313004000	1,2
46	钉锤头小弟(旧）	313102200	1,2
47	深海王(旧）	313101200	1,2
48	深海王小弟(旧）	313102300	1,2
49	深海王小弟2(旧）	313102400	1,2
50	天空王(旧）	313101400	1,2
51	天空王小弟(旧）	313102500	1
52	螳螂男(旧）	313100600	1
53	青蛙(旧）	313102000	1
54	土龙(旧）	313100700	1
55	蛞蝓(旧）	313101900	1
56	蚊子女1阶(旧）	313100500	1
57	蚊子怪(旧）	313103500	1
58	蚊子女2阶(旧）	313103400	1
59	疫苗人(旧）	313100100	1
60	疫苗人二阶(旧）	313103600	1
