id	beizhu	question	type	answer1	answer2	answer3	rightAnswer	
101	火男面1	英雄协会赋予埼玉的称号是什么？	1	秃头披风侠	披风侠	秃头超人	1
102	火男面2	银色獠牙开创的武术流派叫什么？	1	旋风斩铁拳	流水岩碎拳	轰气空裂拳	2
103	火男面3	灾害等级由高到低，以下排列正确的是：	1	神龙鬼虎狼	鬼龙神虎狼	神鬼龙虎狼	1
104	火男面4	龙卷小姐的全称是？	1	地狱的龙卷	吹雪的龙卷	战栗的龙卷	3
105	火男面5	下列哪个是“吹雪组”的成员？	1	微笑超人	丧服吊带裤	山猿	3
106	火男面6	截止到宇宙暗物质海贼团来袭，S级共有多少名英雄？	1	17	16	15	1
107	火男面7	原子武士的徒弟不包括：	1	雷光源氏	居合庵	武士钻	1
108	火男面8	埼玉打倒的第一只怪人是？	1	疫苗人	螃蟹怪人	地底人	2
109	火男面9	杰诺斯将谁称作老师？	1	埼玉	库斯诺	原子武士	1
110	火男面10	钉锤头为什么要做坏事？	1	寻找刺激	不想工作	兴趣使然	2
201	斯内克1	英雄协会赋予邦古的称号是什么？	1	银牙拳师	银色獠牙	流水之拳	2
202	斯内克2	英雄协会赋予杰诺斯的称号是什么？	1	魔鬼改造人	武装改造人	生化机器人	1
203	斯内克3	进化之家的创办者是？	1	杰诺斯博士	基诺斯博士	库斯诺博士	2
204	斯内克4	无证骑士的座驾是？	1	自行车	电瓶车	越野车	1
205	斯内克5	钉锤头创立的组织叫什么？	1	桃源团	钉锤团	光头党	1
206	斯内克6	英雄级别从高到低，以下排列正确的是：	1	CBAS	SABC	ABCD	2
207	斯内克7	以下不是英雄的是：	1	音速索尼克	乌马洪	蘑菇	1
208	斯内克8	以下哪个是S级英雄？	1	黄金球	金属球棒	甜心假面	2
209	斯内克9	英雄考试分为哪两部分？	1	笔试和体能	战斗和笔试	体能和战斗	1
210	斯内克10	陨石事件引发了怎样的灾害？	1	Z市毁灭	Z市被怪人占领	未造成灾害	1
