id	name	type	classify	para	star	showId	price	note	rewardId	rewardNum	friendNum	critRewardNum	critFriendNum	exRewardNum	exFriendNum	qteRewardNum	qteFriendNum	
1350001	米	1	1	0	5	5	1000	+20	1120005	20	40	6	12	4	8	0,2,4	0,4,8
1350002	蛋	1	2	0	5	10	600	+500	1120004	500	40	150	12	100	8	70,90,100	4,6,8
1350003	面	1	3	0	5	15	800	+40	1120006	40	40	12	12	8	8	4,6,8	4,6,8
1350004	土豆	1	4	0	5	20	480	+5万	1120002	50000	40	15000	12	10000	8	5000,8000,10000	4,6,8
1350011	普通的鱼	1	5	0	5	25	300	+30万	1120001	300000	40	90000	12	60000	8	30000,40000,60000	4,6,8
1350012	高级的鱼	1	7	0	5	30	800	+40	1120006	40	40	12	12	8	8	4,6,8	4,6,8
1350013	极上的鱼	1	9	0	5	35	480	+5万	1120002	50000	40	15000	12	10000	8	5000,8000,10000	4,6,8
1350021	普通的肉	1	6	0	5	40	300	+30万	1120001	300000	40	90000	12	60000	8	30000,40000,60000	4,6,8
1350022	高级的肉	1	8	0	5	45	480	+5万	1120002	50000	40	15000	12	10000	8	5000,8000,10000	4,6,8
1350023	极上的肉	1	10	0	5	50	300	+30万	1120001	300000	40	90000	12	60000	8	30000,40000,60000	4,6,8
1360101	盐	2	1	15	5	1	0	盐	0	0	0	0	0	0	0	0,0,0	0,0,0
1360102	芥末	2	2	15	5	2	0	芥末	0	0	0	0	0	0	0	0,0,0	0,0,0
1360103	味增	2	3	15	5	3	0	味增	0	0	0	0	0	0	0	0,0,0	0,0,0
