id	stage	Days	rewardShow	drop	rechargShow	rewardsfree	rewardsfinally	finallydrop	RechargeShop	
1	1	1	20000055	20000055	20000055	20000054	0	0	20049
2	1	2	20000056	20000056	20000056	20000054	0	0	20050
3	1	3	20000057	20000057	20000057	20000054	0	0	20051
4	1	4	20000058	20000058	20000058	20000054	0	0	20052
5	1	5	20000059	20000059	20000059	20000054	0	0	20053
6	1	6	20000331	20000331	20000331	20000054	0	0	20105
7	1	7	20000332	20000332	20000332	20000054	20000060	20000060	20106
8	2	8	20000495	20000495	20000495	20000054	0	0	20049
9	2	9	20000496	20000496	20000496	20000054	0	0	20050
10	2	10	20000497	20000497	20000497	20000054	0	0	20051
11	2	11	20000498	20000498	20000498	20000054	0	0	20052
12	2	12	20000499	20000499	20000499	20000054	0	0	20053
13	2	13	20000500	20000500	20000500	20000054	0	0	20105
14	2	14	20000236	20000236	20000236	20000054	20000173	20000173	20106
15	3	15	20000501	20000501	20000501	20000054	0	0	20049
16	3	16	20000502	20000502	20000502	20000054	0	0	20050
17	3	17	20000503	20000503	20000503	20000054	0	0	20051
18	3	18	20000504	20000504	20000504	20000054	0	0	20052
19	3	19	20000505	20000505	20000505	20000054	0	0	20053
20	3	20	20000506	20000506	20000506	20000054	0	0	20105
21	3	21	20000237	20000237	20000237	20000054	20000235	20000235	20106
22	4	22	20000591	20000591	20000591	20000054	0	0	20049
23	4	23	20000592	20000592	20000592	20000054	0	0	20050
24	4	24	20000593	20000593	20000593	20000054	0	0	20051
25	4	25	20000594	20000594	20000594	20000054	0	0	20052
26	4	26	20000595	20000595	20000595	20000054	0	0	20053
27	4	27	20000596	20000596	20000596	20000054	0	0	20105
28	4	28	20000597	20000597	20000597	20000054	20000598	20000598	20106
29	5	29	20000599	20000599	20000599	20000054	0	0	20049
30	5	30	20000600	20000600	20000600	20000054	0	0	20050
31	5	31	20000601	20000601	20000601	20000054	0	0	20051
32	5	32	20000602	20000602	20000602	20000054	0	0	20052
33	5	33	20000603	20000603	20000603	20000054	0	0	20053
34	5	34	20000604	20000604	20000604	20000054	0	0	20105
35	5	35	20000605	20000605	20000605	20000054	20000606	20000606	20106
36	6	36	20000663	20000663	20000663	20000054	0	0	20049
37	6	37	20000664	20000664	20000664	20000054	0	0	20050
38	6	38	20000665	20000665	20000665	20000054	0	0	20051
39	6	39	20000666	20000666	20000666	20000054	0	0	20052
40	6	40	20000667	20000667	20000667	20000054	0	0	20053
41	6	41	20000668	20000668	20000668	20000054	0	0	20105
42	6	42	20000669	20000669	20000669	20000054	20000670	20000670	20106
43	7	43	20000599	20000599	20000599	20000054	0	0	20049
44	7	44	20000600	20000600	20000600	20000054	0	0	20050
45	7	45	20000601	20000601	20000601	20000054	0	0	20051
46	7	46	20000602	20000602	20000602	20000054	0	0	20052
47	7	47	20000603	20000603	20000603	20000054	0	0	20053
48	7	48	20000604	20000604	20000604	20000054	0	0	20105
49	7	49	20000605	20000605	20000605	20000054	20000606	20000606	20106
50	8	50	20000663	20000663	20000663	20000054	0	0	20049
51	8	51	20000664	20000664	20000664	20000054	0	0	20050
52	8	52	20000665	20000665	20000665	20000054	0	0	20051
53	8	53	20000666	20000666	20000666	20000054	0	0	20052
54	8	54	20000667	20000667	20000667	20000054	0	0	20053
55	8	55	20000668	20000668	20000668	20000054	0	0	20105
56	8	56	20000669	20000669	20000669	20000054	20000670	20000670	20106
57	9	57	20000599	20000599	20000599	20000054	0	0	20049
58	9	58	20000600	20000600	20000600	20000054	0	0	20050
59	9	59	20000601	20000601	20000601	20000054	0	0	20051
60	9	60	20000602	20000602	20000602	20000054	0	0	20052
61	9	61	20000603	20000603	20000603	20000054	0	0	20053
62	9	62	20000604	20000604	20000604	20000054	0	0	20105
63	9	63	20000605	20000605	20000605	20000054	20000606	20000606	20106
64	10	64	20000663	20000663	20000663	20000054	0	0	20049
65	10	65	20000664	20000664	20000664	20000054	0	0	20050
66	10	66	20000665	20000665	20000665	20000054	0	0	20051
67	10	67	20000666	20000666	20000666	20000054	0	0	20052
68	10	68	20000667	20000667	20000667	20000054	0	0	20053
69	10	69	20000668	20000668	20000668	20000054	0	0	20105
70	10	70	20000669	20000669	20000669	20000054	20000670	20000670	20106
